id,title,type,homepage,contact,email,parent_id
attorney-generals-office,Attorney General's Office,ministerial-department,http://data.gov.uk/publisher/attorney-generals-office,AGO Correspondence Unit,correspondance@attorneygeneral.gsi.gov.uk,
cabinet-office,Cabinet Office,ministerial-department,http://data.gov.uk/publisher/cabinet-office,Cabinet Office transparency,co-transparency@cabinetoffice.gov.uk,
department-for-business-innovation-and-skills,"Department for Business, Innovation and Skills",ministerial-department,http://data.gov.uk/publisher/department-for-business-innovation-and-skills,Transparency Team,transparency@bis.gsi.gov.uk,
department-for-children-schools-and-families,"Department for Children, Schools and Families",ministerial-department,http://data.gov.uk/publisher/department-for-children-schools-and-families,,,department-for-education
department-for-communities-and-local-government,Department for Communities and Local Government,ministerial-department,http://data.gov.uk/publisher/department-for-communities-and-local-government,,contactus@communities.gsi.gov.uk,
department-for-culture-media-and-sport,"Department for Culture, Media and Sport",ministerial-department,http://data.gov.uk/publisher/department-for-culture-media-and-sport,DCMS Enquiries,enquiries@culture.gsi.gov.uk,
department-for-education,Department for Education,ministerial-department,http://data.gov.uk/publisher/department-for-education,www.education.gov.uk/ contact,http://www.education.gov.uk/help/contactus,
department-for-employment-and-learning,Department for Employment and Learning,ministerial-department,http://data.gov.uk/publisher/department-for-employment-and-learning,,,northern-ireland-executive
department-for-environment-food-and-rural-affairs,"Department for Environment, Food and Rural Affairs",ministerial-department,http://data.gov.uk/publisher/department-for-environment-food-and-rural-affairs,Transparency mailbox,transparency@defra.gsi.gov.uk,
department-for-international-development,Department for International Development,ministerial-department,http://data.gov.uk/publisher/department-for-international-development,,enquiry@dfid.gov.uk,
department-for-regional-development,Department for Regional Development,ministerial-department,http://data.gov.uk/publisher/department-for-regional-development,,,northern-ireland-executive
department-for-social-development,Department for Social Development,ministerial-department,http://data.gov.uk/publisher/department-for-social-development,,,northern-ireland-executive
department-for-transport,Department for Transport,ministerial-department,http://data.gov.uk/publisher/department-for-transport,Information Handling Team,informationhandling@dft.gsi.gov.uk,
department-for-work-and-pensions,Department for Work and Pensions,ministerial-department,http://data.gov.uk/publisher/department-for-work-and-pensions,,freedom-of-information-request@dwp.gsi.gov.uk,
department-of-agriculture-and-rural-development,Department of Agriculture and Rural Development,ministerial-department,http://data.gov.uk/publisher/department-of-agriculture-and-rural-development,,,northern-ireland-executive
department-of-culture-arts-and-leisure,"Department of Culture, Arts and Leisure",ministerial-department,http://data.gov.uk/publisher/department-of-culture-arts-and-leisure,,,northern-ireland-executive
department-of-energy-and-climate-change,Department of Energy and Climate Change,ministerial-department,http://data.gov.uk/publisher/department-of-energy-and-climate-change,,catherine.harding@decc.gsi.gov.uk,
department-of-enterprise-trade-and-investment,Department of Enterprise Trade and Investment,ministerial-department,http://data.gov.uk/publisher/department-of-enterprise-trade-and-investment,,,northern-ireland-executive
department-of-finance-and-personnel,Department of Finance and Personnel,ministerial-department,http://data.gov.uk/publisher/department-of-finance-and-personnel,,,northern-ireland-executive
department-of-health,Department of Health,ministerial-department,http://data.gov.uk/publisher/department-of-health,Department of Health Contact,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,
department-of-health-social-services-and-public-safety,"Department of Health, Social Services and Public Safety",ministerial-department,http://data.gov.uk/publisher/department-of-health-social-services-and-public-safety,,,northern-ireland-executive
department-of-the-environment,Department of the Environment,ministerial-department,http://data.gov.uk/publisher/department-of-the-environment,,,northern-ireland-executive
foreign-and-commonwealth-office,Foreign and Commonwealth Office,ministerial-department,http://data.gov.uk/publisher/foreign-and-commonwealth-office,FCO Transparency Unit,transparency.unit@fco.gsi.gov.uk,
her-majestys-treasury,Her Majesty's Treasury,ministerial-department,http://data.gov.uk/publisher/her-majestys-treasury,,public.enquiries@hm-treasury.gsi.gov.uk,
home-office,Home Office,ministerial-department,http://data.gov.uk/publisher/home-office,,public.enquiries@homeoffice.gsi.gov.uk,
ministry-of-defence,Ministry of Defence,ministerial-department,http://data.gov.uk/publisher/ministry-of-defence,,DMC-SecOnlinePolicy@mod.uk,
ministry-of-justice,Ministry of Justice,ministerial-department,http://data.gov.uk/publisher/ministry-of-justice,,mojtransparency@justice.gsi.gov.uk,
northern-ireland-office,Northern Ireland Office,ministerial-department,http://data.gov.uk/publisher/northern-ireland-office,,laura.fretwell@nio.x.gsi.gov.uk,
office-of-the-advocate-general-of-scotland,Office of the Advocate General of Scotland,ministerial-department,http://data.gov.uk/publisher/office-of-the-advocate-general-of-scotland,,,
scotland-office,Scotland Office,ministerial-department,http://data.gov.uk/publisher/scotland-office,,ScotlandOfficeStrategyBranchMailbox@scotlandoffice.gsi.gov.uk,
uk-export-finance,UK Export Finance,ministerial-department,http://data.gov.uk/publisher/uk-export-finance,,,
united-kingdom-export-finance,United Kingdom Export Finance,ministerial-department,http://data.gov.uk/publisher/united-kingdom-export-finance,,,department-for-business-innovation-and-skills
wales-office,Wales Office,ministerial-department,http://data.gov.uk/publisher/wales-office,,walesofficefoi@walesoffice.gsi.gov.uk,
