Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,11/01/2013,IT and communication services,Head Office & Corporate Services,OFFICE OF COMMUNICATIONS (OFCOM),SE1 9HA,151693,Line + telephone rental including commercial charge for use of radio frequencies,38719600
Ministry of Defence,Ministry of Defence,18/01/2013,Purchase of buildings - Dwellings,Defence Infrastructure Organisation ,DAVITT JONES BOULD LTD,TA1 4EB,155179,Property building dwellings asset - in year capital addition,28667660.83
Ministry of Defence,Ministry of Defence,18/01/2013,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,155065,Property dwellings private finance initiative - service concession arrangement service charge,23183778.04
Ministry of Defence,Ministry of Defence,14/01/2013,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,SHELL EASTERN TRADING (PTE) LIMITED,,2000017980,Raw materials and consumable marine fuel inventory purchased,17669878.53
Ministry of Defence,Ministry of Defence,22/01/2013,Purchase of buildings - Dwellings,Defence Infrastructure Organisation ,DAVITT JONES BOULD LTD,TA1 4EB,156404,Property building dwellings asset - in year capital addition,17371900
Ministry of Defence,Ministry of Defence,16/01/2013,Rent and rates,Defence Infrastructure Organisation ,COMMUNITIES AND LOCAL GOVERNMENT,HP2 4XN,2.00E+11,Rent buildings - non civil estate property and married quarter property,12039813.3
Ministry of Defence,Ministry of Defence,02/01/2013,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,148007,Cost of food purchases,8655804
Ministry of Defence,Ministry of Defence,21/01/2013,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,156172,Cost of food purchases,8552233.3
Ministry of Defence,Ministry of Defence,02/01/2013,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,147935,Estate core services charge,8029059.53
Ministry of Defence,Ministry of Defence,15/01/2013,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,153207,Estate core services charge,7583104.71
Ministry of Defence,Ministry of Defence,23/01/2013,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,157162,Estate core services charge,6951647.05
Ministry of Defence,Ministry of Defence,16/01/2013,Property leases,Defence Infrastructure Organisation ,MODUS SERVICES LIMITED,SW1A 2HB,154041,Property non dwellings private finance initiative - service concession arrangement service charge,6886356.36
