Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/12/2014,CALL CHARGES,ICT SERVICES,BT GLOBAL SERVICES.,3000054924,29955.76,Telecomms charges,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/12/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,3000054936,31497.16,Interim IT specialists,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,01/12/14,WAN Charges,IT,PDMS Ltd,PINDOH 40925,41437.00,IT portal development for fleet vehicle service  ,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/12/2014,LIBRARY SERVICES - NON VAT RECOVERABLE,KNOWLEDGE MANAGEMENT,HM TREASURY,3000054933,91200.00,Annual costs for shared library resource,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/12/2014,CAPITAL GRANTS PRIV SEC - CDEL,PROGRAMME & STRATEGY OFFICE,THE POLICE TREATMENT CENTRES,3000054910,105000.00,To support the Police Treatment Centre at St Andrews in Harrogate to improve facilities to aid the physical rehabilitation of police officers,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/12/2014,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000054922,194128.73,MyCSP administration costs,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/12/2014,SUNNINGDALE PARK PFI SERVICE CHARGES,NSG TRANSITION COSTS,DE VERE VENUES GROUP LTD,3000054911,233298.50,PFI service charge for Sunningdale,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/12/2014,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,THE SOCIAL INVESTMENT BUSINESS,3000054918,3463293.89,Centre for Social Action funds,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/12/14,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000054940,25866.83,Interim IT specialists,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/12/14,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,PARITY RESOURCES LTD,3000054944,27028.19,Managed services for Exemplar Programme,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/12/2014,STAFF RELATED COSTS,HR RESOURCING TEAM,HMRC,3000054977,34580.22,Psychometric Testing for Senior Civil Servants,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/12/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000054940,35683.26,Interim IT specialists,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/12/2014,CONTRACTORS & STAFF SUBSTITUTIONS,CO IT SYSTEMS,CAPITA BUSINESS SERVICES LTD,3000054940,42645.96,Interim IT specialists,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/12/2014,CONTRACTORS & STAFF SUBSTITUTIONS,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,CAPITA RESOURCING LTD,3000054964,49866.48,Payment for contractors to support the delivery of Individual Electoral Registration,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/12/2014,OTHER IS IT COSTS VAT RECOV, CO IT SYSTEMS ,E SYNERGY SOLUTIONS LTD,3000054948,64077.50,Managed services for Digital and Technology Team,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/12/2014,CONSULTANTS VAT RECOVERABLE,ERG MAJOR PROJECTS TEAM,DELOITTE MCS LTD,3000054980,93790.22,Research support costs for procurement planning exercise ,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/12/2014,CONSULTANTS VAT RECOVERABLE,ERG NEXT GENERATION SHARED SERVICES,PRICEWATERHOUSE COOPERS LLP,3000054945,237200.00,Consultancy support for Independent Shared Services Centres ,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,03/12/2014,OTHER IS IT COSTS VAT RECOV, GDS TRANSFORMATION ,THOUGHTWORKS LTD,3000055014,45531.41,Managed services to support the government's Exemplar programme,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/12/2014,FM CONTRACT FIXED COSTS,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000055068,26723.04,Facilities Management Services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/12/14,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,ADAPT SERVICES LTD,3000055042,28312.75,Hosting for CO IT system,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/12/14,ADDITIONS IT HARDWARE,CO IT SYSTEMS CAPITAL,MISCO COMPUTER SUPPLIES LTD,3000055078,28809.60,"IT hardware and software for Digital and Technology Team (laptops, wifi etc)",,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,04/12/14,Consultancy Fees (Advice),Policy Team,Stradia Ltd,PINDOH 41325,33569.00,Open Book Accounting Trial Study support,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/12/2014,NON PRIME UTILITIES,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000055068,36238.67,Facilities Management Services,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,04/12/14,"Furniture, Fittings, Equip <£5k",Internal Projects,CABINET OFFICE VOTES CASH ACCO,PINDOH 41083,78373.00,Estate services ,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/12/2014,FM CONTRACT VARIABLE,ESTATE CONSOLIDATION,BOUYGUES E&S FM UK LTD,3000055068,214982.02,Facilities Management Services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/12/2014,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,THOUGHTWORKS LTD,3000055079,262502.50,Build and construction costs for the Verify identity assurance hub,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/12/2014,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,TREASURY SOLICITOR TSOL,3000055073,586500.00,Legal services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/12/14,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA RESOURCING LTD,3000055121,28544.94,Interim IT specialists,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/12/14,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA RESOURCING LTD,3000055121,29745.94,Interim IT specialists,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/12/2014,CONSULTANTS VAT RECOVERABLE,CENTRE FOR SOCIAL ACTION,THE SOCIAL INNOVATION PARTNERSHIP LTD,3000055095,36450.00,Evaluation of Social Action and Carers Fund,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,05/12/14,WSDS Maintenance & Repairs,Whitehall Standby Dist Systems,Cofely,PINDOH 41207,40700.00,Whitehall heating systems management,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,05/12/14,WDHS Cost of Heat Supplied,Whitehall District Heating Systems,Cofely,PINDOH 41205,47148.00,Whitehall heating systems management,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/12/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,KAINOS SOFTWARE LTD,3000055135,64051.67,Managed services to support the government's Exemplar programme,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,05/12/14,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINDOH 41206,65230.00,Whitehall heating systems management,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/12/2014,PUBLICITY PRODUCTION COST,ERTP ERO CONFIRMATION & VERIFICATION,SCOTLAND OFFICE,3000055114,72560.00,Communications support,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,05/12/14,WSDS Maintenance & Repairs,Whitehall Standby Dist Systems,Cofely,PINDOH 41438,75000.00,Whitehall heating systems management,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,05/12/14,General Office and IT Costs,Service Operations DWP,DWP,PINDOH 40889,93774.00,Administration costs for transferred staff,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/12/2014,SERVICE PAYMENTS,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000055097,125285.92,Shared services charges,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/12/2014,OP LEASES-PLANT & MACHINE HIRE,NSS CRISIS MANAGEMENT,MINISTRY OF DEFENCE,3000055101,179266.00,Rent for accommodation,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/12/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,CREATIVE CHOICE CIC,3000055098,366501.56,IT and publishing support for GOV.UK,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/12/2014,RESOURCE GRANTS PRIVATE SECTOR,GDS ID ASSURANCE,CITY OF LONDON,3000055109,435000.00,Grant payment for the Amberhill project,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/12/2014,FM CONTRACT FIXED COSTS,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000055118,547066.58,Facilities Management Services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/12/2014,CONSULTANTS VAT RECOVERABLE,ERG DEBT MARKET INTEGRATOR,PRICEWATERHOUSE COOPERS LLP,3000055145,50000.00,Financial modelling support to the Debt Market Integrator Project,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/12/2014,RESOURCE GRANTS TO NDPB'S,LEGAL ADVICE FUND,BIG LOTTERY ADVICE SERVICES TRANSITION FUND,3000055149,71437.00,Advice Service Transition fund operating costs,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/12/2014,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),CST - OTHER CURRENT EXP,IPSOS MORI LTD,3000055169,91000.00,Evaluation of community oganisers and community first,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/12/2014,TELECOM SECURITY SERVICES,CCS RESILIENT TELECOMMUNICATIONS,MINISTRY OF DEFENCE,3000055165,535971.70,High Integrity Telecoms System Project Costs,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/12/2014,RESOURCE GRANTS PRIVATE SECTOR,PROGRAMME & STRATEGY OFFICE,MIND,3000055140,810796.50,"Programme costs to support the mental health of blue light (police, fire, ambulance and search & rescue) personnel including volunteers across England",,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/12/2014,RESOURCE GRANTS PRIVATE SECTOR,YOUTH CENTRE FOR SOCIAL ACTION,YOUTH UNITED,3000055141,1940000.00,"Funds for Youth United (the membership body for scouts, guides, cadets, and St John's Ambulance) to create more opportunities for social action for young people by increasing units and places.",,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/12/14,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA RESOURCING LTD,3000055191,25609.41,Interim IT specialists,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/12/2014,NON PRIME UTILITIES,ROSEBERY COURT FM CONTRACT,MITIE BUSINESS SERVICES LTD,3000055195,38064.60,Facilities Management Services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/12/2014,FM CONTRACT FIXED COSTS,ROSEBERY COURT FM CONTRACT,MITIE BUSINESS SERVICES LTD,3000055195,49317.26,Facilities Management Services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/12/2014,FM CONTRACT LIFECYCLE,ROSEBERY COURT FM CONTRACT,MITIE BUSINESS SERVICES LTD,3000055195,68088.27,Facilities Management Services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/12/2014,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,WHATUSERSDO LTD,3000055180,82000.00,Testing for the Verify identity assurance programme,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/12/2014,OTHER IS IT COSTS VAT RECOV,ERTP IER LIVE SERVICE,FCO SERVICES,3000055194,180740.00,Live Service hosting costs for Individual Electoral Registration,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/12/14,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,COLQUHOUN INFORMATION TECHNOLOGY LTD TRADING AS CALBA,3000055253,29925.00,Agile coaching for Digital Exemplar programme,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/12/2014,OTHER IS IT COSTS VAT RECOV,GDS GOV UK TRANSITION,UNBOXED CONSULTING LTD,3000055269,32595.00,IT support for GOV.UK,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/12/2014,RESOURCE GRANTS PRIVATE SECTOR,OPEN DATA PROGRAMME,FUTUREGOV,1001141,95840.00,"Map, audit and release data sets relating to adult care provision",,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/12/2014,CONSULTANTS VAT RECOVERABLE, GPU POLICY AND STRATEGY ADMIN ,SAVILLS UK LTD,3000055263,96360.00,Legal services,,,,,,,,,,,,,,,,,
