January 2012 Spend over £25k (inc vat),,,,, ,, ,, ,,,,,
Department Family,Entity,Payment Date,A/C - Type of Expenditure,C/C - Business Area,Supplier,Invoice No.,Spend Month,Inc VAT (where applicable),Description,Supplier Postcode,SME?,Contract/PO #,Project Code,Expenditure Type
DEFRA,RPA,19-Jan-12,Printing,Managed Documents Service,Adare,IS1191211,Jan,"26,176.16",October costs - British Cattle Movement Scheme Scanning Costs ,HD8 9QQ, ,PO 63810,MDSBCMS1,Admin
DEFRA,RPA,05-Jan-12,Contractor Costs,Future Options Programme,Amtec,19495,Jan,"26,136.00",Contractor Services - Future Options Programme,GU9 7XX,,PO 63659,FOP01000,Admin
DEFRA,RPA,24-Jan-12,RPA Lease Cars Rental Fee,Various,Arval,1025674,Jan,"56,356.55",Lease Rental and Service charges,SN5 6PE, ,PO 62726,none,Admin
DEFRA,RPA,16-Jan-12,IT Outsourced Services,Programmes & Projects/Service Management,Cable & Wireless,UK13073136/UK10/122011/3196,Jan,"85,805.56",ICT Managed Service Charge - Wide Area Network ,RG12 1XL, ,PO63072 / PO62643 / PO62643 / PO63239,PPT01000  COMS0130,Admin
DEFRA,RPA,06-Jan-12,IT Outsourced Services,Service Management,DSGi,11195743,Jan,"29,700.00",Monthly ICT Managed Service Charges.,BL9 7BJ, ,PO 62964,OFFS0125,Admin
DEFRA,RPA,09-Jan-12,IT Outsourced Services,Service Management,DSGi,11201444,Jan,"75,834.00",ICT Desktop Transition Project - upgrade of Core Ultra Thin Clients,BL9 7BJ, ,PO 62964,OFFS0125,Admin
DEFRA,RPA,12-Jan-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,29758,Jan,"34,736.62",Newmarket Office -Facilities Management Services,B4 6AJ,,PO 63744,,Admin
DEFRA,RPA,16-Jan-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,29669,Jan,"164,772.05",Carlisle Office - Facilities Management Services,B4 6AJ,,PO 63801,,Admin
DEFRA,RPA,16-Jan-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,29731,Jan,"354,844.98",Exeter Office - Facilities Management Services,B4 6AJ,,PO 63802,,Admin
DEFRA,RPA,16-Jan-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,29734,Jan,"321,058.93",Workington Office -Facilities Management Services,B4 6AJ,,PO 63805,,Admin
DEFRA,RPA,16-Jan-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,29751,Jan,"646,573.92",Reading Kings House Office - Facilities Management Services,B4 6AJ,,PO 63799,,Admin
DEFRA,RPA,16-Jan-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,29752,Jan,"504,250.53",Reading North Gate House Office - Facilities Management Services,B4 6AJ,,PO 63800,,Admin
DEFRA,RPA,16-Jan-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,30031,Jan,"50,962.64",Carlisle Office - Facilities Management Services,B4 6AJ,,PO 63801,,Admin
DEFRA,RPA,16-Jan-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,30118,Jan,"34,830.01",Reading Kings House Office - Facilties Management Services,B4 6AJ,,PO 63799,,Admin
DEFRA,RPA,16-Jan-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,30870,Jan,"31,026.41",Carlisle Office - Facilties Management Services,B4 6AJ,,PO 63801,,Admin
DEFRA,RPA,16-Jan-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,30872,Jan,"38,965.26",Northallerton Office - Facilities Management Services,B4 6AJ,,PO 63804,,Admin
DEFRA,RPA,16-Jan-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,30950,Jan,"51,078.52",Reading Kings House Office - Facilities Management Services,B4 6AJ,,PO 63799,,Admin
DEFRA,RPA,24-Jan-11,Defra Estates Recharge,Sustainable Workplace Management,DTZ,29813,Jan,"283,703.71",Exeter Office - Facilities Management Services,B4 6AJ,,PO 63802,,Admin
DEFRA,RPA,19-Jan-12,IT Outsourced Services,Service Management & Programmes & Projects,IBM UK,5812112030,Jan,"898,224.00",Monthly ICT Managed Service Baseline Charges.,PO6 3AE, ,PO 63484,IBMBS000 & PPT01000,Admin
DEFRA,RPA,27-Jan-12,Supplier Contractors,GI Service,InfoTech Enterprises,970001167,Jan,"100,729.90",GIS Digitising Services for Nov 2011,WC1V 6RL, ,PO 63702,None,Admin
DEFRA,RPA,10-Jan-12,IT Licences,Service Management,Oracle Corporation UK,1324940,Jan,"306,395.19",Oracle Licences Jan 12 - Apr 12 3300 user licences,RG6 1RA,,PO 63000,OFFS0210,Admin
DEFRA,RPA,16-Jan-12,Supplier Contractors,Customer Improvements,ORC International,0112/002,Jan,"35,533.50",Customer Satisfaction Survey ,N1 9AH,,PO 63080,,Admin
DEFRA,RPA,31-Jan-12,Travel,Various,Redfern Travel,29372,Jan,"25,434.02","Travel Services - Train Travel, Air travel - Dec 2011",BD1 3AZ, ,N/A,N/A,Admin
DEFRA,RPA,13-Jan-12,IT Outsourced Services,Programmes & Projects ,Software AG,1109000722,Jan,"110,400.00",ICT Managed Service - Quarterly Charge - E-Channel Enhancements,DE24 8HS,,PO 63583,,Admin
DEFRA,RPA,18-Jan-12,IT Outsourced Services,Service Management,Software AG,1109001443,Jan,"280,542.00",ICT Managed Service - Quarterly Charge - E-Channel Core Support,DE24 8HS,,PO 63583,CORS0210,Admin
DEFRA,RPA,18-Jan-12,IT Outsourced Services,Programmes & Projects,Software AG,1109001562,Jan,"110,400.00",ICT Managed Service - Quarterly Charge - E-Channel Enhancements,DE24 8HS,,PO 63583,,Admin
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,
