Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/Aug/2013 ,Other External Recruitment Costs (Staff),"Strategy, Analysis and Better Regulation - Analysis Directorate",HM TREASURY,1079819,-60500.00,RUNNING COSTS NON DEVOLVED - Other External Recruitment Costs (Staff),NR7 0HS,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/Aug/2013 ,Motor Vehicle Hire,Markets and Local Growth - Europe Trade & International Directorate,ENTERPRISE RENT-A-CAR (UK) LTD,1081706,151.24,NON-PROLIFERATION AWARENESS SEMINARS - Motor Vehicle Hire,TW20 8RX,EXT,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/Aug/2013 ,ICT Business Specific Application Services,Finance & Commercial Group - Commercial Directorate,PARITY RESOURCES LTD,1086854,233.29,RUNNING COSTS DEVOLVED - ICT Business Specific Application Services,SW19 3RU,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/Aug/2013 ,Standard Desktop Plus Services,Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1087064,28148.74,RUNNING COSTS DEVOLVED - Standard Desktop Plus Services,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/Aug/2013 ,Standard Desktop Plus Services,Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1087164,72364.67,RUNNING COSTS DEVOLVED - Standard Desktop Plus Services,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/Aug/2013 ,Standard Desktop Plus Services,Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1087170,33683.89,RUNNING COSTS DEVOLVED - Standard Desktop Plus Services,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/Aug/2013 ,Standard Desktop Plus Services,Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1087226,68589.22,RUNNING COSTS DEVOLVED - Standard Desktop Plus Services,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/Aug/2013 ,ICT Business Specific Application Services,Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1087499,1212.63,RUNNING COSTS DEVOLVED - ICT Business Specific Application Services,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/Aug/2013 ,ICT Infrastructure Specific Service,Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1087502,1881.05,RUNNING COSTS DEVOLVED - ICT Infrastructure Specific Service,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/Aug/2013 ,Standard Desktop Plus Services,Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1087504,2228.92,RUNNING COSTS DEVOLVED - Standard Desktop Plus Services,WA3 9BD,,,,Administration
