Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/08/2015,Hire of Agency Staff,Shareholder Executive - British Business Bank,CAPITA BUSINESS SERVICES LTD,67294,-3287.24,Central Functions-Hire of Agency Staff,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/08/2015,Hire of Agency Staff,Shareholder Executive - British Business Bank,CAPITA BUSINESS SERVICES LTD,67294,4930.86,Central Functions-Hire of Agency Staff,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/08/2015,Hire of Agency Staff,Shareholder Executive - British Business Bank,CAPITA BUSINESS SERVICES LTD,67294,4930.86,Central Functions-Hire of Agency Staff,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/08/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,72136,120.00,F&C Devolved Admin-Central Telecommunications Services,RG14 1LA,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2015,Hire of Agency Staff,Finance & Commercial Group - Finance Directoreate,CAPITA BUSINESS SERVICES LTD,74112,-6327.64,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2015,Hire of Agency Staff,Finance & Commercial Group - Finance Directoreate,CAPITA BUSINESS SERVICES LTD,74112,9491.46,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2015,Hire of Agency Staff,Finance & Commercial Group - Finance Directoreate,CAPITA BUSINESS SERVICES LTD,74112,12584.70,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,83594,1058.22,F&C Devolved Admin-Central Telecommunications Services,MK3 5JP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hire of Interim Managers,Business & Local Growth - Regional Growth,CAPITA BUSINESS SERVICES LTD,92184,834.78,BLG Devolved Admin-Hire of Interim Managers,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hire of Interim Managers,Business & Local Growth - Regional Growth,CAPITA BUSINESS SERVICES LTD,92184,1152.00,BLG Devolved Admin-Hire of Interim Managers,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hire of Interim Managers,Business & Local Growth - Regional Growth,CAPITA BUSINESS SERVICES LTD,92184,2175.05,BLG Devolved Admin-Hire of Interim Managers,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Allowances,Business & Local Growth - Regional Growth,CAPITA BUSINESS SERVICES LTD,92184,298.08,BLG Devolved Admin-Other Allowances,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hire of Interim Managers,Business & Local Growth - Regional Growth,CAPITA BUSINESS SERVICES LTD,92187,544.46,BLG Devolved Admin-Hire of Interim Managers,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hire of Interim Managers,Business & Local Growth - Regional Growth,CAPITA BUSINESS SERVICES LTD,92187,1291.30,BLG Devolved Admin-Hire of Interim Managers,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,1.20,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,1.56,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,1.74,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,2.15,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,2.52,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,2.56,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,2.63,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,3.00,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,4.20,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,4.44,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,4.68,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,4.99,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,5.12,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,6.53,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,6.66,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,6.96,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,7.86,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,10.80,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,12.48,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,15.12,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,15.84,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,17.34,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,19.14,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96251,27.00,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,0.37,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,0.37,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,0.37,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,0.37,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,1.20,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,2.08,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,2.08,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
