Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/05/2014,Telecoms,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,19532,-646.04,E&M Devolved Admin-Telecoms,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/05/2014,Telecoms,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,19532,232.98,E&M Devolved Admin-Telecoms,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,QUESTMARK LTD,23200,7938.00,F&C Devolved Admin-Central Telecommunications Services,NG10 4LS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/05/2014,Service Charges,Finance & Commercial Group - Estates,DWP (DEPARTMENT FOR WORK AND PENSIONS),28336,1373.00,F&C Devolved Admin-Service Charges,CF14 3UW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/05/2014,Service Charges,Finance & Commercial Group - Estates,DWP (DEPARTMENT FOR WORK AND PENSIONS),28337,960.08,F&C Devolved Admin-Service Charges,CF14 3UW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2014,Publications,Business & Local Growth - Advanced Manufacturing Services,IHS GLOBAL LTD T/A IHS JANES,30625,2256.55,E&S Devolved Admin-Publications,RG12 8FB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),30657,1299.45,IGPF: UK-India Partnership in Regenerative Medicine-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2014,Learning and Dev - CS Skills,Economics & Markets - DG & Group Support,CAPITA BUSINESS SERVICES LTD,31496,134.00,E&M Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2014,ADP Training,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,32186,161.00,P&S Non Devolved Admin-ADP Training,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2014,ADP Training,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,32189,3000.00,P&S Non Devolved Admin-ADP Training,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/05/2014,Advertising,Business & Local Growth - Information Economy & Cyber,M4C (A DIVISION OF GROUPM UK LTD),32745,35.41,BLG Devolved Admin-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/05/2014,Advertising,Business & Local Growth - Information Economy & Cyber,M4C (A DIVISION OF GROUPM UK LTD),32745,42601.58,ShEx Devolved Admin-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/05/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,METHODS CONSULTING LTD,33225,9457.24,F&C Devolved Admin-Hire of Agency Staff,WC2H 8AD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/05/2014,ICT Maintenance & Upkeep,Knowledge & Innovation Group - Research Base,DAISY COMMUNICATIONS LTD,33578,48.00,International: RB Initiatives - IKIU-ICT Maintenance & Upkeep,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/05/2014,ICT Maintenance & Upkeep,Knowledge & Innovation Group - Research Base,DAISY COMMUNICATIONS LTD,33578,106.21,International: RB Initiatives - IKIU-ICT Maintenance & Upkeep,BB9 5SR,VENDOR,,,
