Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,
DEFRA,DEFRA,28/08/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Rural Payments Agency,ARC000103,"-149,979.47",PO 373269 CREDIT NOTE FOR REF INV NO ARI000557,RG1 1AF,SME,DFP,00000000,Expense,,
DEFRA,DEFRA,04/08/2015,Advisory Services,Policy Delivery DG,Westcountry Rivers Ltd,1229,"25,000.00",PO 378170 ECOSYSTEM SERVICES IN URBAN WATER ENVIRONMENTS,PL17 8PH,SME,,00000000,Expense,,
DEFRA,NE,17-Aug-15,Grants & contributions,Strategy and Reform,The Freshwater Biological Association,9044,"25,000.00",Freshwater Pearl Mussel Ark Project - 2015-16,LA22 0LP,SME,,,,,
DEFRA,EA,25-Aug-15,Professional Services Other,SE SSD - AEM East,Sussex Wildlife Trust,1375971,"25,000.00",Sussex Flow initiative - Wetland habitat creation,BN5 9SD,,,RESE000466,Project,,
DEFRA,EA,11-Aug-15,ICT Commodities,HO Capital WiP,Kineo,1372633,"25,048.80",Implementation Support & Hosting e - learning system,BN1 3XF,,30381133,BBPRE20108L01,Project,,
DEFRA,EA,25-Aug-15,Professional Services Other,NW North-FCRM Ops,Amalgamated Construction Ltd,1373905,"25,050.97",Mechanical & Electrical Maintenance of Fixed Plant and Systems - Northern,S75 1HT,,30407796,RENW000939,Project,,
DEFRA,MMO,18/08/2015,Other Current Payments E,,C E F A S,8004883,"25,087.92",IT development costs relating to the Electronic Recording System Hub replacement,CR224 ELMA MESSAGE MANAGEMENT Q4,NR33 0HT,SME,,00000000,Expense,
DEFRA,DEFRA,06/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",University Of Newcastle Upon Tyne,220715,"25,097.50",PO 353971 DARWIN REF: 19-020 CLAIM PERIOD FROM JULY 2015 TO SEPTEMBER 2015,NE1 7RU,,Exempt,DARWDFID,Expense,,
DEFRA,EA,25-Aug-15,Construction,SE Capital WiP,GBV JV Ltd,1370948,"25,135.52",Great & Little Stour flood alleviation scheme,RH1 1LQ,,30393506,IMSE100325,Project,,
DEFRA,DEFRA,06/08/2015,Contractor - Management Cover,Chief Operating Officer DG,Networkers International (UK) Plc,411119340210715,"25,166.40","PO 379108, 21/06/15",BR1 1HP,,,CAPDTA00,Expense,,
DEFRA,DEFRA,20/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",Royal Botanic Gardens Kew,3007152526300,"25,263.00",PO 377224 DARWIN REF: 21-012 PERIOD FROM JUL 2015 TO SEP 2015,TW9 3AB,,,DARWDFID,Expense,,
DEFRA,EA,6-Aug-15,Professional Services Other,FM Operating Unit - Central and South East,UK Power Networks,1372051,"25,304.11",Rye Scots Float Depot. New 400 Amp supply upgrade July/Aug 2015,EN6 1AG,,,,Administration,,
DEFRA,EA,18-Aug-15,Energy and Fuels,SE Kent & South London- Tidal Flood Risk Manager,EDF Energy Plc,1374270,"25,314.74",Electricity supplied to the Thames Barrier - June 2015,PL3 5ZN,,30429803,FRA16S088,Project,,
DEFRA,KEW,04/08/2015,Advertising and Publicity,"Marketing, Audiences & Communications",AKA Promotions Ltd,"7,007,705.00","25,360.13",Advertising & publicity - SPICES ATL DIGITAL DISPLAY,WC2H 8AF,Trade Creditors,RBGKEW/109,,Advertising & publicity,,
DEFRA,EA,4-Aug-15,Professional Services Other,HO Marine Monitoring Service,Gardline Environmental Ltd,1367958,"25,447.20",Anglian Coastal Monitoring Programme - Hydrodynamic Surveys,NR30 3NG,,30352196,,Administration,,
DEFRA,DEFRA,14/08/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6160602,"25,474.00",PO 353148 OPERATION OF THE UK EUTROPHYING AND ACIDIFYING CORE JUNE 2015,OX11 0QR,,Exempt,AQRDXXXX,Expense,,
DEFRA,DEFRA,18/08/2015,Estates Professional Fees & Services,Chief Operating Officer DG,Montagu Evans LLP,WE160028,"25,500.00",PO 379291 561237 A DETAILED SITE VISIT OF THE FACILITY AND LAND HOLDINGS,W1J 8BA,SME,ECM 8972,B087DISP,Expense,,
DEFRA,DEFRA,05/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",Wildlife Conservation Society,0308152555975,"25,559.75","DARWIN INITIATIVE PROJECT 20-008 Q4 GRANT CLAIM 2014-15, EVALUATION COMMUNITY BASED CONSERVATION IN  GUATEMALA'S MAYA BIOSPHERE RESERVE",10460,,,DARWDFID,Expense,,
DEFRA,DEFRA,10/08/2015,Evidence Non R&D,Policy Delivery DG,Ricardo-A E A Ltd,6160600,"25,818.00",PO 343252 BASELINE MEASUREMENT OF UK STRATOSPHERIC CHARGES FOR JULY 2015,OX11 0QR,,Exempt,AQNONRDX,Expense,,
DEFRA,MMO,28/08/2015,Other Current Payments E,,Offshore Shellfish Ltd,FEF1765,"25,864.90",European Fisheries Fund grant payment,EFF,TQ5 9DU,SME,,00000000,Expense,
DEFRA,DEFRA,20/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",Royal Botanic Gardens Kew,3007152588175,"25,881.75",PO 369945 DARWIN REF: DPLUS016 PERIOD FROM JUL 2015 TO SEP 2015,TW9 3AB,,20588/GRANT,DARWPLUS,Expense,,
