Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,MoJ HQ,31/Dec/2013 ,611000-Debtors <1 year - Other Debtors,WW000-Balance Sheet,4 NEW SQUARE,1119807,"52,230.00",REFUND OF DUPLICATED FEES ON CASE 117690
Ministry of Justice,MoJ HQ,19/Dec/2013 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,ABP HOLDINGS,1118725,"478,000.00",Steel House-Property Rents
Ministry of Justice,MoJ HQ,19/Dec/2013 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,ABP HOLDINGS,1118725,"95,600.00",Steel House-Property Rents
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1116876,"30,600.00","Business Services Viewpoint,Business Process Viewpoint,Actor cooperation Viewpoint,Information Exchange Model,Information Exchange Model,Data Exchange Model,Application Component diagram,Application Cooperation Viewpoint,Application Usage V"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1116876,"6,120.00","Business Services Viewpoint,Business Process Viewpoint,Actor cooperation Viewpoint,Information Exchange Model,Information Exchange Model,Data Exchange Model,Application Component diagram,Application Cooperation Viewpoint,Application Usage V"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1116876,"39,950.00","Review Documentation,Conduct full and half day workshops,Produce test assurance report,Produce project based Technical Evaluation Reports, Produce assurance report for the mobilisation of sites & Produce Assurance Plan"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1116876,"7,990.00","Review Documentation,Conduct full and half day workshops,Produce test assurance report,Produce project based Technical Evaluation Reports, Produce assurance report for the mobilisation of sites & Produce Assurance Plan"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1116876,"31,167.00",NOMS Technical Delivery Assurance
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1116876,"6,233.40",NOMS Technical Delivery Assurance
Ministry of Justice,MoJ HQ,30/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1119622,"29,070.00","Business Services Viewpoint,Business Process Viewpoint,Actor cooperation Viewpoint,Information Exchange Model,Information Exchange Model,Data Exchange Model,Application Component diagram,Application Cooperation Viewpoint,Application Usage V"
Ministry of Justice,MoJ HQ,30/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1119622,"5,814.00","Business Services Viewpoint,Business Process Viewpoint,Actor cooperation Viewpoint,Information Exchange Model,Information Exchange Model,Data Exchange Model,Application Component diagram,Application Cooperation Viewpoint,Application Usage V"
Ministry of Justice,MoJ HQ,16/Dec/2013 ,223000-Other Expenditure,QZ600-CPG Other,ALLEN LANE LTD,1118414,"1,006,444.00",Allen Lane Managed Accounting Service (FY13-14) - Fixed Monthly Fee - May-13-Dec-13 & Variable- Time & Materials
Ministry of Justice,MoJ HQ,16/Dec/2013 ,223000-Other Expenditure,QZ600-CPG Other,ALLEN LANE LTD,1118414,"21,226.00",Allen Lane Managed Accounting Service (FY13-14) - Fixed Monthly Fee - May-13-Dec-13 & Variable- Time & Materials
Ministry of Justice,MoJ HQ,05/Dec/2013 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1117278,"23,729.71",MoJ Lease Car Fuel Costs FY 13-14
Ministry of Justice,MoJ HQ,05/Dec/2013 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1117278,"4,745.94",MoJ Lease Car Fuel Costs FY 13-14
Ministry of Justice,MoJ HQ,05/Dec/2013 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1117278,-0.22,MoJ Lease Car Fuel Costs FY 13-14
Ministry of Justice,MoJ HQ,19/Dec/2013 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1118733,"27,088.71",MoJ Lease Car Fuel Costs FY 13-14
Ministry of Justice,MoJ HQ,19/Dec/2013 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1118733,"5,417.74",MoJ Lease Car Fuel Costs FY 13-14
Ministry of Justice,MoJ HQ,19/Dec/2013 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1118733,-0.43,MoJ Lease Car Fuel Costs FY 13-14
Ministry of Justice,MoJ HQ,12/Dec/2013 ,222002-Other Property Costs,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1118009,"29,490.20",This is to support delivery of the Governance & SIAM Exit Management Services as specified in the DISC Exit Schedule 9.5 and the DISC Contract Extension CCN 1999.
Ministry of Justice,MoJ HQ,12/Dec/2013 ,222002-Other Property Costs,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1118009,"5,898.04",This is to support delivery of the Governance & SIAM Exit Management Services as specified in the DISC Exit Schedule 9.5 and the DISC Contract Extension CCN 1999.
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,KY340-Access to Justice Delivery,ATOS IT SERVICES UK LTD,1116889,51.56,New IPT Mobility account with voicemail account 11-20 Accounts
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1116889,164.00,"Standard Form Laptop - HP EliteBook 8470p (14"" screen)"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1116889,11.17,MS Visio Std
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1116889,164.00,Pool Laptop
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1116889,264.00,"Small Form Laptop - HP EliteBook 2570p (12.1"" screen)"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1116889,264.00,"Small Form Laptop - HP EliteBook 2570p (12.1"" screen)"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1116889,164.00,"Standard Form Laptop - HP EliteBook 8470p (14"" screen)"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1116889,164.00,"Standard Form Laptop - HP EliteBook 8470p (14"" screen)"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1116889,46.00,Provision and support of Secure Remote Access (RWSII) Capability
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1116889,46.00,Provision and support of Secure Remote Access (RWSII) Capability
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1116889,46.00,Provision and support of Secure Remote Access (RWSII) Capability
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1116889,46.00,Provision and support of Secure Remote Access (RWSII) Capability
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1116889,46.00,Provision and support of Secure Remote Access (RWSII) Capability
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,QZ500-Arms Length Bodies (CPG),ATOS IT SERVICES UK LTD,1116889,82.78,BlackBerry (Vodafone)
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,82.78,BlackBerry (Vodafone)
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ401-Finance Group Feeder,ATOS IT SERVICES UK LTD,1116889,11.62,MS Visio Professional
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ401-Finance Group Feeder,ATOS IT SERVICES UK LTD,1116889,11.62,MS Visio Professional
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ401-Finance Group Feeder,ATOS IT SERVICES UK LTD,1116889,34.86,MS Visio Std
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ401-Finance Group Feeder,ATOS IT SERVICES UK LTD,1116889,11.17,MS Access
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ401-Finance Group Feeder,ATOS IT SERVICES UK LTD,1116889,164.00,"Standard Form Laptop - HP EliteBook 8470p (14"" screen)"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ401-Finance Group Feeder,ATOS IT SERVICES UK LTD,1116889,46.00,Provision and support of Secure Remote Access (RWSII) Capability
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,11.17,MS Access
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,11.17,MS Access
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,11.17,MS Access - Adam Booker
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,11.17,MS Access
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,82.78,BlackBerry (Vodafone)
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NQ901-MOJ Procurement Feeder,ATOS IT SERVICES UK LTD,1116889,164.00,"Standard Form Laptop - HP EliteBook 8470p (14"" screen)"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NQ901-MOJ Procurement Feeder,ATOS IT SERVICES UK LTD,1116889,92.00,Provision and support of Secure Remote Access (RWSII) Capability
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NQ901-MOJ Procurement Feeder,ATOS IT SERVICES UK LTD,1116889,25.78,Premium Rate Calls 1-10 Accounts - Keith Young - Service ID 104747
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NQ901-MOJ Procurement Feeder,ATOS IT SERVICES UK LTD,1116889,82.78,BlackBerry (Vodafone)
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1116889,82.78,BlackBerry (Vodafone)
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,QZ500-Arms Length Bodies (CPG),ATOS IT SERVICES UK LTD,1116889,11.17,MS Access
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1116889,"172,387.94",CCN A-S03481-01-V01 - Sustainable Print Service (SPS)
Ministry of Justice,MoJ HQ,23/Dec/2013 ,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1119167,"189,320.90",CCN A-S03481-01-V01 - Sustainable Print Service (SPS)
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1116889,"42,969.43",CCN 2277 - NOP IPT Charges
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1116889,"8,593.89",CCN 2277 - NOP IPT Charges
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1116889,"415,638.19",CCN 2277 - NOP WITO Charges
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1116889,"83,127.64",CCN 2277 - NOP WITO Charges
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1116889,168.10,"19"" LCD Display"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1116889,46.00,Provision and support of Secure Remote Access (RWSII) Capability
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1116889,82.78,BlackBerry (Vodafone)
Ministry of Justice,MoJ HQ,12/Dec/2013 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1118009,"29,991.00",CCN 02883-07 - Non Standard Support - Replaces PO 10000028652 (Incorrect BE & Description)
Ministry of Justice,MoJ HQ,09/Dec/2013 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1117709,"36,495.00",CCN A-R-03865-04 - Relocation of Judicial Appointments Commission Staff from Steel House to Royal Courts of Justice
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1116889,11.17,MS Access
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1116889,11.17,MS Access
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1116889,11.17,MS Access
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1116889,82.78,BlackBerry (Vodafone)
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1116889,8.51,HP Basic Notebook Carrying Case
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1116889,164.00,"Standard Form Laptop - HP EliteBook 8470p (14"" screen)"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1116889,46.00,Provision and support of Secure Remote Access (RWSII) Capability
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1116889,78.26,Reassign BlackBerry device within Business Unit
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1116889,82.78,BlackBerry (Vodafone)
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1116889,78.26,Reassign BlackBerry device within Business Unit
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1116889,164.00,"Standard Form Laptop - HP EliteBook 8470p (14"" screen)"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1116889,46.00,Provision and support of Secure Remote Access (RWSII) Capability
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1116889,25.78,Provision of voicemail 1-10 Accounts
Ministry of Justice,MoJ HQ,05/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1117292,"29,848.00",CCN A-R-02305-03-v04 Further extension of the OCS Pilot from October 2012
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,"596,199.27",ICT Desktops (Schedule)
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,"221,805.22",ICT Desktops (Schedule)
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,"46,800.00",ICT Desktops (Schedule)
Ministry of Justice,MoJ HQ,19/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1118739,"592,008.30",ICT Desktops (Schedule)
Ministry of Justice,MoJ HQ,23/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1119167,"113,400.00",ICT Desktops (Schedule)
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,33.33,Space Saving Mini Keyboard
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,15.14,Mini Keypad
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,205.63,"22"" LCD Display"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,205.63,"22"" LCD Display"
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,"103,165.60",ICT Laptops (Schedule)
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,"361,400.52",ICT Laptops (Schedule)
Ministry of Justice,MoJ HQ,12/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1118009,"103,165.60",ICT Laptops (Schedule)
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,"459,643.35",ICT Network Services (Schedule)
Ministry of Justice,MoJ HQ,02/Dec/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1116889,"262,149.50",ICT Network Services (Schedule)
