Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number
DEFRA,AHVLA,14/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36537," £78,703.87 ",Quarter 1 facilities management charges for the West House site at Thirsk,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,02/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36389," £67,296.78 ",Quarter 1 accommodation charges for the Ty Merlin site at Carmarthen,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,02/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36375," £75,906.30 ",Quarter 1 accommodation charges for the Foss House site at York,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,02/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36381," £38,872.70 ",Quarter 1 accommodation charges for the Quadrant site at Newcastle,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,14/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36514," £25,598.03 ",Quarter 1 accommodation charges for the Quadrant site at Newcastle,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,02/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36357," £60,726.74 ",Quarter 1 accommodation charges for the Clyst House site at Exeter,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,02/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36353," £36,533.83 ",Quarter 1 accommodation charges for the Llanishen site at Cardiff,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,02/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36351," £74,887.95 ",Quarter 1 accommodation charges for the Liberty House site at Reigate,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,02/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36379," £37,132.84 ",Quarter 1 accommodation charges for the Temple Quay site at Bristol,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,14/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36644," £31,506.10 ",Apr-July 2012 facilities management charges for the Ty Merlin site at Carmarthen,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,14/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36546," £28,385.31 ",Quarter 1 Facilities management charges for the Pydar House site at Truro,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,02/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36241," £1,345,045.00 ",Quarter 1 accommodation charges for the Weybridge site,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,02/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36282," £41,226.30 ",Quarter 1 accommodation charges for the Redwing House site at Chelmsford,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,02/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36376," £42,049.68 ",Quarter 1 accommodation charges for the Beacon House site at Stafford,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,02/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36259," £34,153.78 ",Quarter 1 accommodation charges for the Whittington Road site at Worcester,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,02/08/2012,Hard charges,Chief Operating Officer DG,D T Z,36348," £41,257.76 ",Quarter 1 accommodation charges for the Hadrian House site at Carlisle,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,06/08/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5805120945," £25,916.18 ",SAM release 6 charges for Official Veterinarian support time and material and equipment charges,GU1 2LD,,,00000000,Expense,
DEFRA,AHVLA,06/08/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5805120947," £33,961.62 ",SAM release 7 support time and material and equipment charges,GU1 2LD,,,00000000,Expense,
DEFRA,AHVLA,24/08/2012,Lab & Technical Equipment,Chief Operating Officer DG,Genus Breeding Ltd.,21102001," £25,633.90 ",Contingency contract for provision of livestock vaccinations in the event of an outbreak,CW6 9HY,SME,,EMERVACC,Expense,
DEFRA,AHVLA,28/08/2012,LVI Claims,Chief Operating Officer DG,TORCH FARM AND EQUINE LTD,LVI151488," £28,196.20 ",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX31 3FG,SME,,00000000,Expense,
DEFRA,AHVLA,06/08/2012,GPC Card,Central Finance Group,Barclaycard Business Issuing,4715320649058286310712," £39,627.13 ",Monthly Barclaycard invoice,TS17 6YG,,,00000000,Asset,
DEFRA,AHVLA,14/08/2012,Mobile Phones,Central Finance Group,Vodafone Ltd,64085243," £28,214.70 ",Monthly Vodafone invoice,,,,00000000,Asset,
DEFRA,AHVLA,10/08/2012,Additions - Furniture & Fittings,Central Finance Group,Lab 3 Ltd,713373," £62,744.95 ",Purchase of autoclaves for the laboratories,NN5 5AX,SME,,00000000,Asset,
