Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,
Cabinet Office,Cabinet Office,01/12/11,Agency and Temporary Staff,GOVERNMENT CIO,CAPITA RESOURCING LTD,3000021014,"25,647.30","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Administration,
Cabinet Office,Cabinet Office,01/12/11,Resource Grants to NDPB's,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,3000021036,"68,230.00",Central Chancery charges for administration of Honours,SW1A 1AA,Large,Administration,
Cabinet Office,Cabinet Office,01/12/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUNG DEVON,3000021037,"185,545.00",National Citizen Service project grant,PL21 0AB,Large,Administration,
Cabinet Office,Government Procurement Service,01/12/11,Conferencing Audio,Network Services,Global Crossing,PINDOH 33756,"66,916.33",Government managed telecoms contract,RG24 8NA,Large,Programme,
Cabinet Office,Government Procurement Service,01/12/11,IT Maint & Repairs,Governance & Assurance,Insight Direct Ltd,PINVP2P 368,"38,204.07",Annual support for the Utilities billing system,UB8 1PH,Large,Administration,
Cabinet Office,Government Procurement Service,01/12/11,IT Maint & Repairs,IT,Specialist Computer Centres plc,PINVP2P 374,"37,357.04",Cabling,B11 2LE,Large,Administration,
Cabinet Office,Cabinet Office,02/12/11,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000021054,"89,125.92",Interim IT specialist,SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,02/12/11,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000021053,"42,000.00",Interim IT specialist,SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,02/12/11,Consultancy,SCHEME MANAGEMENT EXECUTIVE,FIELD FISHER WATERHOUSE,1000460,"91,420.00",Provision of legal services,EC3N 2AA,Large,Programme,
Cabinet Office,Cabinet Office,05/12/11,Resource Grants to NDPB's,OFFICE FOR CIVIL SOCIETY,NESTA,3000021084,"1,300,000.00",Innovation in Giving Fund project Grant 2011/12,EC4A 1DE,SME,Administration,
Cabinet Office,Cabinet Office,05/12/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SAFE IN TEES VALLEY,3000021086,"219,560.00",National Citizen Service project grant,TS18 3TS,Large,Grants,
Cabinet Office,Cabinet Office,05/12/11,Research and Development (VAT Recoverable),OFFICE FOR CIVIL SOCIETY,NATIONAL CENTRE FOR SOCIAL RESEARCH,3000021083,"174,196.54",Evaluation of the National Citizen Service programme.,EC1V 0AX,SME,Programme,
Cabinet Office,Cabinet Office,05/12/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE LINCOLNSHIRE & RUTLAND EBP,3000021089,"101,864.00",National Citizen Service project grant,LN2 4WH,SME,Administration,
Cabinet Office,Cabinet Office,05/12/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,JEWISH LADS & GIRLS BRIGADE,3000021082,"44,900.00",National Citizen Service project grant,E18 1LA,SME,Programme,
Cabinet Office,Cabinet Office,06/12/11,IT Costs,GOVERNMENT DIGITAL SERVICE,CIMEX MEDIA LTD,3000021104,"38,043.86",November payment for hosting and maintenance of the Directgov mobile service,EC2A 4PJ,SME,Programme,
Cabinet Office,Cabinet Office,06/12/11,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,RETHINK RECRUITMENT SOLUTIONS LTD,3000021116,"26,198.04",Interim IT specialist,M2 1FB,SME,Administration,
Cabinet Office,Cabinet Office,06/12/11,"Travel, Subsistence and Hospitality",POLITICAL AND CONSTITUTIONAL REFORM,EXPOTEL,3000021107,"28,573.02","Venue hire and overnight accommodation costs for the statutory holding of public hearings across England, in relation to the review of Parliamentary constituency boundaries by the Boundary Commission for England",NW6 4HG,Large,Administration,
