Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type,Supplier Type,Contract Number
Ministry of Justice,MoJ HQ,27/Sep/2012 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION (LSC),6589,"£12,807,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0000,Programme,SME,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION (LSC),6589,"£12,893,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0000,Programme,SME,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION (LSC),6585,"£13,140,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0000,Programme,SME,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION (LSC),6587,"£13,574,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0000,Programme,SME,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION (LSC),6587,"£14,726,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0000,Programme,SME,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION (LSC),6585,"£16,460,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0000,Programme,SME,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION (LSC),6582,"£28,585,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0000,Programme,SME,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION (LSC),6582,"£39,415,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0000,Programme,SME,
Ministry of Justice,MoJ HQ,14/Sep/2012 ,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,CRIMINAL CASES REVIEW COMMISSION#KY14611649,6586,,Grant-in-aid requirement for Arm's Length Body,B1 1TT,0000,Grant,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1083498,"£26,578.44",Venue Hire relating to training events for Judiciary,LS16 6RF,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1083498,"£31,658.81",Venue Hire relating to training events for Judiciary,LS16 6RF,0000,Programme,,
Ministry of Justice,MoJ HQ,17/Sep/2012 ,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDER MANAGEMENT SERVICE (NOMS),1082956,"£336,803.84",Parc YOI Contract - FY 12-13,NP20 9BB,0000,Programme,,
Ministry of Justice,MoJ HQ,19/Sep/2012 ,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDER MANAGEMENT SERVICE (NOMS),2014,"£336,803.84",Parc YOI Contract - FY 12-13,NP20 9BB,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,MEDOMSLEY TRAINING SERVICES LTD,1082728,"£661,363.92","Operation Delivery services in respect of Prisons, YOIs or STCs",RG29 9XB,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (ONLEY) LTD,1082650,"£1,280,550.41","Operation Delivery services in respect of Prisons, YOIs or STCs",WR12 7LJ,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (COOKHAM WOOD) LTD,1082649,"£1,364,267.38","Operation Delivery services in respect of Prisons, YOIs or STCs",WR12 7LJ,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDER MANAGEMENT SERVICE (NOMS),1082738,"£2,248,396.00",Ashfield YOI Contract - FY 12-13,NP20 9BB,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDER MANAGEMENT SERVICE (NOMS),1082738,"£2,322,388.04",Ashfield YOI Contract - FY 12-13,NP20 9BB,0000,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDER MANAGEMENT SERVICE (NOMS),2018,"£2,322,388.04",Ashfield YOI Contract - FY 12-13,NP20 9BB,0000,Programme,,
Ministry of Justice,MoJ HQ,07/Sep/2012 ,245000-Grants in Aid to NDPBs,RC999-Criminal Justice Group - OMS,YOUTH JUSTICES BOARD FOR ENGLAND AND WALES#RC20511,6584,,Grant-in-aid requirement for Arm's Length Body,SW1V 2QZ,0000,Grant,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,246000-Current Grants,RG999-CFLAP Accumulator,REUNITE INTERNATIONAL,1083402,"£28,125.00",Payment of grant to voluntary sector organisations - Access to Justice,LE1 7XX,0000,Grant,,
Ministry of Justice,MoJ HQ,07/Sep/2012 ,266000-Judicial Costs,RH999-JPG - Law & Rights,FOREIGN & COMMONWEALTH OFFICE,1972,"£33,010.37",Council of Europe Ministerial Meeting in April - Conference costs,MK10 1PX,0000,Admin,,
Ministry of Justice,MoJ HQ,07/Sep/2012 ,266000-Judicial Costs,RH999-JPG - Law & Rights,FOREIGN & COMMONWEALTH OFFICE,1972,"£262,146.97",Council of Europe Ministerial Meeting in April - Conference costs,MK10 1PX,0000,Admin,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,SAVVIS UK LTD,1083409,"£38,440.59",Provision of ILO Environement. Total montly recurring service,RG41 5TS,0000,Admin,,
Ministry of Justice,MoJ HQ,10/Sep/2012 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,CHECKFREE SOLUTIONS,1082487,"£41,117.05",Fiserv Accurate - Licence Maintenance Year 2 for Perpetual and User Licenses 10 User Pack,M1 5ES,0000,Admin,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,SAVVIS UK LTD,1082788,"£53,317.64","""Additional monthly recurring Charges (for an initial term of 18 months from Acceptance of the TA Dev Fix Environment by the Authority):""",RG41 5TS,0000,Admin,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1082710,"£70,555.79",ARAMIS Charges for 2012-13 ; to be reconciled and agreed Monthly,NP10 9XA,0000,Admin,,
Ministry of Justice,MoJ HQ,17/Sep/2012 ,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1082935,"£298,063.56",Monthly Payroll Service charges for financial year 2012/13 (This replaces PO10000023349),NP10 9XA,0000,Admin,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1082710,"£1,235,136.38",ARAMIS Charges for 2012-13 ; to be reconciled and agreed Monthly,NP10 9XA,0000,Admin,,
