Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
,,01/11/2016,Professional fees,DG: Strategy & External Relations,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000029105," 497,307 ",NHS BSA payments 2016-17,NE1 6SN,PUBLIC,,,
,,01/11/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,PUBLIC HEALTH ENGLAND PHE033,HAFS-22011," 84,000,000 ",,SP4 0JG,PUBLIC,,,
,,01/11/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-22008," 7,500,000 ",,NE1 6SN,PUBLIC,,,
,,01/11/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NHS ENGLAND CBA033,HAFS-22010," 5,590,687,000 ",,LS2 7UE,PUBLIC,,,
,,01/11/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NHS ENGLAND CBA033,HAFS-22009," 3,258,250,000 ",,LS2 7UE,PUBLIC,,,
,,01/11/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-22007," 5,400,000 ",,SE1 7NT,PUBLIC,,,
,,01/11/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-22006," 6,000,000 ",,,PUBLIC,,,
,,01/11/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH RESEARCH AUTHORITY,HAFS-22005," 1,100,000 ",,SE1 6LH,PUBLIC,,,
,,01/11/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH EDUCATION ENGLAND T1510,HAFS-22004," 350,000,000 ",,LS1 4PL,PUBLIC,,,
,,01/11/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-22003," 16,000,000 ",,WF3 1WE,PUBLIC,,,
,,01/11/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-22002," 10,000,000 ",,,PUBLIC,,,
