"TRANSPARENCY - DFE TEMPLATE FOR SUBMISSION OF SPEND OVER £25,000. To be submitted to:richard.barlow@education.gsi.gov.uk.",,,,,,,
Organisation -,School Food Trust,,,,,,
Submitted by -,Clare Bateman,,,,,,
Month - ,June,,,,,,
Department family,Entity,Date (payment not invoice date),Expense type (Account Code Name),Expense area (Division within SFT e.g. Corp Services),Supplier,Transaction number (SFT Invoice No.),Amount (including VAT)
Department for Education,School Food Trust,08/06/2010,Printed Resources,Lets Get Cooking,Proportion Marketing Limited,PI011602,2908.13
Department for Education,School Food Trust,08/06/2010,Printed Resources,Lets Get Cooking,Proportion Marketing Limited,PI011604,20048.13
Department for Education,School Food Trust,08/06/2010,Let's Get Cooking E-bulletin,Lets Get Cooking,Proportion Marketing Limited,PI011604,530.98
Department for Education,School Food Trust,08/06/2010,Let's Get Cooking comms stationery,Lets Get Cooking,Proportion Marketing Limited,PI011604,1504
Department for Education,School Food Trust,08/06/2010,Newsletters,Lets Get Cooking,Proportion Marketing Limited,PI011604,2880
Department for Education,School Food Trust,08/06/2010,Let's Get Cooking invitation mailing,Lets Get Cooking,Proportion Marketing Limited,PI011604,10440.05
Department for Education,School Food Trust,08/06/2010,Lets Get Cooking order fulfillment,Lets Get Cooking,Proportion Marketing Limited,PI011606,2259.54
Department for Education,School Food Trust,08/06/2010,Start Up Packs,Lets Get Cooking,Proportion Marketing Limited,PI011606,1084.52
Department for Education,School Food Trust,08/06/2010,Start Up Packs,Lets Get Cooking,Proportion Marketing Limited,PI011607,4070.02
Department for Education,School Food Trust,18/06/2010,Information to Parents,Delivery,Brahm,PI011677,53440.17
Department for Education,School Food Trust,18/06/2010,Information to Parents,Delivery,Brahm,PI011678,4230
Department for Education,School Food Trust,18/06/2010,Rent,Corporate Services,Department for Education,PI011705,23215
Department for Education,School Food Trust,18/06/2010,Rent,Corporate Services,Department for Education,PI011680,45687.5
Department for Education,School Food Trust,18/06/2010,Training,Delivery,Elygra Marketing,PI011666,80000
Department for Education,School Food Trust,18/06/2010,Training,Delivery,Elygra Marketing,PI011667,25000
