Department Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Transation Description,Amount
HM Treasury,HM Treasury,04-Dec-2012,PUBLIC SPENDING,Public Spending,GOVERNMENT ACTUARY'S DEPT,101514,ACTUARIAL ADVICE IN A CONSULTANCY CAPACITY TO WPP TEAM - SEPTEMBER 2012,39388.2
HM Treasury,HM Treasury,04-Dec-2012,PUBLIC SPENDING,Public Spending,GOVERNMENT ACTUARY'S DEPT,102047,ACTUARIAL ADVICE IN A CONSULTANCY CAPACITY TO WPP TEAM - OCTOBER 2012,52045.65
HM Treasury,HM Treasury,04-Dec-2012,FINANCIAL MANAGMENT REPORTING,Project OSCAR (inc DPI),IBM UK,102244,PROJECT OSCAR - HOSTING - NOVEMBER 2012,41248.8
HM Treasury,HM Treasury,04-Dec-2012,FISCAL,Fiscal,ROYAL MINT,102208,RECOVERY OF FREIGHT COSTS ON RETURNED UK COINS - APRIL 2011 TO JULY 2012,56534.94
HM Treasury,HM Treasury,04-Dec-2012,CORPORATE CENTRE,UKFI MANAGEMENT FEE,UK FINANCIAL INVESTMENTS LTD,102288,UKFI MANAGEMENT FEE - DECEMBER 2012,250000.8
HM Treasury,HM Treasury,06-Dec-2012,CORPORATE CENTRE,Estates,EXCHEQUER PARTNERSHIP PLC,102255,"POST, GOODS AND PORTERAGE SERVICES - DECEMBER 2012",34940.95
HM Treasury,HM Treasury,06-Dec-2012,FINANCIAL MANAGMENT REPORTING,Project OSCAR (inc DPI),IBM UK,101561,PROJECT OSCAR - STAFF COSTS - NOVEMBER 2012 ,62866.98
HM Treasury,HM Treasury,06-Dec-2012,FINANCIAL MANAGMENT REPORTING,Project OSCAR (inc DPI),IBM UK,102192,PROJECT OSCAR - STAFF COSTS - DECEMBER 2012,62866.98
HM Treasury,DMO,10-Dec-2012,DEBT MANAGMENT OFFICE,Settlements,BANK OF ENGLAND ,102348,DMO BANKING CHARGES - SEPTEMBER 2012,125339.4
HM Treasury,HM Treasury,10-Dec-2012,CORPORATE CENTRE,Estates,EDF ENERGY,102300,ELECTRICITY - NOVEMBER 2012,46018.37
HM Treasury,HM Treasury,10-Dec-2012,CORPORATE CENTRE,Knowledge & Information Management,IRON MOUNTAIN,101942,CHARGES FOR RECORDS MANAGEMENT,37270
HM Treasury,HM Treasury,10-Dec-2012,TREASURY LEGAL ADVISORS,Legal Team,THE TREASURY SOLICITOR,102123,CHARGES FOR ADVISORY LAWYERS  - OCTOBER 2012,362028.6
HM Treasury,HM Treasury,12-Dec-2012,CORPORATE CENTRE,Knowledge & Information Management,IRON MOUNTAIN,102336,CHARGES FOR RECORDS MANAGEMENT,21515.99
HM Treasury,HM Treasury,12-Dec-2012,BUSINESS AND INTERNATIONAL TAX,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,102326,DEVELOPMENT AND IMPLEMENTATION OF THE PAYMENT SYSTEM FOR THE EQUITABLE LIFE PAYMENT SCHEME - OCTOBER 2012,656080
HM Treasury,HM Treasury,12-Dec-2012,BUSINESS AND INTERNATIONAL TAX,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,102327,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME - OCTOBER 2012,1015778.68
HM Treasury,HM Treasury,12-Dec-2012,CORPORATE CENTRE,Hmt Suspense,ROYAL MINT,102306,CIRCULATING COIN METAL COSTS - NOVEMBER 2012,3655977.96
HM Treasury,HM Treasury,12-Dec-2012,CORPORATE CENTRE,Hmt Suspense,ROYAL MINT,102306,CIRCULATING COIN MANUFACTURE COSTS - NOVEMBER 2012,2677866.1
HM Treasury,HM Treasury,14-Dec-2012,PUBLIC SPENDING,Public Spending,GOVERNMENT ACTUARY'S DEPT,102436,ACTUARIAL ADVICE IN A CONSULTANCY CAPACITY TO WPP TEAM - NOVEMBER 2012,41205.7
HM Treasury,HM Treasury,17-Dec-2012,FINANCIAL MANAGMENT REPORTING,Financial Management,DESCISYS LTD,102259,SOFTWARE SUPPORT FOR COINS SYSTEM - 30 DECEMBER 2012 TO 29 MARCH 2013,145500
HM Treasury,HM Treasury,17-Dec-2012,CORPORATE CENTRE,Hmt Suspense,EXCHEQUER PARTNERSHIP PLC,102253,WORKPLACE OPTIMISATION PROJECT,152665.88
HM Treasury,HM Treasury,17-Dec-2012,CORPORATE CENTRE,Estates,EXCHEQUER PARTNERSHIP PLC,102253,UNITARY PAYMENT - DECEMBER 2012,"1,611,398.32"
