Department,Entity,Payment Date,Expense Area,Expense Type,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,12/02/2014,DEFENCE INFRASTRUCTURE,Property leases,ASPIRE DEFENCE LIMITED,SP9 7QD,304758,Property dwellings private finance initiative - service concession arrangement service charge,23600882.25
Ministry of Defence,Ministry of Defence,07/02/2014,DEFENCE INFRASTRUCTURE,Property leases,KELDA WATER SERVICES (ESTATES) LIMITED,S75 3JR,303443,Property non dwellings private finance initiative - service concession arrangement service charge,10663926.48
Ministry Of Defence,Ministry Of Defence,18/02/2014,Ministry Of Defence,Government Procurement Card ,Barclays Bank PLC,TS17 6YG,EMP 11264 ,Monthly GPC Payment ,"10,539,846.60"
Ministry of Defence,Ministry of Defence,11/02/2014,HO+CS,Building maintenance and accommodation stores,COMMONWEALTH WAR GRAVES COMMISSION,SL6 7DX,5000108679,Pay costs grant in aid to the Commonwealth War Graves commission,8842975.21
Ministry Of Defence,Ministry Of Defence,17/02/2014,Ministry Of Defence,Government Procurement Card ,Barclays Bank PLC,TS17 6YG,EMP 11262,Monthly GPC Payment ,"8,152,658.94"
Ministry of Defence,Ministry of Defence,12/02/2014,DEFENCE INFRASTRUCTURE,Estate management,CARILLIONENTERPRISE LIMITED,B75 7RL,304830,Estate core services charge,7939937.88
Ministry of Defence,Ministry of Defence,27/02/2014,DEFENCE INFRASTRUCTURE,Estate management,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,310865,Estate core services charge,7752554.66
Ministry of Defence,Ministry of Defence,21/02/2014,DEFENCE INFRASTRUCTURE,Estate management,CARILLIONENTERPRISE LIMITED,B75 7RL,308417,Estate core services charge,7164004.34
Ministry of Defence,Ministry of Defence,13/02/2014,DEFENCE INFRASTRUCTURE,Property leases,MODUS SERVICES LIMITED,SW1A 2HB,305571,Property non dwellings private finance initiative - service concession arrangement service charge,7071379.64
Ministry of Defence,Ministry of Defence,10/02/2014,DEFENCE INFRASTRUCTURE,Estate management,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,303865,Estate core services charge,6925543.16
Ministry of Defence,Ministry of Defence,26/02/2014,DEFENCE INFRASTRUCTURE,Estate management,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,310195,Estate core services charge,6569943.82
Ministry of Defence,Ministry of Defence,19/02/2014,Land Forces,Fees for professional services,CAPITA BUSINESS SERVICES LTD,DL1 9HN,307493,Fees for professional services excluding legal fees,6508772.00
Ministry of Defence,Ministry of Defence,13/02/2014,DEFENCE INFRASTRUCTURE,Estate management,CARILLIONENTERPRISE LIMITED,B75 7RL,305360,Works - estate management,6028532.01
Ministry of Defence,Ministry of Defence,26/02/2014,DEFENCE INFRASTRUCTURE,Property leases,RMPA SERVICES PLC,CO2 7ST,310406,Property dwellings private finance initiative - service concession arrangement service charge,5901223.76
Ministry of Defence,Ministry of Defence,10/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,303886,Utilities consumed - electricity,5835692.18
Ministry of Defence,Ministry of Defence,12/02/2014,Land Forces,Estate management,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,304953,Estate + facilities management services - accommodation inventory + service,5318476.49
Ministry of Defence,Ministry of Defence,07/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,303360,Utilities consumed - electricity,5285680.05
Ministry of Defence,Ministry of Defence,04/02/2014,DEFENCE INFRASTRUCTURE,Estate management,BABCOCK SUPPORT SERVICES LIMITED,BS3 2HQ,5000108200,Estate core services charge,5202297.98
Ministry of Defence,Ministry of Defence,05/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,DEBUT SERVICES LIMITED,B75 7RL,302276,Fiscal asset under construction - capital in year addition,4884535.45
Ministry of Defence,Ministry of Defence,07/02/2014,DEFENCE INFRASTRUCTURE,Estate management,BABCOCK DYNCORP LIMITED,PE28 2EA,303249,Estate core services charge,4382212.73
