Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.02.2012 to 29.02.2012,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,03/02/2012,Capital Grant,Schools Capital and Revenue Grants,SALFORD CITY COUNCIL (BARTON MOSS SECURE),421813,159044.48,
DfE,PfS,01/02/2012,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,422014,46227.97,
DfE,PfS,01/02/2012,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,422020,52037.13,
DfE,PfS,01/02/2012,Capital Grant,Schools Capital and Revenue Grants,DERBY DIOCESAN COUNCIL OF EDUCATION,422022,30404.93,
DfE,PfS,01/02/2012,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,422024,57160.65,
DfE,PfS,01/02/2012,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,422030,42878.51,
DfE,PfS,01/02/2012,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,422040,36540.06,
DfE,PfS,01/02/2012,Capital Grant,Schools Capital and Revenue Grants,RCS ARUNDEL AND BRIGHTON ST PETERS SCHOOL SHOREHAM GOVS. ARUNDEL,422042,140337.00,
DfE,PfS,01/02/2012,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,422044,162692.99,
DfE,PfS,01/02/2012,Capital Grant,Schools Capital and Revenue Grants,BRENTWOOD ROMAN CATHOLIC DIOCESAN TRUSTEES SCHOOL BUILDINGS ACCOUNT,422046,55103.65,
