February 2012 Spend over £25k (inc vat),,,,, ,, ,, ,,,,,
Department Family,Entity,Payment Date,A/C - Type of Expenditure,C/C - Business Area,Supplier,Invoice No.,Spend Month, Invoice total  ,Description,Supplier Postcode,SME?,Contract/PO #,Project Code,Expenditure Type
DEFRA,RPA,06-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,32692,Feb,58659.47,Workington - Facility Management Service,B4 6AJ,,PO:63805,N/A,Admin
DEFRA,RPA,06-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,32714,Feb,371433.55,Reading North Gate House - Facility Management Service,B4 6AJ,,PO:63800 ,N/A,Admin
DEFRA,RPA,06-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,32987,Feb,43802.37,Carlisle - Facility Management Service,B4 6AJ,,PO:63801 ,N/A,Admin
DEFRA,RPA,06-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,33043,Feb,55973.65,Workington - Facility Management Service,B4 6AJ,,PO:63805,N/A,Admin
DEFRA,RPA,06-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,33059,Feb,49228.51,Reading Kings House -  Facility Management Service,B4 6AJ,,PO:63799 ,N/A,Admin
DEFRA,RPA,06-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,29597,Feb,634211.94,Reading Kings House -  Facility Management Service,B4 6AJ,,PO:63799,N/A,Admin
DEFRA,RPA,06-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,32028,Feb,38723.49,Northallerton - Facility Management Service,B4 6AJ,,PO:63804,N/A,Admin
DEFRA,RPA,07-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,32105,Feb,44562.09,Reading Kings House -  Facility Management Service,B4 6AJ,,PO:63799,N/A,Admin
DEFRA,RPA,07-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,32713,Feb,487455.23,Reading Kings House -  Facility Management Service,B4 6AJ,,PO:63799,N/A,Admin
DEFRA,RPA,07-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,32717,Feb,222131.58,Newcastle - Facility Management Service,B4 6AJ,,PO:63803,N/A,Admin
DEFRA,RPA,07-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,29603,Feb,42671.27,Newmarket - Facility Management Service,B4 6AJ,,PO 63744,N/A,Admin
DEFRA,RPA,07-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,32721,Feb,34927.49,Newmarket - Facility Management Service,B4 6AJ,,PO 63744 ,N/A,Admin
DEFRA,RPA,10-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,29498,Feb,293277.12,Northallerton - Facility Management Service,B4 6AJ,,PO:63804,N/A,Admin
DEFRA,RPA,10-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,31653,Feb,28365.56,Exeter -  Facility Management Service,B4 6AJ,,PO.63802,N/A,Admin
DEFRA,RPA,29-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,32242,Feb,28365.56,Exeter -  Facility Management Service,B4 6AJ,,PO.63802,N/A,Admin
DEFRA,RPA,29-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,32632,Feb,208745.02,Northallerton - Facility Management Service,B4 6AJ,,PO.63804 ,N/A,Admin
DEFRA,RPA,29-Feb-12,Defra Estates Recharge,Sustainable Workplace Management,DTZ,32688,Feb,236770.88,Exeter -  Facility Management Service,B4 6AJ,,PO.63802,N/A,Admin
DEFRA,RPA,02-Feb-12,IT Outsourced Services,Service Management & Programmes & Projects,IBM UK,5801121672,Feb,901460.89,Monthly ICT Managed Service Baseline Charges - Jan 2012,PO6 3AE, ,PO 63863 ,N/A,Admin
DEFRA,RPA,02-Feb-12,IT Outsourced Services,Service Management & Programmes & Projects,IBM UK,5801121673,Feb,902269.92,Monthly ICT Managed Service Baseline Charges - Feb 2012,PO6 3AE,,PO 63863 ,N/A,Admin
DEFRA,RPA,27-Feb-12,Travel,Various,Redfern Travel,30492,Feb,47708.05,"Travel Services - Train Travel, Air travel - Dec 2011",BD1 3AZ, ,N/A,N/A,Admin
DEFRA,RPA,14-Feb-12,Postal & Carriage Charges,Document Management Services,Royal Mail,0738419001/1106780461,Feb,33000.00,Postal charges,PE4 5PG,,N/A,N/A,Admin
DEFRA,RPA,13-Feb-12,IT Outsourced Services,Programmes & Projects,Steria Limited,100029331,Feb,48080.76,Professional Services,M14 0WN,,PO 63791,N/A,Admin
DEFRA,RPA,01-Feb-12,Telecomms Service Charges-,Service Management,Vodafone Ltd,601208731/1/61984130,Feb,27524.41,Mobile phone charges,RG14 5FF,,N/A,N/A,Admin
DEFRA,RPA,17-Feb-12,RPA  Vehicle Scheme Costs,Car Insurance,Willis Limited,4056,Feb,79500.00,Annual Motor Fleet Insurance 10/1/12 to 9/1/13,IP1 1TA,,N/A,N/A,Admin
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,
