Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,1/12/2015,IS/IT COSTS - NON RECOVERABLE VAT,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,ADAPT SERVICES LTD,3000066714,49858.62,Cloud Infrastructure Charge,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,1/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS DELIVERY OPERATIONS OTHER,CAPITA BUSINESS SERVICES LTD,3000066712,34174.20,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,1/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000066712,35148.03,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,1/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG NEXT GENERATION SHARED SERVICES,CAPITA BUSINESS SERVICES LTD,3000066712,39373.58,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,1/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000066712,45309.55,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,1/12/2015,SOFTWARE LEASE/LICENSE,CABINET OFFICE TEAM,XMA LTD,3000066722,123829.70,IT Equipment,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,1/12/2015,NON PRIME PROPERTY COSTS,GPU RESIDUAL ESTATE ADMIN,CBGA ROBSON LLP,3000066724,25219.20,Rent for accomodation,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,2/12/2015,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,ROYAL MAIL SERVICE PENSIONS,ROYAL MAIL GROUP LTD,3000066738,406688.75,Administration fees for Civil Service Pensions,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,2/12/2015,OTHER IS IT COSTS VAT RECOV,PLATFORMS AND STANDARDS,ZUHLKE ENGINEERING LTD,3000066748,39981.25,Developer services provided to GaaP product teams,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,2/12/2015,OTHER IS IT COSTS VAT RECOV,UKVI TRANSFORMATION,WTG TECHNOLOGIES LTD,3000066737,27880.00,Digital development services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,2/12/2015,CONSULTANTS VAT RECOVERABLE,TECHNICAL ASSISTANCE,NCVO,3000066771,25920.00,Funding for a web portal providing advice to public funders,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,2/12/2015,OTHER IS IT COSTS VAT RECOV,GPU POLICY AND STRATEGY ADMIN,CORPORATE DOCUMENT SERVICES LTD,3000066764,40000.00,IT Service Costs,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,2/12/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,PALANTIR TECHNOLOGIES UK LTD,3000066754,219600.00,IT Service Costs,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,2/12/2015,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,SME IDR & PENSIONS TECHNICAL LEAD,GOVERNMENT ACTUARYS DEPARTMENT GAD,3000066767,27944.64,Legal Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,2/12/2015,GRANT FUND MANAGEMENT,ERTP ERO CONFIRMATION & VERIFICATION,DEPARTMENT OF COMMUNITIES & LOCAL GOVERNMENT,3000066732,26000.00,Managed service for processing electoral expense claims from returning officers,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,2/12/2015,OPERATING LEASES - RENT,NSG TRANSITION COSTS,DE VERE VENUES GROUP LTD,3000066742,49440.00,Rent for accomodation,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,3/12/2015,NON PRIME UTILITIES,FEM MISC,BOUYGUES E&S FM UK LTD,3000066807,53103.04,Facilities Management Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,3/12/2015,FM CONTRACT FIXED COSTS,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000066807,568379.62,Facilities Management Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,3/12/2015,GRANT IN AID PRIVATE SECTOR,AD-HOC NCSP PROJECTS,CREST GB LTD,3000066781,71525.00,Grant to promote cyber careers to young people,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,3/12/2015,LEGAL ADVICE FROM TSOL,EUROPEAN AND GLOBAL ISSUES SECREATARIAT,GOVERNMENT LEGAL DEPARTMENT,3000066790,411500.00,Legal Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,3/12/2015,GRANT FUND MANAGEMENT,ERTP ERO CONFIRMATION & VERIFICATION,DEPARTMENT OF COMMUNITIES & LOCAL GOVERNMENT,3000066805,78000.00,Managed service for processing electoral expense claims from returning officers,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,4/12/2015,RESOURCE GRANTS PRIVATE SECTOR,COMPACT VOICE,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,1001398,62500.00,To fund the costs of Compact Voice,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,4/12/2015,CONSULTANTS VAT RECOVERABLE,GPU GOVERNMENT PROPERTY MODEL,DELOITTE CONSULTING LTD,3000066835,84000.00,Consultancy fees for support with a major project,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,4/12/2015,IS/IT COSTS - NON RECOVERABLE VAT,COMMON TECHNOLOGY SERVICES,E SYNERGY SOLUTIONS LTD,3000066827,38237.99,Digital development services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,4/12/2015,TELECOM RENTALS,CCS RESILIENT TELECOMMUNICATIONS,MINISTRY OF DEFENCE,3000066846,1075330.03,High Integrity Telecoms System Project Costs,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,7/12/2015,INSIGNIA OVERHEAD COSTS,HONOURS AND DIGNITIES,TREASURER TO THE QUEEN,3000066868,71603.00,Administation and overheads costs for insignia,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,7/12/2015,Information Services,Technology Governance,Dun & Bradstreet Ltd,PINP2P 1803,640481.00,Customer and Supplier Registration Contract,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,7/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000066875,45866.22,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,7/12/2015,WSDS Maintenance & Repairs,Whitehall Standby Dist Systems,Cofely,PINP2P 1799,41838.19,Whitehall heating systems management,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,7/12/2015,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINP2P 1801,67053.94,Whitehall heating systems management,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,7/12/2015,WDHS Cost of Heat Supplied,Whitehall District Heating Systems,Cofely,PINP2P 1800,93630.51,Whitehall heating systems management,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,8/12/2015,Information Services,Technology Governance,IBM UNITED KINGDOM LTD,PINP2P 1818,43064.01,IBM Emptoris Contract Management & Sourcing October 2015,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,8/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG DATA GOV UK,CAPITA BUSINESS SERVICES LTD,3000066919,49110.79,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,8/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000066919,32919.00,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,8/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000066919,44498.00,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,8/12/2015,TELECOM RENTALS,CABINET OFFICE TEAM,LEVEL 3,3000066926,76045.19,Managed VPN services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,8/12/2015,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000066914,2946436.48,MyCSP programme costs,,,,,,,,,,,,,,,,
