Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number
DEFRA,EA,09/08/12,ICT Commodities,HO Capital WiP,ABM UK Ltd,1058884," £81,600.00 ",Support for Intellicase Regulatory Enforcement and Sanctions Act (RES) and Legal Project (Enforcement Case Management System ECMS),NG11 6JS,,,EBORI40002L02,Project,
DEFRA,EA,07/08/12,Engineering Goods,HO Fleet Operations,Allstar Business Solutions Ltd,1098103," £363,095.14 ",Fuel for Commercial Fleet 2012/2013,SN5 6PQ,,30341204,,Administration,
DEFRA,EA,07/08/12,Engineering Goods,HO Fleet - EA Wales,Allstar Business Solutions Ltd,1099043," £50,865.78 ",EA Wales fuel for commercial fleet April 2012 to March 2013,SN5 6PS,,40034238,,Administration,
DEFRA,EA,07/08/12,Professional Services Other,NE Yorkshire Area Ops Delivery,Amco Engineering,1098141," £72,670.73 ",Provision of mechanical and electrical maintenance of fixed plant and systems to Environment Agency Yorkshire and North East Region,S75 1HT,,30244069,RENE790106,Administration,
DEFRA,EA,07/08/12,Professional Services Other,NE Yorkshire Area Ops Delivery,Amco Engineering,1098143," £58,828.75 ",Provision of mechanical and electrical maintenance of fixed plant and systems to Environment Agency Yorkshire and North East Region,S75 1HT,,30244069,RENE790106,Administration,
DEFRA,EA,16/08/12,Professional Services Other,SE WT FCRM Ops South East,Amco Engineering,1101084," £52,136.98 ",South East watercourse maintenance,S75 1HT,,30343157,FRA15S174 | FRA15S169 | FRA15S129 | FRA15S149 | FRA16S216 | FRA16S266 | FRA16S242 | FRA15S044 | FRA15S002 | FRA15S098 | FRA16S231 | FRA16S234 | FRA16S240 | FRA15S203 | FRA15S039 | FRA15S055 | FRA16S224 | FRA15S172 | FRA15S005 | FRA15S202 | FRA16S230 | FRA16S238 | FRA15S050 | FRA15S075 | FRA15S003 | FRA15S021 | FRA15S151 | FRA15S167 | FRA16S259 | FRA16S221 | FRA16S225 | FRA15S215 | FRA15S026 | FRA15S105 | FRA15S140 | FRA16S247 | FRA16S222 | FRA16S235 | FRA15S171 | FRA15S173 | FRA15S207 | FRA15S133 | FRA15S170 | FRA16S244 | FRA16S249 | FRA16S263 | FRA15S107 | FRA15S120 | FRA15S143 | FRA16S213 | FRA16S264 | FRA16S219 | FRA16S220 | FRA16S223 | FRA16S241,Project,
DEFRA,EA,01/08/12,Professional Services - CCL,National Permitting Service,AMEC Environment & Infrastructure UK Ltd,1097309," £28,466.10 ",Consultant support in national permitting service until end of September ,NE3 3PX,,30148939,,Project,
DEFRA,EA,23/08/12,Professional Services Other,E and B Land and Water,Angling Trust,1102925," £80,000.00 ","Contribution as part of the restructure of the Angling Development Board. Payment for an interim period while a new comprehensive agreement is put in place that consolidates all existing and new, commitments with the Angling Trust.",NG8 6PE,,,EBPLW11012,Administration,
DEFRA,EA,14/08/12,Professional Services Other,E and B Land and Water,Angling Trust,1099783," £72,000.00 ",National Angling Participation plan and National Angling survey 2012,NG8 6PE,,,EBPLW12025,Administration,
DEFRA,EA,23/08/12,Industrial Services,E and B Land and Water,Angling Trust,1102921," £25,000.00 ",Anglian Development Board Regional Officers funding. 6 month extension to existing agreement to cover interim period between end of existing agreement and the creation of a new one.,NG8 6PE,,,EBPLW12025,Administration,
