DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,SUPPLIER_OBS_TYPE,EXPENSE_AREA,SUPPLIER_OBS_TYPE_1,SUPPLIER,TRANSACTION_NUM, AMOUNT ,Actual Description,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM
DEFRA,DEFRA ORGANISATION,13/02/2012,Payover,Defra Executive Agency,Central Finance Group,Defra Executive Agency,Veterinary Medicines Directorate,310112,"£40,236.82","VAT for Quarter 3, 2011/12",KT15 3LS,,,0,Liability,
DEFRA,DEFRA ORGANISATION,13/02/2012,Payover,Defra Executive Agency,Central Finance Group,Defra Executive Agency,Animal Health and Veterinary Laboratories Agency,310112,"£1,961,788.61","VAT for Quarter 3,  2011/12",YO1 7PX,,,0,Liability,
DEFRA,DEFRA ORGANISATION,13/02/2012,Payover,Defra Executive Agency,Central Finance Group,Defra Executive Agency,Rural Payments Agency,310112,"£1,332,369.38","VAT for Quarter 3, 2011/12",RG1 3BU,,,0,Liability,
DEFRA,DEFRA ORGANISATION,29/02/2012,Mobile Phones,Supplier,Central Finance Group,Supplier,Vodafone Ltd,6.24E+15,"£58,762.32",Mobile Phone bill - February 2012,RG14 5FF,,,0,Asset,
DEFRA,DEFRA ORGANISATION,17/02/2012,GPC Card,Supplier,Central Finance Group,Supplier,Barclaycard Business Issuing,4.72E+21,"£288,361.36",Government Procurement Card payments across Defra for period February 2012,TS17 6YG,,,0,Asset,
DEFRA,DEFRA ORGANISATION,07/02/2012,Business & Technical/Consultancy Assignments,Supplier,Green Economy and Corporate Services Group,Supplier,Xancam Consulting Ltd,3198,"£25,120.06",Senior Civil Servant Talent Pool Assessments ,OX9 3EH,SME,10127/3,BDLCTLDE,Expense,
DEFRA,DEFRA ORGANISATION,23/02/2012,Civil service Pension Administration,OGD,Green Economy and Corporate Services Group,OGD,JSS Pensions Administration,3618,"£33,789.75",Administration charges for Horticulture Research Institute Pensions 2011/12,SN2 1UY,,13548,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Other Current Payments UK,Supplier,Green Economy and Corporate Services Group,Supplier,B E T A Technology Ltd,5012,"£28,587.77",Research and Development - Provision of UK national contact points services.,DN4 5HZ,SME,exempt,EUIPARTN,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Other Current Payments (Evidence R&D),OGD,Green Economy and Corporate Services Group,OGD,Economic & Social Research Council,6846,"£100,000.00",Research and Development - Understanding Society UK household longitudinal study,SN2 1UJ,,exempt,UKRPARTN,Expense,
DEFRA,DEFRA ORGANISATION,01/02/2012,Estates Professional Fees & Services,Supplier,Green Economy and Corporate Services Group,Supplier,D T Z,181410,"£32,586.33",Defra Property Portfolio. DTZ Asset Management Fee ,EH3 9QG,,X,DTZ00000,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Removal Expenses (Staff),OGD,Green Economy and Corporate Services Group,OGD,Home Office,1104255,"£34,592.31","Secondee’s salary costs for August, September, October 2011",NP20 9BB,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Other Current Payments (Evidence R&D),Public Body,Green Economy and Corporate Services Group,Public Body,Cranfield University,1338083,"£50,000.00",Research and Development - Collaborative Centre of Excellence for Understanding and Managing Natural and Environmental Risks and Futures December 2011.,MK43 0AL,,exempt,HSFUTURE,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Other Current Payments (Evidence R&D),Public Body,Green Economy and Corporate Services Group,Public Body,Cranfield University,1338105,"£50,000.00",Research and Development - Collaborative Centre of Excellence for Understanding and Managing Natural and Environmental Risks and Futures- January 2012.,MK43 0AL,,exempt,HSFUTURE,Expense,
DEFRA,DEFRA ORGANISATION,01/02/2012,Evidence Non R&D,Supplier,Green Economy and Corporate Services Group,Supplier,URS Scott Wilson,4965817,"£26,062.50",Environmental Protection Economic survey - Provision of business services,RG21 7PP,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Other Current Payments (Evidence R&D),Supplier,Green Economy and Corporate Services Group,Supplier,URS Scott Wilson,4974615,"£30,600.00",Research and Development-Provision of economic evidence analysis and appraisal for the Independent Panel on Forestry,RG21 7PP,,Exempt,RDEVFUND,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Evidence Non R&D,Supplier,Green Economy and Corporate Services Group,Supplier,A E A Technology - SPM Lead Contract,6146599,"£229,591.89",Sustainable Consumption and Production - Lead Contract - Energy Using Products,OX11 0QJ,,10548,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Gas,Supplier,Green Economy and Corporate Services Group,Supplier,Corona Energy,6504735,"£65,331.44","Gas bill -01 August -01 September 2011 for Food and Environment Research Agency (FERA), Sand Hutton, York",WD17 1JW,,,B2810000,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Gas,Supplier,Green Economy and Corporate Services Group,Supplier,Corona Energy,6594024,"£48,848.88","Gas bill -01 September-01 October 2011 for Food and Environment Research Agency (FERA), Sand Hutton, York",WD17 1JW,,,B2810000,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Gas,Supplier,Green Economy and Corporate Services Group,Supplier,Corona Energy,6731325,"£66,108.41","Gas bill -01 October -01 November 2011 for Food and Environment Research Agency (FERA), Sand Hutton, York",WD17 1JW,,,B2810000,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Gas,Supplier,Green Economy and Corporate Services Group,Supplier,Corona Energy,6741496,"£75,622.10","Gas bill -01 November -01 December 2011 for Food and Environment Research Agency (FERA), Sand Hutton, York",WD17 1JW,,,B2810000,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Gas,Supplier,Green Economy and Corporate Services Group,Supplier,Corona Energy,6745376,"£58,515.35","Gas bill -01 October- 01 November 2011 for Veterinary Laboratory, Weybridge.",WD17 1JW,,,B0870000,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Gas,Supplier,Green Economy and Corporate Services Group,Supplier,Corona Energy,6745703,"£50,403.01","Gas bill -01 November-01 December 2011 for Veterinary Laboratory, Weybridge.",WD17 1JW,,,B0870000,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Gas,Supplier,Green Economy and Corporate Services Group,Supplier,Corona Energy,6789818,"£26,204.00","Gas bill  -01 October 2011-01 November 2011 for Veterinary Laboratory, Weybridge.",WD17 1JW,,,B0870000,Expense,
DEFRA,DEFRA ORGANISATION,29/02/2012,Gas,Supplier,Green Economy and Corporate Services Group,Supplier,Corona Energy,6808009,"£44,365.70","Gas bill -01 December 2011- 01 January 2012 for Veterinary Laboratory, Weybridge.",WD17 1JW,,,B0870000,Expense,
DEFRA,DEFRA ORGANISATION,15/02/2012,Electricity,Supplier,Green Economy and Corporate Services Group,Supplier,Corona Energy,6824548,"£90,834.24","Gas bill -01 December 2011-01 January 2012 for Food and Environment Research Agency (FERA), Sand Hutton, York",WD17 1JW,,,B2810000,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Gas,Supplier,Green Economy and Corporate Services Group,Supplier,Corona Energy,6825363,"£26,710.50",Gas bill -01 December 2011 - 01 January 2012 for Hounslow - Vista Business Centre-Suites 31 and 32,WD17 1JW,,,B6870000,Expense,
DEFRA,DEFRA ORGANISATION,23/02/2012,Other Current Payments (GB),Public Body,Green Economy and Corporate Services Group,Public Body,University Of Westminster,9800991,"£30,794.00",Sustainable Development Research Network Phase 4 for October-December 2011,W1W 6UP,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,23/02/2012,Other Capital UK,Public Body,Green Economy and Corporate Services Group,Public Body,Local Government Association,40123637,"£60,000.00",Memorandum of Understanding with Local Government Association - assessment of Flood and Water Management Bill new burdens,SW1P 3HZ,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Other Capital UK,OPB - Other,Green Economy and Corporate Services Group,OPB - Other,Ordnance Survey,91437947,"£259,202.34",UK Location Programme-capital grant from Defra for Aug-Dec 2011,SO16 4XH,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Electricity,Supplier,Green Economy and Corporate Services Group,Supplier,E D F Energy,124010212,"£145,751.17","Electricity bill  January 2012 for Food and Environment Research Agency (FERA), Sand Hutton, York",PL3 5XQ,,,B2810000,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Market Research,OGD,Green Economy and Corporate Services Group,OGD,Cabinet Office RM Shared Services,250003929,"£37,867.20","Processing and analysis of data, and production of detailed reports for Defra, based on staff surveys completed by staff within Defra as part of the cross-Government 2011 Civil Service Staff Service",CF14 3UW,,Exempt,BDHTCGSV,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Overhead Incidental Expenses,OGD,Green Economy and Corporate Services Group,OGD,Cabinet Office,250004187,"£68,400.00",Recruitment costs for 12 fast streamers to start in October 2012.,RG21 4HG,,exempt,BDLCFAST,Expense,
DEFRA,DEFRA ORGANISATION,15/02/2012,Application Hosting 2 - Business Applications,Supplier,Green Economy and Corporate Services Group,Supplier,IBM United Kingdom Ltd,5801120939,"£48,644.24",Lumension Device Control Service - DEC 11,GU1 2LD,,FRW10040-00,CHOSW100,Expense,
DEFRA,DEFRA ORGANISATION,15/02/2012,IBM Base Services Control,Supplier,Green Economy and Corporate Services Group,Supplier,IBM United Kingdom Ltd,5801120953,"£164,922.00",Data Anonymisation Service - 1/12/11 - 31/12/11,GU1 2LD,,FRW10040-00,0,Expense,
