Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/06/2012,Publicity & advertising,External Relations Directorate,TNS UK LTD,LARGE,W5 5SU,260107540,-30269,,Evaluation research of the Change4Life Supermeals Campaign including campaing brand tracking and clickthrough service,Programme,
Department of Health,Department of Health,01/06/2012,Publicity & advertising,External Relations Directorate,TNS UK LTD,LARGE,W5 5SU,260107540,-16248,,Additional cost of Evaluation research of the Change4Life Supermeals campaign and to cover the Change4Life alcohol pre campaign tracking and reporting,Programme,
Department of Health,Department of Health,01/06/2012,Publicity & advertising,External Relations Directorate,TNS UK LTD,LARGE,W5 5SU,260107540,-1290,,addtional behaviour question X 2 on the C4L tracking survey,Programme,
Department of Health,Department of Health,01/06/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,790222,-26.78,,31 March - 30 April TV media buying for national Second hand smoke campaign,Programme,
Department of Health,Department of Health,01/06/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,790222,26.78,,"May TV,VOD, Radio, Online and press media for Secondhand smoke campaign",Programme,
Department of Health,Department of Health,01/06/2012,Publicity & advertising,External Relations Directorate,TNS UK LTD,LARGE,W5 5SU,260107540,1290,,Change4Life Additional behaviour questions x 2 on Jan tracking service,Programme,
Department of Health,Department of Health,01/06/2012,Publicity & advertising,External Relations Directorate,TNS UK LTD,LARGE,W5 5SU,260107540,16248,,Extra costs of Evaluation research of the Change4Life Supermeals Campaign to cover alcohol pre-tracking and report,Programme,
Department of Health,Department of Health,01/06/2012,Publicity & advertising,External Relations Directorate,TNS UK LTD,LARGE,W5 5SU,260107540,30269,,Evaluation research of the Change4Life Supermeals Campaign including campaing brand tracking and clickthrough service,Programme,
Department of Health,Department of Health,01/06/2012,Outsourcing Contract,External Relations Directorate,E DBA LTD,SME,BN1 1NH,802064,39436.1,,"e-lfh, Extension of contract for e-DBA April 2012 - March 13 ( ref PO484164)",Programme,
Department of Health,Department of Health,06/06/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,796838,29277.6,,Lung cancer campaign - radio advertising,Programme,
Department of Health,Department of Health,06/06/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,796825,38249.84,,Lung cancer campaign - press advertising,Programme,
Department of Health,Department of Health,06/06/2012,Outsourcing Contract,External Relations Directorate,BROADCASTING SUPPORT SERVICES,LARGE,M1 3HU,S13-00050,56977,,Carers Direct contact centre provision - specialist advice to support carers in the UK.,Programme,
Department of Health,Department of Health,06/06/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,796827,58324.34,,S4L -  press advertising Contact,Programme,
