Departmental Family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,01/07/2011,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,IPSOS MORI,4000056961,29379.6
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Commercial Directors Office Group,CARLSON WAGONLIT TRAVEL,4000057243,64.74
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Communications Strategy and Insight Group,CARLSON WAGONLIT TRAVEL,4000057243,574.3
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,CARLSON WAGONLIT TRAVEL,4000057243,370.49
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,CARLSON WAGONLIT TRAVEL,4000057243,157.45
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,CARLSON WAGONLIT TRAVEL,4000057243,1201.52
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Customer Contact and Business Development Group,CARLSON WAGONLIT TRAVEL,4000057243,1598.52
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Press Office Group,CARLSON WAGONLIT TRAVEL,4000057243,103.98
Department for Education,DEPARTMENT FOR EDUCATION,20/07/2011,STAFF EXPENSES / COSTS,Commercial Directors Office Group,CARLSON WAGONLIT TRAVEL,4000058075,30.76
Department for Education,DEPARTMENT FOR EDUCATION,20/07/2011,STAFF EXPENSES / COSTS,Communications Strategy and Insight Group,CARLSON WAGONLIT TRAVEL,4000058075,656.21
Department for Education,DEPARTMENT FOR EDUCATION,20/07/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,CARLSON WAGONLIT TRAVEL,4000058075,256.23
Department for Education,DEPARTMENT FOR EDUCATION,20/07/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,CARLSON WAGONLIT TRAVEL,4000058075,1485.87
Department for Education,DEPARTMENT FOR EDUCATION,20/07/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,CARLSON WAGONLIT TRAVEL,4000058075,72.84
Department for Education,DEPARTMENT FOR EDUCATION,20/07/2011,STAFF EXPENSES / COSTS,Customer Contact and Business Development Group,CARLSON WAGONLIT TRAVEL,4000058075,571.13
Department for Education,DEPARTMENT FOR EDUCATION,20/07/2011,STAFF EXPENSES / COSTS,Marketing Group,CARLSON WAGONLIT TRAVEL,4000058075,149.61
Department for Education,DEPARTMENT FOR EDUCATION,20/07/2011,STAFF EXPENSES / COSTS,Press Office Group,CARLSON WAGONLIT TRAVEL,4000058075,23.52
Department for Education,DEPARTMENT FOR EDUCATION,20/07/2011,PROFESSIONAL FEES,Press Office Group,CARLSON WAGONLIT TRAVEL,4000058075,291.61
Department for Education,DEPARTMENT FOR EDUCATION,22/07/2011,COMMUNICATIONS & PUBLICITY,Communications Strategy and Insight Group,PROLOG,4000058250,36.13
Department for Education,DEPARTMENT FOR EDUCATION,22/07/2011,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,PROLOG,4000058250,57672.29
Department for Education,DEPARTMENT FOR EDUCATION,22/07/2011,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,PROLOG,4000058250,4500
Department for Education,DEPARTMENT FOR EDUCATION,22/07/2011,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,PROLOG,4000058250,70887.46
Department for Education,DEPARTMENT FOR EDUCATION,29/07/2011,STAFF EXPENSES / COSTS,Communications Strategy and Insight Group,EXPOTEL HOTEL RESERVATIONS LTD,4000058702,97.32
Department for Education,DEPARTMENT FOR EDUCATION,29/07/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,EXPOTEL HOTEL RESERVATIONS LTD,4000058702,306.64
Department for Education,DEPARTMENT FOR EDUCATION,29/07/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,EXPOTEL HOTEL RESERVATIONS LTD,4000058702,261.11
Department for Education,DEPARTMENT FOR EDUCATION,07/07/2011,CURRENT GRANTS,Supporting Children and Young People Group,BOLTON LADS & GIRLS CLUB,705105,35605.65
Department for Education,DEPARTMENT FOR EDUCATION,11/07/2011,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Group,RELATE,705107,45691.2
Department for Education,DEPARTMENT FOR EDUCATION,22/07/2011,CURRENT GRANTS,Children Young People and Families Early Years Extended Schools and Special Needs,AUTISM EDUCATION TRUST,1000396,343735
Department for Education,DEPARTMENT FOR EDUCATION,26/07/2011,CURRENT GRANTS,Children Young People and Families Safeguarding Group,INTERNATIONAL SOCIAL SERVICE OF THE UNITED KINGDOM,1000400,28250
Department for Education,DEPARTMENT FOR EDUCATION,28/07/2011,CURRENT GRANTS,Children Young People and Families Early Years Extended Schools and Special Needs,THE FAMILY FUND TRUST,1000401,2407000
Department for Education,DEPARTMENT FOR EDUCATION,20/07/2011,CURRENT GRANTS,Children Young People and Families Early Years Extended Schools and Special Needs,BRITISH DYSLEXIA ASSOCIATION,1000691,98448.01
Department for Education,DEPARTMENT FOR EDUCATION,05/07/2011,GRANT IN AID,Children Young People and Families Group,CAFCASS,2000402,10374368
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,GRANT IN AID,Supporting Children and Young People Group 2,OFFICE OF THE CHILDRENS COMMISSIONER,2000408,216248.4
Department for Education,DEPARTMENT FOR EDUCATION,04/07/2011,RESEARCH & DEVELOPMENT COSTS,Children Young People and Families Early Years Extended Schools and Special Needs,BIRKBECK COLLEGE,4000057001,107325
Department for Education,DEPARTMENT FOR EDUCATION,04/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Early Years Extended Schools and Special Needs,CRIMINAL RECORDS BUREAU,4000057007,158224
Department for Education,DEPARTMENT FOR EDUCATION,04/07/2011,CURRENT GRANTS,Supporting Children and Young People Group,TOMORROWS PEOPLE TRUST LTD,4000057030,42700.28
Department for Education,DEPARTMENT FOR EDUCATION,05/07/2011,CURRENT GRANTS,Children Young People and Families Safeguarding Group,LUCY FAITHFULL FOUNDATION,4000057078,35151
Department for Education,DEPARTMENT FOR EDUCATION,06/07/2011,MANAGEMENT CONSULTANCY,Children Young People and Families Group,DIGITAL PUBLIC,4000057122,109567.8
Department for Education,DEPARTMENT FOR EDUCATION,07/07/2011,CURRENT GRANTS,Supporting Children and Young People Group,BRITISH YOUTH COUNCIL,4000057190,199823
Department for Education,DEPARTMENT FOR EDUCATION,07/07/2011,CURRENT GRANTS,Children Young People and Families Group,INTERFACE ASSOCIATES UK LTD,4000057200,89868
Department for Education,DEPARTMENT FOR EDUCATION,07/07/2011,CAPITAL GRANTS,Children Young People and Families Early Years Extended Schools and Special Needs,SOUTHAMPTON CITY COUNCIL,4000057212,292056
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children and Families Directorate Support,CARLSON WAGONLIT TRAVEL,4000057243,125.28
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Group,CARLSON WAGONLIT TRAVEL,4000057243,1511.11
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Group,CARLSON WAGONLIT TRAVEL,4000057243,160.26
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Group,CARLSON WAGONLIT TRAVEL,4000057243,1179.98
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000057243,202.99
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000057243,403.76
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000057243,773.16
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000057243,1074.15
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000057243,504.46
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000057243,561.61
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000057243,1047.95
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000057243,20.82
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000057243,1497.82
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000057243,1052.15
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000057243,313.09
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Early Years Extended Schools and Special Needs,CARLSON WAGONLIT TRAVEL,4000057243,203.44
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Early Years Extended Schools and Special Needs,CARLSON WAGONLIT TRAVEL,4000057243,537.83
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Early Years Extended Schools and Special Needs,CARLSON WAGONLIT TRAVEL,4000057243,970.88
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Early Years Extended Schools and Special Needs,CARLSON WAGONLIT TRAVEL,4000057243,359.14
Department for Education,DEPARTMENT FOR EDUCATION,08/07/2011,STAFF EXPENSES / COSTS,Children Young People and Families Group,CARLSON WAGONLIT TRAVEL,4000057243,309.52
Department for Education,DEPARTMENT FOR EDUCATION,11/07/2011,CURRENT GRANTS,Children Young People and Families Safeguarding Group,INTERNATIONAL SOCIAL SERVICE OF THE UNITED KINGDOM,4000057348,28250
Department for Education,DEPARTMENT FOR EDUCATION,11/07/2011,CURRENT GRANTS,Supporting Children and Young People Group 2,N C V Y S,4000057360,121275
Department for Education,DEPARTMENT FOR EDUCATION,11/07/2011,CURRENT GRANTS,Children Young People and Families Early Years Extended Schools and Special Needs,NATIONAL PORTAGE ASSOCIATION,4000057363,29166.66
