2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: January 2011,,,,,,,

Department Family,Entity,Date,OGC Master Category,Project Code,Supplier,Transaction Number,Amount
Dept. for Education,QCDA,27/01/2011,ICT,Diploma,Amor Business Technology Solutions Ltd,PBAC/00131978,"Ł53,601.17"
Dept. for Education,QCDA,20/01/2011,Office Solutions,Test Delivery Operations Programme,Belmont Press Limited,PBAC/00131893,"Ł67,618.00"
Dept. for Education,QCDA,20/01/2011,Professional Services Other,Corporate Services,Birmingham City Council,PBAC/00131899,"Ł49,776.00"
Dept. for Education,QCDA,27/01/2011,Professional Services Temporary Staff,Test Delivery Operations Programme,BSS,PBAC/00131991,"Ł29,355.47"
Dept. for Education,QCDA,31/01/2011,Professional Services Learning & Development,Test Delivery Operations Programme,Edexcel Ltd,PBAC/00132025,"Ł2,359,758.00"
Dept. for Education,QCDA,17/01/2011,Office Solutions,Test Delivery Operations Programme,Elliott Baxter & Company Limited,PBAC/00131859,"Ł273,536.44"
Dept. for Education,QCDA,13/01/2011,Facilities,Corporate Services,MCD (Coventry) Ltd,PBAC/00131811,"Ł29,375.00"
Dept. for Education,QCDA,27/01/2011,ICT,Corporate Services,Methods Consulting Ltd,PBAC/00131965,"Ł32,935.84"
Dept. for Education,QCDA,27/01/2011,ICT,Test Delivery Operations Programme,Mouchel Management Consulting Ltd (Hedra,PBAC/00131972,"Ł48,214.47"
Dept. for Education,QCDA,06/01/2011,Marketing & Media,Test Delivery Operations Programme,Mouchel Management Consulting Ltd (Hedra,PBAC/00131718,"Ł27,842.76"
Dept. for Education,QCDA,13/01/2011,Professional Services Learning & Development,Assessment & Test Policy Programme,NCS Services UK Ltd,PBAC/00131810,"Ł86,060.28"
Dept. for Education,QCDA,27/01/2011,Professional Services Learning & Development,Assessment & Test Policy Programme,NCS Services UK Ltd,PBAC/00131979,"Ł28,124.62"
Dept. for Education,QCDA,10/01/2011,Professional Services Learning & Development,Test Delivery Operations Programme,NFER,POCRDT/00000484,"-Ł362,589.00"
Dept. for Education,QCDA,10/01/2011,Professional Services Learning & Development,Test Delivery Operations Programme,NFER,PBAC/00131763,"Ł178,194.85"
Dept. for Education,QCDA,06/01/2011,Professional Services Learning & Development,General Qualifications Programme,O C R,PBAC/00131696,"Ł75,099.00"
Dept. for Education,QCDA,27/01/2011,Facilities,Corporate Services,Office World (UK) Ltd,PBAC/00131961,"Ł97,117.20"
Dept. for Education,QCDA,18/01/2011,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PRFT/00001506,"Ł203,024.52"
Dept. for Education,QCDA,13/01/2011,Office Solutions,Test Delivery Operations Programme,Pindar,PBAC/00131800,"Ł133,809.88"
Dept. for Education,QCDA,06/01/2011,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00131717,"Ł83,647.49"
Dept. for Education,QCDA,20/01/2011,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00131881,"Ł37,255.06"
Dept. for Education,QCDA,13/01/2011,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00131807,"Ł26,070.88"
Dept. for Education,QCDA,17/01/2011,ICT,Corporate Services,Steria Ltd,PBAC/00131844,"Ł201,324.78"
Dept. for Education,QCDA,13/01/2011,ICT,Test Delivery Operations Programme,The Stationery Office,PBAC/00131802,"Ł29,222.55"
Dept. for Education,QCDA,31/01/2011,Professional Services Learning & Development,General Qualifications Programme,Tribal Education Ltd,PBAC/00132019,"Ł153,264.00"
Dept. for Education,QCDA,20/01/2011,Professional Services Learning & Development,General Qualifications Programme,Tribal Education Ltd,PBAC/00131884,"Ł69,837.30"
Dept. for Education,QCDA,31/01/2011,Professional Services Learning & Development,General Qualifications Programme,University of Bristol,PBAC/00132006,"Ł75,988.80"
Dept. for Education,QCDA,06/01/2011,Professional Services Learning & Development,General Qualifications Programme,University of Nottingham,PBAC/00131692,"Ł105,594.00"
