Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
DEFRA,Core Dept,22-Mar-11,Other Current Payments E,Food and Farming Group,Gen-Probe Life Sciences Ltd,13419,"29,880.00",
DEFRA,Core Dept,04-Mar-11,Other Current Payments E,Strategy and Evidence Group,Vertex Data Science Ltd,FI0407178,"29,860.38",
DEFRA,Core Dept,10-Mar-11,Other Current Payments (Evidence R&D),Food and Farming Group,Sac Commercial Ltd,3.03E+11,"29,799.12",
DEFRA,Core Dept,31-Mar-11,Agency Recharge,Corporate Services Group,Architon LLP,273009,"29,065.68",
DEFRA,Core Dept,28-Mar-11,Application Services/Applications On-Boarding,Environment and Rural Group,IBM United Kingdom Ltd,5803111125,"29,052.00",
DEFRA,Core Dept,14-Mar-11,FM Projects Non Capital Works,Corporate Services Group,Interserve (Facilities Mngmnt),FI00005629,"29,024.94",
DEFRA,Core Dept,16-Mar-11,Other Current Payments (Evidence R&D),Environment and Rural Group,A D A S UK Ltd,1.00E+12,"28,855.96",
DEFRA,Core Dept,31-Mar-11,Other Current Payments E,Strategy and Evidence Group,Vertex Data Science Ltd,FI0407287,"28,060.38",
DEFRA,Core Dept,24-Mar-11,Other Current Payments (Evidence R&D),Strategy and Evidence Group,Solcara Limited,4494,"27,583.20",
DEFRA,Core Dept,14-Mar-11,Other Current Payments E,Strategy and Evidence Group,SKM Enviros,JW01724,"27,180.35",
DEFRA,Core Dept,14-Mar-11,Other Current Payments E,Strategy and Evidence Group,SKM Enviros,JW01725,"27,180.35",
DEFRA,Core Dept,02-Mar-11,Agency Recharge,Corporate Services Group,Walter Lilly & Co Ltd,1383PC002,"27,110.40",
DEFRA,Core Dept,22-Mar-11,Other Current Payments (Evidence R&D),Strategy and Evidence Group,N U S Services Ltd,3597,"26,867.20",
DEFRA,Core Dept,22-Mar-11,Other Current Payments (Evidence R&D),Environment and Rural Group,The Arable Group,879,"26,393.00",
DEFRA,Core Dept,08-Mar-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,RIRP050934,"26,096.36",
DEFRA,Core Dept,28-Mar-11,Telephone Call Charges (C),Corporate Services Group,British Telecommunications plc,Q03701110311,"25,997.29",
DEFRA,Core Dept,31-Mar-11,Other Current Payments (Evidence R&D),Strategy and Evidence Group,White Young Green Consulting L,767595,"25,965.60",
DEFRA,Core Dept,10-Mar-11,Contractor - Management Cover,Strategy and Evidence Group,Tribal Helm Corporation Ltd,SIN010894TCL,"25,920.00",
DEFRA,Core Dept,10-Mar-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,3.03E+11,"25,535.29",
DEFRA,Core Dept,18-Mar-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Entec UK Ltd,478407,"25,137.60",
DEFRA,Core Dept,11-Apr-11,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.72E+21,"314,298.76",
DEFRA,Core Dept,05-Apr-11,Input VAT,Central Finance Group,A E A Technology plc,614323334,"138,312.00",
DEFRA,Core Dept,05-Apr-11,Grant-in Aid Payments,Environment and Rural Group,Environment Agency,EAGIAAPR11,"55,012,000.00",
DEFRA,Core Dept,05-Apr-11,Grant-in Aid Payments,Environment and Rural Group,Environment Agency,EACPFGIAAPR11,"40,034,000.00",
DEFRA,Core Dept,18-Apr-11,Other Current Payments E,Environment and Rural Group,Natural England,240311,"15,000,000.00",
DEFRA,Core Dept,05-Apr-11,Grant-in Aid Payments,Environment and Rural Group,Marine Management Organisation,290311,"5,027,000.00",
DEFRA,Core Dept,07-Apr-11,Other Current Payments E,Environment and Rural Group,British Waterways,310311,"4,848,000.00",
DEFRA,Core Dept,13-Apr-11,Current Grants E,Environment and Rural Group,Keep Britain Tidy,103998,"3,000,000.00",
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,Peak District National Park Au,240311,"2,835,000.00",
DEFRA,Core Dept,11-Apr-11,Other Current Payments E,Environment and Rural Group,Dorset County Council,1800109246,"2,750,000.00",
DEFRA,Core Dept,05-Apr-11,Other Current Payments (GB),Environment and Rural Group,C E F A S,8001008,"2,086,926.30",
DEFRA,Core Dept,28-Apr-11,EC Creditor,Environment and Rural Group,Department Of Agriculture & Ru,ERS-476666-33300,"1,860,967.18",
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,Lake District National Park Au,110311,"1,787,300.00",
DEFRA,Core Dept,11-Apr-11,Other Current Payments E,Environment and Rural Group,Dept For Communities & Local G,70411,"1,741,666.67",
DEFRA,Core Dept,21-Apr-11,Overhead Incidental Expenses,Environment and Rural Group,Acre.,5180,"1,600,000.00",
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,South Downs National Park Auth,100311,"1,568,935.00",
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,Yorkshire Dales National Autho,10311,"1,534,118.00",
DEFRA,Core Dept,15-Apr-11,Grant-in Aid Payments,Environment and Rural Group,The National Forest Co,50411,"1,285,771.00",
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,North York Moors National Park,90311,"1,277,401.00",
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,Northumberland Nat Park Author,110311,"1,274,000.00",
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,Dartmoor National Park Authori,40311,"1,168,286.00",
DEFRA,Core Dept,19-Apr-11,Grant-in Aid Payments,Environment and Rural Group,Consumer Council for Water (CC,130411,"1,137,637.00",
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,New Forest National Park Auth,100311,"1,095,391.00",
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,Broads Authority,90311,"1,000,537.00",
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,Exmoor National Park Authority,80311,"978,700.00",
DEFRA,Core Dept,11-Apr-11,Other Capital UK,Environment and Rural Group,Association Of Rivers Trusts,1106,"769,052.00",
DEFRA,Core Dept,19-Apr-11,Other Current Payments (GB),Environment and Rural Group,Mineral Industry Research Orga,SIN000533,"765,397.47",
DEFRA,Core Dept,13-Apr-11,Other Current Payments (GB),Environment and Rural Group,Carbon Trust,240211,"500,000.00",
DEFRA,Core Dept,11-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,University of Oxford,RIRF120073812,"306,413.04",
DEFRA,Core Dept,05-Apr-11,Other Current Payments E,Environment and Rural Group,Lincolnshire Fire & Rescue,300311,"250,000.00",
DEFRA,Core Dept,11-Apr-11,Other Current Payments (GB),Environment and Rural Group,Dept For Communities & Local G,60411,"250,000.00",
DEFRA,Core Dept,15-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,H R Wallingford Ltd,HR042966,"227,160.00",
DEFRA,Core Dept,11-Apr-11,Other Current Payments UK,Environment and Rural Group,Bureau Veritas UK Ltd,11006422,"217,165.20",
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,North York Moors National Park,9.03E+12,"200,000.00",
DEFRA,Core Dept,07-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,University Of Bristol,RES31851,"168,600.00",
DEFRA,Core Dept,05-Apr-11,Other Current Payments UK,Environment and Rural Group,National Physical Laboratory,107406,"157,136.40",
DEFRA,Core Dept,11-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,University of Salford,15073091,"155,257.00",
DEFRA,Core Dept,07-Apr-11,Other Current Payments (GB),Environment and Rural Group,Carbon Trust,4,"150,000.00",
DEFRA,Core Dept,08-Apr-11,Other Current Payments E,Environment and Rural Group,Global Bio Info Facility Sec,2011UK27,"148,463.00",
DEFRA,Core Dept,19-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6143311,"136,785.68",
DEFRA,Core Dept,01-Apr-11,Other Current Payments E,Environment and Rural Group,Cotswolds Conservation Board,250311,"129,845.75",
DEFRA,Core Dept,05-Apr-11,Other Current Payments E,Environment and Rural Group,The Chilterns Conservation Boa,250311,"125,961.25",
DEFRA,Core Dept,19-Apr-11,Other Current Payments UK,Environment and Rural Group,A E A Technology plc,6143257,"120,908.40",
DEFRA,Core Dept,08-Apr-11,Other Current Payments E,Environment and Rural Group,O E C D,220311,"114,704.07",
DEFRA,Core Dept,07-Apr-11,Other Current Payments (GB),Environment and Rural Group,Carbon Trust,300311,"107,000.00",
DEFRA,Core Dept,05-Apr-11,Other Current Payments E,Environment and Rural Group,Health Protection Agency,5304097,"96,000.00",
DEFRA,Core Dept,05-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Association Of Rivers Trusts,1105,"90,000.00",
DEFRA,Core Dept,05-Apr-11,Other Current Payments UK,Environment and Rural Group,C E F A S,8000613,"83,500.75",
DEFRA,Core Dept,07-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Brunel University,FI141252,"75,141.00",
DEFRA,Core Dept,13-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,David Tyldesley & Associates,3823,"72,000.00",
DEFRA,Core Dept,15-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,H R Wallingford Ltd,HR042965,"72,000.00",
DEFRA,Core Dept,21-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Meteorological Office,190411,"71,282.40",
DEFRA,Core Dept,07-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Centre For Ecology & Hydrology,7060000790,"70,000.00",
DEFRA,Core Dept,11-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,U N E P - W C M C,590,"68,891.70",
DEFRA,Core Dept,05-Apr-11,Other Current Payments E,Environment and Rural Group,Merseyside Fire & Rescue Servi,300311,"63,204.00",
DEFRA,Core Dept,01-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Institute of Zoology,30172,"62,540.00",
DEFRA,Core Dept,11-Apr-11,Other Current Payments E,Environment and Rural Group,Extrium Ltd,0170DEFRA,"59,812.58",
DEFRA,Core Dept,05-Apr-11,Other Current Payments E,Environment and Rural Group,Department Of Energy and Clima,40005671,"59,083.00",
DEFRA,Core Dept,27-Apr-11,Other Current Payments UK,Environment and Rural Group,Bureau Veritas UK Ltd,11007579,"58,088.40",
DEFRA,Core Dept,07-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6143333,"56,882.40",
DEFRA,Core Dept,07-Apr-11,Contractor - Management Cover,Environment and Rural Group,A E A Technology plc,6143355,"56,620.84",
DEFRA,Core Dept,07-Apr-11,Other Current Payments (GB),Environment and Rural Group,Sea Mammal Research Unit,RG035819,"56,148.00",
DEFRA,Core Dept,28-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Centre For Ecology & Hydrology,ERS-476490-33299,"54,634.00",
DEFRA,Core Dept,07-Apr-11,Other Current Payments E,Environment and Rural Group,BioD Services Ltd,386,"53,959.20",
DEFRA,Core Dept,27-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Kings College London,SINV1233305,"53,100.00",
DEFRA,Core Dept,28-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Centre For Ecology & Hydrology,ERS-476053-33297,"52,651.00",
DEFRA,Core Dept,15-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Cranfield University,1310830,"52,218.30",
DEFRA,Core Dept,05-Apr-11,Other Current Payments E,Environment and Rural Group,Dept For Communities & Local G,1800007013,"50,000.00",
DEFRA,Core Dept,05-Apr-11,Programme Consultancy Costs,Environment and Rural Group,Greenstreet Berman Ltd,24632737,"48,037.50",
DEFRA,Core Dept,05-Apr-11,Other Current Payments E,Environment and Rural Group,Construction Industry Research,62578,"48,000.00",
DEFRA,Core Dept,05-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Hyder Consulting Ltd,IUG00004692,"48,000.00",
DEFRA,Core Dept,15-Apr-11,Sundry Creditors,Environment and Rural Group,Department Of Agriculture & Ru,290008778,"47,529.39",
DEFRA,Core Dept,05-Apr-11,Programme Consultancy Costs,Environment and Rural Group,G H K Consulting Ltd,30404317,"47,437.50",
DEFRA,Core Dept,05-Apr-11,Other Current Payments E,Environment and Rural Group,Essex County Fire & Rescue Ser,300311,"47,152.00",
DEFRA,Core Dept,11-Apr-11,Clearing Scientific & Research,Environment and Rural Group,Air Monitors Ltd,3446,"45,855.97",
DEFRA,Core Dept,19-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,A B P Marine Environmental Res,3877,"45,760.80",
DEFRA,Core Dept,05-Apr-11,Other Current Payments E,Environment and Rural Group,R S P C A,300311,"45,500.00",
DEFRA,Core Dept,15-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,G H K Consulting Ltd,30404308,"42,684.00",
DEFRA,Core Dept,15-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,H R Wallingford Ltd,HR042963,"42,000.00",
DEFRA,Core Dept,11-Apr-11,Current Transfers Abroad UK,Environment and Rural Group,Lacors,40401231,"40,869.06",
DEFRA,Core Dept,01-Apr-11,Other Current Payments UK,Environment and Rural Group,Kings College London,SINV1233269,"40,533.53",
DEFRA,Core Dept,05-Apr-11,Other Current Payments (GB),Environment and Rural Group,C E F A S,8000968,"40,340.00",
DEFRA,Core Dept,19-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6143349,"40,254.62",
DEFRA,Core Dept,05-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8000763,"39,911.00",
DEFRA,Core Dept,27-Apr-11,Current Grants E,Environment and Rural Group,British Antarctic Survey,60411,"39,311.50",
DEFRA,Core Dept,05-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,A B P Marine Environmental Res,3872,"39,228.00",
DEFRA,Core Dept,07-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8001003,"38,049.75",
DEFRA,Core Dept,05-Apr-11,Other Current Payments E,Environment and Rural Group,Northumberland County Council,300311,"36,104.00",
DEFRA,Core Dept,15-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,H R Wallingford Ltd,HR042964,"36,000.00",
DEFRA,Core Dept,05-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Natural Environ Research Counc,7060000825,"35,644.00",
DEFRA,Core Dept,11-Apr-11,Current Transfers Abroad UK,Environment and Rural Group,Lacors,40401232,"34,961.00",
DEFRA,Core Dept,05-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,University Of Brighton,U0071446,"34,060.80",
DEFRA,Core Dept,11-Apr-11,Other Current Payments E,Environment and Rural Group,Extrium Ltd,0168DEFRA,"34,012.20",
DEFRA,Core Dept,15-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Environment Agency,1130900,"33,333.00",
DEFRA,Core Dept,01-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6143203,"32,476.80",
DEFRA,Core Dept,21-Apr-11,Other Current Payments (GB),Environment and Rural Group,Natural Environ Research Counc,7060000712,"32,189.00",
DEFRA,Core Dept,05-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,University of Salford,15071162,"32,152.40",
DEFRA,Core Dept,05-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,University Of Plymouth,6025489,"31,295.70",
DEFRA,Core Dept,07-Apr-11,Other Current Payments (GB),Environment and Rural Group,Sea Mammal Research Unit,RG035818,"31,148.00",
DEFRA,Core Dept,07-Apr-11,Inwards Secondments,Environment and Rural Group,RPS Group Plc,TEC294662,"30,083.22",
DEFRA,Core Dept,07-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,The Open University,51958,"29,948.40",
DEFRA,Core Dept,26-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Food & Environment Research Ag,ERS-477819-33629,"29,783.60",
DEFRA,Core Dept,05-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8001020,"29,396.50",
DEFRA,Core Dept,07-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8000559,"29,350.00",
DEFRA,Core Dept,27-Apr-11,Current Grants E,Environment and Rural Group,Durrell Wildlife Conservation ,80411,"29,115.25",
DEFRA,Core Dept,07-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8000861,"28,968.90",
DEFRA,Core Dept,15-Apr-11,Application Services/Applications On-Boarding,Environment and Rural Group,IBM United Kingdom Ltd,5803112556,"28,269.60",
DEFRA,Core Dept,05-Apr-11,Other Current Payments E,Environment and Rural Group,St John Ambulance,300311,"28,252.00",
DEFRA,Core Dept,19-Apr-11,Current Grants E,Environment and Rural Group,St Helena National Trust,290311,"28,025.50",
DEFRA,Core Dept,27-Apr-11,Clearing Scientific & Research,Environment and Rural Group,Kings College London,SINV1233270,"27,186.00",
DEFRA,Core Dept,05-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Atkins Ltd,10065543,"26,955.60",
DEFRA,Core Dept,11-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Food & Environment Research Ag,F0014030,"26,609.71",
DEFRA,Core Dept,05-Apr-11,Payments to Agencies GB,Food and Farming Group,Veterinary Medicines Directora,FI00016003,"860,000.00",
DEFRA,Core Dept,05-Apr-11,Other Current Payments (GB),Food and Farming Group,Food & Environment Research Ag,F0014238,"427,860.36",
DEFRA,Core Dept,15-Apr-11,Other Current Payments (GB),Food and Farming Group,L G C Limited,50068835,"234,749.88",Monthly grant-in-aid payment for Natural England.
DEFRA,Core Dept,19-Apr-11,Other Current Payments UK,Food and Farming Group,Gangmasters Licensing Authorit,GIAKAJAPR2011,"233,756.60",Animal Health charges for IT services 
DEFRA,Core Dept,21-Apr-11,Other Current Payments (GB),Food and Farming Group,Deloitte & Touche,1110664590,"227,534.40",IT services May 2011
DEFRA,Core Dept,18-Apr-11,Payments to Agencies GB,Food and Farming Group,D L O Holding/Prionics AG,28275,"195,354.79",TRUST FUND FOR THE MULTILATERAL FUND FOR THE IMPLEMENTATION OF THE MONTREAL PROTOCOL ON SUBSTANCES THAT DEPLETE THE OZONE LAYER (MF)
DEFRA,Core Dept,13-Apr-11,Other Current Payments E,Food and Farming Group,N F U,OP0026142,"125,645.51",Funding to Marine Management Organisation.
DEFRA,Core Dept,27-Apr-11,Other Current Payments (GB),Food and Farming Group,Kent County Council,3012724,"121,901.83",Monthly grant claim - British waterways.
DEFRA,Core Dept,26-Apr-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-477583-33528,"112,872.74",IT Delivery Refresh software upgrade costs
DEFRA,Core Dept,27-Apr-11,Other Current Payments (GB),Food and Farming Group,Northumberland County Council,45212,"106,621.20",Cefas High level agreement payment
DEFRA,Core Dept,07-Apr-11,Other Current Payments E,Food and Farming Group,Forum For The Future,6009,"103,912.71",VAT Return Qtr4 2010/11
DEFRA,Core Dept,19-Apr-11,Grant-in Aid Payments,Food and Farming Group,Gangmasters Licensing Authorit,GIAKAJAPR2011140311,"91,993.00",CAPITAL GRANT FUNDING IN 2011/12 FOR THE LWRB.
DEFRA,Core Dept,26-Apr-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-477587-33532,"91,334.00",VAT Return Qtr4 2010/11
DEFRA,Core Dept,07-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,40411,"78,094.20",Forrester Leadership Board costs 
DEFRA,Core Dept,05-Apr-11,Other Current Payments (GB),Food and Farming Group,Veterinary Laboratories Agency,3000006615,"77,970.00",Local Service Support Grant Payments
DEFRA,Core Dept,27-Apr-11,Other Current Payments (GB),Food and Farming Group,Gloucestershire County Council,1800180470,"76,462.00",DTZ Funding: property related costs predominantly rates
DEFRA,Core Dept,07-Apr-11,Other Current Payments E,Food and Farming Group,Nottingham Trent University,843540,"71,605.20",Funding to Health & Safety Executive for REACH Competent Authority for 2011/12 Finnacial Year
DEFRA,Core Dept,11-Apr-11,Other Current Payments (GB),Food and Farming Group,Identigen Ltd,Mar-11,"66,904.04",Policy Memorandum of Understanding Food and Environment Research Agency Qtr 4 payment.
DEFRA,Core Dept,01-Apr-11,Other Current Payments (GB),Food and Farming Group,Surrey County Council,9500021091,"66,420.50",Defra contribution to the single budget; payment to Department for Business Innovation and Skills
DEFRA,Core Dept,28-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-477537-33413,"56,287.37",Facilities Management costs
DEFRA,Core Dept,26-Apr-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-477506-33489,"55,124.49",Aggregate Levy Sustainability Fund grant payment.
DEFRA,Core Dept,15-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,Brunel University,FI141260,"52,578.27",Pitt Recommendation and Opreation of the Flood Forecasting Centre.
DEFRA,Core Dept,19-Apr-11,Other Current Payments (GB),Food and Farming Group,Food Standards Agency,1700666,"50,779.50",Monthly grant-in-aid payment
DEFRA,Core Dept,26-Apr-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-477517-33496,"48,965.87",Facilities Management costs
DEFRA,Core Dept,05-Apr-11,Other Current Payments (GB),Food and Farming Group,Food Standards Agency,915948,"48,111.85",Telephony Costs
DEFRA,Core Dept,05-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,A E A Technology plc,6143050,"47,536.80",Animal Movement Licensing Scheme costs 01 OCT 10 TO 31 MAR 11
DEFRA,Core Dept,26-Apr-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-477574-33523,"46,016.24",THE PROVISION OF CAPITAL PURCHASE GASEOUS AIR QUALITY
DEFRA,Core Dept,15-Apr-11,Contractor - Management Cover,Food and Farming Group,Alpine Resourcing Ltd,6876,"41,873.60",Waste Infrastructure Delivery programme Transactor support costs for March 2011
DEFRA,Core Dept,21-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,BQP a Division of Tulip,150411,"41,778.00",IT services costs
DEFRA,Core Dept,15-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,The Royal Veterinary College,1.10E+12,"40,765.44",ANIMAL LICENCE CLAIM 6 MTHS ENDING 31.3.11
DEFRA,Core Dept,26-Apr-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-477586-33531,"38,077.00",Funding to Dep for Communities and Local Gov
DEFRA,Core Dept,26-Apr-11,Other Current Payments (GB),Food and Farming Group,Food Standards Agency,1700678,"37,176.09",Annual Advanced Customer Service Business Critical Assistance charge from Oracle 
DEFRA,Core Dept,26-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,Veterinary Laboratories Agency,ERS-477560-33517,"35,000.00",Grant in aid funding to Gangmasters Licensing Authority
DEFRA,Core Dept,07-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,4.04E+11,"34,923.29",Costs for catchment scale testing of measures to mitigate diffuse agricultural pollution on the Hampshire Avon
DEFRA,Core Dept,28-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-477552-33417,"34,468.68",Quarterly charge for business applications software licences
DEFRA,Core Dept,26-Apr-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-477519-33497,"34,304.87",Laboratory payment for Transmissible Spongiform Encephalitis testing 
DEFRA,Core Dept,07-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,4.04E+11,"33,846.00",Cost of Tuberculin Vaccines
DEFRA,Core Dept,11-Apr-11,Other Current Payments E,Food and Farming Group,University Of Reading,ERS-476311-33296,"33,784.13",Facilities Management costs
DEFRA,Core Dept,19-Apr-11,Other Current Payments E,Food and Farming Group,Rural Payments Agency,329050,"33,526.00",MARCH CONTRIBUTION TO THE Adaptation Sub-Committee.
DEFRA,Core Dept,27-Apr-11,Other Current Payments (GB),Food and Farming Group,Merthyr Tydfil Borough Council,3104554,"33,420.00",Defra May 2011 Government Procurement Card costs
DEFRA,Core Dept,28-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,North Wyke Research.,ERS-477311-33596,"32,770.00",Costs of Tuberculin vaccines
DEFRA,Core Dept,27-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,University Of Strathclyde,ERS-477622-33481,"32,209.00",CONTRIBUTION TO MONTREAL PROTOCOL FUND
DEFRA,Core Dept,27-Apr-11,Other Current Payments (GB),Food and Farming Group,Calderdale M B C,IN11016569,"31,878.47",Funding to Health & Safety Executive for REACH Competent Authority for 2011/12 Finnacial Year
DEFRA,Core Dept,28-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-477535-33411,"31,657.74",Monthly Testing costs - Over 30 Month Cattle for human consumption
DEFRA,Core Dept,28-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,University of Oxford,ERS-477576-33472,"31,322.34",Facilities Management costs
DEFRA,Core Dept,07-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,4.04E+11,"30,593.24",Animal Movement Licensing Scheme COSTS OCT 10 - MAR 11
DEFRA,Core Dept,19-Apr-11,Other Current Payments (GB),Food and Farming Group,Food Standards Agency,1700665,"30,498.00",Facilities Management costs
DEFRA,Core Dept,15-Apr-11,Other Current Payments E,Food and Farming Group,University Of Reading,95517,"30,134.00",Monthly grant-in-aid payment to the Commission for Rural Communities.
DEFRA,Core Dept,27-Apr-11,Other Current Payments (GB),Food and Farming Group,Bath & North East Somerset Cou,4112297,"30,007.50",Facilities Management costs
DEFRA,Core Dept,01-Apr-11,Other Current Payments E,Food and Farming Group,University Of Nottingham,6975960,"29,750.00",subscription to Light Dues for English Registered fishing Vessell
DEFRA,Core Dept,19-Apr-11,Other Current Payments (GB),Food and Farming Group,Rural Payments Agency,329189,"29,721.00",R&D project payment
DEFRA,Core Dept,26-Apr-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-477584-33529,"28,996.24",Animal Movement Licensing Scheme COSTS 01/10/10-31/03/11
DEFRA,Core Dept,07-Apr-11,Other Current Payments E,Food and Farming Group,A D A S UK Ltd,RIRP052009,"28,310.40",2010/11 Inbound secondment costs 
DEFRA,Core Dept,26-Apr-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-477591-33534,"27,418.25",Facilities Management costs
DEFRA,Core Dept,28-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-477558-33422,"27,220.12",Facilities Management costs
DEFRA,Core Dept,28-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-477539-33414,"27,198.00",Electricity Costs
DEFRA,Core Dept,27-Apr-11,Other Current Payments E,Food and Farming Group,A D A S UK Ltd,RIRP052400,"27,019.99",Costs for Development of an oral BCG vaccine for badgers - regulatory component
DEFRA,Core Dept,28-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,University Of Edinburgh,ERS-477505-33453,"26,393.99",Monthly pensions costs
DEFRA,Core Dept,28-Apr-11,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-477559-33423,"25,197.74",Recharge of Rights of Way orders
DEFRA,Core Dept,28-Apr-11,Current Transfers Abroad UK,Green Economy and Corporate Services Group,United Nations Environment Pro,FUND700UK290311,"3,600,000.00",Facilities Management costs
