Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,,Supplier Type,Expenditure Type
Cabinet Office,CABINET OFFICE,01/11/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,ALPINE CONSORTIUM,3000030576,"30,000.00",Project support services for the Government Cloud programme,EC4A 2BA,,Small to Medium Enterprise,Programme
Cabinet Office,CABINET OFFICE,01/11/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,LUTON CULTURE,3000030588,"39,206.00",National Citizen Service project grant ,LU1 2EY,,Small to Medium Enterprise,Grants
Cabinet Office,CABINET OFFICE,01/11/12,IT Costs,GOVERNMENT DIGITAL SERVICE,SEQUENCE COLLECTIVE LTD,3000030599,"48,125.24",Hosting the Contracts Finder site,CF24 0EL,,Small to Medium Enterprise,Programme
Cabinet Office,CABINET OFFICE,01/11/12,IT Costs,GOVERNMENT DIGITAL SERVICE,SERCO LTD,3000030600,"59,630.00",User testing for GOV.UK,RG27 7FR,,Large,Programme
Cabinet Office,CABINET OFFICE,01/11/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SAFE IN TEES VALLEY,3000030597,"172,106.00",National Citizen Service project grant ,TS18 3TS,,Small to Medium Enterprise,Grants
Cabinet Office,CABINET OFFICE,01/11/12,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000030584,"347,124.00",Refurbishment of 70 Whitehall,BN1  1HG,,large,Administration
Cabinet Office,CABINET OFFICE,01/11/12,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000030583,"380,834.56",Refurbishment of 70 Whitehall,BN1 1HQ ,,Large,Administration
Cabinet Office,CABINET OFFICE,01/11/12,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000030601,"738,062.34",Providers of the infrastructure for GOV.UK,HP2 7AH ,,Large,Programme
Cabinet Office,CABINET OFFICE,01/11/12,Other Staff Related Costs,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,3000030593,"2,803,126.16",Payment to MyCSP for pension administration,LS2 7UA,,Large,Administration
Cabinet Office,CABINET OFFICE,02/11/12,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,M4C,3000030621,"42,833.77",Purchasing advertising space in national press to publish notices relating to the review of Parliamentary consituency boundaries in Wales,WC1X 8RX,,Large,Programme
Cabinet Office,CABINET OFFICE,02/11/12,Supplies and Services,HONOURS AND APPOINTMENTS,THE TREASURER TO THE QUEEN,3000030635,"71,911.00",Central Chancery charges for administration of Honours,SW1A 1AA,,Government Department,Programme
Cabinet Office,CABINET OFFICE,02/11/12,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,SECURITY SERVICES GROUP,3000030628,"72,580.80",Maintenance of physical and electronic security equipment,SN5 7XQ,,Government Department,Administration
Cabinet Office,CABINET OFFICE,05/11/12,Supplies and Services,OFFICE FOR CIVIL SOCIETY,INFERNO LTD,3000030659,"72,880.00","Brand, advertising, creative and design services for the National Citizenship Service.",WC2 5AE,,Small to Medium Enterprise,Programme
Cabinet Office,CABINET OFFICE,05/11/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000030650,"87,392.93",IT specialists,SL6 1DP ,,Large,Programme
Cabinet Office,CABINET OFFICE,06/11/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000030679,"32,942.75","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP ,,Large,Programme
Cabinet Office,CABINET OFFICE,06/11/12,Consultancy,OFFICE FOR CIVIL SOCIETY,PURE SCIENCE LTD,3000030687,"42,705.00",Research amongst young people and their influencers to provde a creative agency with insights that help develop relevant communications for rebranded NCS.,W1F 0TB,,Small to Medium Enterprise,Programme
Cabinet Office,CABINET OFFICE,06/11/12,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000030685,"147,884.20",High Integrity Telecomms System project costs,L2 3YL ,,Government Department,Programme
Cabinet Office,CABINET OFFICE,07/11/12,GRANT FUND MANAGEMENT VAT RECOVERABLE,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,3000030702,"26,452.00",Management fee for the delivery of the Community Assets Fund,EC4A 1DE,,Large,Programme
Cabinet Office,CABINET OFFICE,07/11/12,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,BRITISH TELECOMMUNICATIONS PLC,3000030703,"45,182.16",BT telephone line rental charges,DH98 1BT,,Large,Administration
Cabinet Office,CABINET OFFICE,07/11/12,Consultancy,GOVERNMENT PROPERTY UNIT,SAVILLS COMMERCIAL LTD,3000030718,"46,500.00",Fee on exchange of Admiralty Arch contract,CB2 8PA,,Large,Programme
Cabinet Office,CABINET OFFICE,07/11/12,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,M4C,3000030711,"59,039.60",Purchasing advertising space in national press to publish notices relating to the review of Parliamentary constituency boundaries in England,WC1X 8RX,,Large,Programme
Cabinet Office,CABINET OFFICE,08/11/12,IT Costs,WORKSPACE AND BETTER TOOLS PLAN,ECOVERT FM LTD,3000030743,"25,731.36",Facilities Management Services,BN1 1HQ,,Large,Administration
Cabinet Office,CABINET OFFICE,08/11/12,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000030744,"27,211.04",Facilities Management Services,BN1  1HG,,Large,Administration
Cabinet Office,CABINET OFFICE,08/11/12,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000030739,"28,000.00",Management fee for the delivery of the Endowments element of the Community First Grants programme.,EC1V 2PT,,Large,Programme
Cabinet Office,CABINET OFFICE,08/11/12,IT Costs,GOVERNMENT PROPERTY UNIT,CORPORATE DOCUMENT SERVICES LTD,3000030740,"31,014.36","Monthly costs for October 2012 for support, maintenance and minor developments of e-PIMS",LS2 LY,,Large,Programme
Cabinet Office,CABINET OFFICE,08/11/12,Consultancy,GOVERNMENT DIGITAL SERVICE,INSIGHT CONSULTANCY SOLUTIONS LTD,3000030749,"40,500.00",User testing for GOV.UK,W14 9HF,,Small to Medium Enterprise,Programme
Cabinet Office,CABINET OFFICE,08/11/12,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000030757,"41,490.23",Reprographic services,CR5 2HR,,Large,Administration
Cabinet Office,CABINET OFFICE,08/11/12,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000030743,"57,424.94",Facilities management services,BN1 1HQ,,Large,Administration
Cabinet Office,CABINET OFFICE,08/11/12,Supplies and Services,OFFICE FOR CIVIL SOCIETY,NATIONAL CENTRE FOR SOCIAL RESEARCH,3000030755,"67,126.38",Evaluation of the NCS grants programme,EC1V OAX,,Large,Programme
Cabinet Office,CABINET OFFICE,09/11/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000030784,"34,745.51",Interim IT specialists,SL6 1DP,,Large,Programme
