2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: August 2011,,,,,,,
,,,,,,,
Dept.,Entity,Date,OGC Master Category,Project code,Supplier,Transaction Number,Payment Value
Dept. for Education,QCDA,08/08/2011,Professional Services Other,Corporate Services,Beachcroft LLP,PBAC/00134595,"40,682.88"
Dept. for Education,QCDA,08/08/2011,Professional Services Temporary Staff,Corporate Services,Hays Personnel Services Ltd,PBAC/00134590,"28,638.00"
Dept. for Education,QCDA,30/08/2011,Office Solutions,Corporate Services,Insight Direct (UK) LTD,POCRDT/00000619,"38,787.60"
Dept. for Education,QCDA,18/08/2011,Professional Services Temporary Staff,Corporate Services,Methods Consulting Ltd,PBAC/00134725,"33,913.84"
Dept. for Education,QCDA,18/08/2011,Professional Services Learning & Development,Test Delivery Operations Programme,NFER,PBAC/00134723,"111,411.94"
Dept. for Education,QCDA,08/08/2011,Professional Services Learning & Development,Test Delivery Operations Programme,NFER,PBAC/00134602,"37,399.16"
Dept. for Education,QCDA,02/08/2011,Logistics,General Qualifications Programme,Parcelforce Worldwide,PBAC/00134538,"752,903.04"
Dept. for Education,QCDA,12/08/2011,Professional Services Learning & Development,Test Delivery Operations Programme,Pearson-Edexcel Ltd,PBAC/00134647,"3,437,500.00"
Dept. for Education,QCDA,08/08/2011,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PBAC/00134599,"187,227.93"
Dept. for Education,QCDA,12/08/2011,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PBAC/00134645,"43,272.75"
Dept. for Education,QCDA,18/08/2011,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PBAC/00134719,"27,874.28"
Dept. for Education,QCDA,12/08/2011,Professional Services Learning & Development,Test Delivery Operations Programme,RM Education Plc,PBAC/00134644,"138,072.46"
Dept. for Education,QCDA,23/08/2011,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00134751,"124,475.67"
Dept. for Education,QCDA,02/08/2011,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00134545,"92,328.29"
Dept. for Education,QCDA,23/08/2011,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,POCRDT/00000624,"76,367.81"
Dept. for Education,QCDA,30/08/2011,ICT,Diploma Programme,Steria Ltd,PBAC/00134780,"200,808.29"
Dept. for Education,QCDA,02/08/2011,ICT,Test Delivery Operations Programme,The Stationery Office,PBAC/00134539,"26,550.00"
,,,,,,,
"There were no transactions over £25,000 for QCDAe in August 2011",,,,,,,
