Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,,
Defra,MMO Marine Management Organisation,30/07/2012,Rents to Landlords,MMO Operations Support Directorate,D T Z,36387," £69,439.20 ",Marine Management Organisation April to June 2012 estates charges including rent and utilities,B4 6AJ,,,00000000,Expense,,,
Defra,MMO Marine Management Organisation,24/07/2012,Redfern Suspense,MMO Balance Sheet Directorate,Redfern Travel Ltd,037018," £51,303.97 ",Marine Management Organisation June 2012 travel and hotel charges,BD1 3AZ,SME,,00000000,Asset,,,
Defra,MMO Marine Management Organisation,10/07/2012,Notional NAO Audit Fees,MMO Operations Support Directorate,National Audit Office.,4086," £65,000.00 ",Payment for the National Audit Office work on the audit of 2011-12 accounts,SW1W 9SP,,,00000000,Expense,,,
Defra,MMO Marine Management Organisation,16/07/2012,Other Pay Costs,MMO Decision Support Directorate,DEFRA,1000017231," £25,102.20 ",Salary recharge of staff costs relating to loans and secondments from Defra June 2012,YO1 7PX,,,00000000,Expense,,,
Defra,MMO Marine Management Organisation,30/07/2012,Other Current Payments E,MMO Operations Support Directorate,R H Ward (Welton) Ltd,FEF0402200712," £31,018.94 ",European Fisheries Fund grant payment,LN2 3RE,SME,,00000000,Expense,,,
Defra,MMO Marine Management Organisation,24/07/2012,Other Current Payments E,MMO Operations Support Directorate,John Lake Shellfish,FEF0589," £64,800.00 ",European Fisheries Fund grant payment,PE30 2JB,SME,,00000000,Expense,,,
Defra,MMO Marine Management Organisation,02/07/2012,Other Current Payments E,MMO Operations Support Directorate,Cadgwith Cove Winch Committee,FEF0527," £48,600.00 ",European Fisheries Fund grant payment,TR12 7PQ,SME,,00000000,Expense,,,
Defra,MMO Marine Management Organisation,30/07/2012,Other Current Payments E,MMO Operations Support Directorate,New England Seafood International Ltd,FEF0353180712," £64,192.80 ",European Fisheries Fund grant payment,KT9 1TW,SME,,00000000,Expense,,,
Defra,MMO Marine Management Organisation,10/07/2012,Other Current Payments E,MMO Operations Directorate - Director,Directflight Ltd,MMO266," £36,941.88 ",Marine Management aerial surveillance hours incurred in relation to coastal enforcement  June 2012,MK43 0AL,SME,,00000000,Expense,,,
Defra,MMO Marine Management Organisation,02/07/2012,Other Current Payments E,MMO Operations Directorate - Director,Ministry Of Defence,7263408," £1,969,632.00 ",Marine Management offshore surveillance hours incurred in relation to coastal enforcement - April to June 2012,L2 3YL,,,00000000,Expense,,,
Defra,MMO Marine Management Organisation,24/07/2012,Agency IT Services (IBM),MMO Operations Support Directorate,DEFRA,1000016271," £135,670.33 ",Recharge of the payment for the services provided by IBM October to December 2011,YO1 7PX,,,00000000,Expense,,,
Defra,MMO Marine Management Organisation,06/07/2012,Other Current Payments E,MMO Operations Directorate - Regulation & Licensing,Pricewaterhouse Coopers,1353816010," £47,760.00 ",Payment of the work completed on the Licensing Fees and Charges Review for Marine Management Organisation,NE1 8HW,,,00000000,Expense,,,
Defra,MMO Marine Management Organisation,02/07/2012,Other Current Payments E,MMO Operations Directorate - Regulation & Licensing,DEFRA,1000016085," £36,674.40 ",Delivery of scientific and technical advice Jan - March 2012 task completed by CEFAS and recharged by DEFRA,YO1 7PX,,,00000000,Expense,,,
Defra,MMO Marine Management Organisation,12/07/2012,GPC Card,Central Finance Directorate,Barclaycard Business Issuing,4715650087776340050712," £26,667.59 ",Marine Management Organisation Government Procurement Card bill for July 2012,TS17 6YG,,,00000000,Asset,,,
