Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,,
Defra,Core Defra,12/06/2012,GPC Card,Central Finance Group,Barclaycard Business Issuing,4715320649042975050612," £132,299.22 ",Government Procurement Card payments across Defra for period June 2012,TS17 6YG,,,00000000,Asset,,,
Defra,Core Defra,14/06/2012,Overhead Incidental Expenses,Chief Operating Officer DG,Natural Environ Research Council,7060002323," £33,000.00 ",UK Butterfly Monitoring Scheme 2011-14 multi partner Memorandum of Understanding ,SN2 1EU,,,00000000,Expense,,,
Defra,Core Defra,28/06/2012,Business Rates,Chief Operating Officer DG,D T Z,DEFRA141," £472,284.26 ",DTZ Funding:property related costs - rent and service charges and insurance,B3 2ED,,,00000000,Expense,,,
Defra,Core Defra,26/06/2012,Gas,Chief Operating Officer DG,Corona Energy,07182341," £44,741.59 ","Gas bill for period 01/04-01/05/2012 - Food and Envrionment Research Agency, Woodham Lane, New Haw, Weybridge",WD17 1JW,,,B0870000,Expense,,,
Defra,Core Defra,26/06/2012,Gas,Chief Operating Officer DG,Corona Energy,07181368," £76,867.73 ","Gas bill for period 01/03-01/04/2012 - Food and Envrionment Research, Woodham Lane, New Haw, Weybridge",WD17 1JW,,,B0870000,Expense,,,
Defra,Core Defra,14/06/2012,Business Rates,Chief Operating Officer DG,D T Z,DEFRA139," £5,378,028.16 ",DTZ Funding:property related costs - rent and service charges and insurance,B3 2ED,,,00000000,Expense,,,
Defra,Core Defra,06/06/2012,Gas,Chief Operating Officer DG,Corona Energy,07195655," £119,058.98 ","Gas bill for period 01/04-01/05/2012 - Animal Health and Veterinary Laboratories Agency, Woodham Lane, New Haw, Weybridge",WD17 1JW,,,B0870000,Expense,,,
Defra,Core Defra,21/06/2012,Business Rates,Chief Operating Officer DG,D T Z,DEFRA140," £2,482,003.02 ",DTZ Funding:property related costs - rent and service charges and insurance,B3 2ED,,,00000000,Expense,,,
Defra,Core Defra,14/06/2012,Gas,Chief Operating Officer DG,Corona Energy,07188651," £99,293.40 ","Gas bill for 01/04-01/05/2012 - Food and Environment Research Agency, Sand Hutton, York",WD17 1JW,,,B2810000,Expense,,,
Defra,Core Defra,20/06/2012,Other recharges,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015316," £25,316.65 ",Refurbishment of 1st floor Foundary House in order to make suitable for Natural England.,BS34 8YU,,14585,NENGLAND,Asset,,,
Defra,Core Defra,22/06/2012,Estates Reactive Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00017303," £97,482.12 ",Facilities Management charges,BS34 8YU,,15564,00000000,Asset,,,
Defra,Core Defra,20/06/2012,Estates Reactive Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00017302," £287,613.25 ",Facilities Management charges,BS34 8YU,,14866,B0720000,Asset,,,
Defra,Core Defra,20/06/2012,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00017377," £33,583.63 ",Facilities Management charges,BS34 8YU,,15544,B1290000,Asset,,,
Defra,Core Defra,18/06/2012,Estates IFM Core Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00017376," £2,051,217.55 ",Peer review of Adaptive Capacity Report,BS34 8YU,,10321X,00000000,Expense,,,
