Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project code,Expenditure Type,Supplier Type,Contract Number
Department of Health,Department of Health,01/07/2014,Outsourcing Contract,DG: PHD,HEALTH EDUCATION ENGLAND T1510,49293928,"-£58,523.00",Start at the Beginning Programme - To harness the new health visiting workforce to improve nutrition for women before they conceive.,LS1 4PL,,Programme,NHS,
Department of Health,Department of Health,01/07/2014,Outsourcing Contract,DG: PHD,HEALTH EDUCATION ENGLAND T1510,49293928,"£58,523.00",DIY Health Project Management of minor illnesses April 2014,LS1 4PL,,Programme,NHS,
Department of Health,Department of Health,01/07/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-17177,"£18,000,000.00",,,,Other,NHS,
Department of Health,Department of Health,01/07/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-17178,"£12,000,000.00",,WF3 1WE,,Other,NHS,
Department of Health,Department of Health,01/07/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH EDUCATION ENGLAND T1510,HAFS-17179,"£570,000,000.00",,LS1 4PL,,Other,NHS,
Department of Health,Department of Health,01/07/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH RESEARCH AUTHORITY,HAFS-17180,"£1,000,000.00",,SE1 6LH,,Other,NHS,
Department of Health,Department of Health,01/07/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-17181,"£6,000,000.00",,,,Other,NHS,
Department of Health,Department of Health,01/07/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-17182,"£4,000,000.00",,SE1 7NT,,Other,NHS,
Department of Health,Department of Health,01/07/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-17183,"£7,800,000.00",,NE1 6SN,,Other,NHS,
Department of Health,Department of Health,01/07/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND CBA033,HAFS-17184,"£3,091,758,000.00",,LS2 7UE,,Other,NHS,
Department of Health,Department of Health,01/07/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND CBA033,HAFS-17185,"£4,760,607,000.00",,LS2 7UE,,Other,NHS,
Department of Health,Department of Health,01/07/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-17186,"£2,000,000.00",,SW1E 6QT,,Other,NHS,
Department of Health,Department of Health,01/07/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,PUBLIC HEALTH ENGLAND PHE033,HAFS-17187,"£786,725,000.00",,SP4 0JG,,Other,NHS,
Department of Health,Department of Health,01/07/2014,Professional fees,DG: SCLGCP,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,S0513178,"£51,968.00",Fees for approval functions of the Secretary of state for Health under Section 12 :Panel 3 period of 01-04-14 to 31-03-2015,NW1 2PL,,Admin,NHS,
Department of Health,Department of Health,01/07/2014,Record Storage Costs,DG: ERD,BERKSHIRE HEALTHCARE NHS FT,0050008130,"£39,858.00",CHARGES APR-DEC13,,,,NHS,
Department of Health,Department of Health,01/07/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,4442001-07-JUL-14,"£39,230.14",,TS17 6YG,,Other,Private,
Department of Health,Department of Health,01/07/2014,Outsourcing Contract,DG: SCLGCP,BIG WHITE WALL LTD,SIN000101,"-£39,300.00",Contnuation of Big White Wall online emotional support service for veterans and their families 2013-14,N16 0HX,,Programme,Private,
Department of Health,Department of Health,01/07/2014,Outsourcing Contract,DG: SCLGCP,BIG WHITE WALL LTD,SIN000101,"£39,300.00",Contnuation of Big White Wall online emotional support service for veterans and their families 2014-15,N16 0HX,,Programme,Private,
Department of Health,Department of Health,02/07/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,4442001-07-JUL-14,"£1,168.09",,TS17 6YG,,Other,Private,
Department of Health,Department of Health,03/07/2014,Addition Clearing - SW LIC,DG: GOAD,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,I0009349,"£9,054.34",Capital: NME STAFA - Norfolk & Suffolk Lorenzo Deployment,BB3 0FG,,Programme,NHS,
Department of Health,Department of Health,03/07/2014,Service charge,DG: GOAD,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,I0009349,"£68,647.16",Revenue: NME - STAFA Norfolk & Suffolk Lorenzo Deployment,BB3 0FG,,Programme,NHS,
Department of Health,Department of Health,03/07/2014,Record Storage Costs,DG: ERD,NHS ENGLAND,0050008380,"£84,454.40",MISCELLANEOUS INCOME  OCT/MARCH14,,,,NHS,
