Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£)
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jul-10,Recruitment - Fast Stream,DG EUROPE AND GLOBALISATION,CABINET OFFICE,1167142,"40,000.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jul-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,BRITISH COUNCIL,1167278,"500,000.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jul-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,COGENT ELECTRICAL SERVICES LTD,1167287,"5,149.83"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jul-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,COGENT ELECTRICAL SERVICES LTD,1167287,"42,192.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jul-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GILBERT-ASH FITOUT LIMITED,1167303,"93,765.34"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jul-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GILBERT-ASH FITOUT LIMITED,1167303,"16,408.93"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jul-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GILBERT-ASH FITOUT LIMITED,1167303,0.01
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jul-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,COB EMPLOYEE EXPENSES,3007311,"226,607.94"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,05-Jul-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,CAMCO ADVISORY SERVICES LTD,19176,"31,484.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,05-Jul-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,NERA UK LIMITED,19177,"25,910.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,05-Jul-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,COUNCIL OF EUROPE,1001698,"15,931,299.68"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,05-Jul-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,COUNCIL OF EUROPE,1001700,"329,259.76"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,05-Jul-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,COUNCIL OF EUROPE,1001701,"231,434.05"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,05-Jul-10,FTN Unitary Payment,DG CENTRAL GROUP,GLOBAL CROSSING,1167381,"1,116,712.88"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,05-Jul-10,National Insurance (NI) (Oracle PAY Control Account),DG CHANGE & DELIVERY,HM REVENUE & CUSTOMS,1167384,"25,679.16"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,05-Jul-10,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,VERIFICATION TRAINING AND INFORMATION CENTRE,1167410,"45,775.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,05-Jul-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,SYNTAO CO LTD,1216299,"29,050.39"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,06-Jul-10,FTN Unitary Payment,DG CENTRAL GROUP,GLOBAL CROSSING,1167451,"40,866.80"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,06-Jul-10,Miscellaneous Expenditure,DG CHANGE & DELIVERY,MARSH UK LTD,1167492,"37,957.50"
