Department Family,Entity,Date,Account code description,Expense area,Supplier,Transaction number,Amount,VAT registration number
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core Back Office Systems,COMPUTACENTER (UK) LIMITED,MS0182352      ,35000,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0182488      ,3309.3,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0182488      ,600,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0182488      ,10000,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0182488      ,10000,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0182488      ,9625,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0182488      ,12000,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0182488      ,1950,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core CORE NETWORK UPGRADE,NDC ITL Limited,MS0182488      ,12949.5,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core Information Management Systems,NDC ITL Limited,MS0182488      ,10725,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core Information Management Systems,NDC ITL Limited,MS0182488      ,10640,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core Back Office Systems,NDC ITL Limited,MS0182488      ,10175,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core Back Office Systems,NDC ITL Limited,MS0182488      ,11000,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC Limited,MS0182527      ,10830,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC Limited,MS0182527      ,11590,Not known
Defra,Royal Botanic Gardens Kew,02-Jun-10,General rates                 ,Estates Wakehurst MSB Core -----,MID SUSSEX DISTRICT COUNCIL,MS0182670      ,63756,Not known
Defra,Royal Botanic Gardens Kew,04-Jun-10,EU Project Advances,Scientific Grants BS Core -----,"UNIVERSITY OF DUBLIN, TRINITY COLLEGE",MS0183735      ,52887.79,Not known
Defra,Royal Botanic Gardens Kew,04-Jun-10,EU Project Advances,Scientific Grants BS Core -----,UNIVERSITAT DE VALENCIA,MS0183736      ,97686.85,Not known
Defra,Royal Botanic Gardens Kew,04-Jun-10,EU Project Advances,Scientific Grants BS Core -----,UNIVERSIDAD POLITECNICA DE MADRID,MS0183738      ,31787.17,Not known
Defra,Royal Botanic Gardens Kew,04-Jun-10,EU Project Advances,Scientific Grants BS Core -----,MUSEO TRIDENTINO DI SCIENZE NATURALI,MS0183741      ,25582.04,Not known
Defra,Royal Botanic Gardens Kew,09-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core Back Office Systems,COMPUTACENTER (UK) LIMITED,MS0183028      ,52253.4,Not known
Defra,Royal Botanic Gardens Kew,10-Jun-10,Electricity                   ,Estates Kew Section Core -----,EDF Energy Customers plc,MS0185942      ,45915.38,Not known
Defra,Royal Botanic Gardens Kew,15-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0183198      ,10000,Not known
Defra,Royal Botanic Gardens Kew,15-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0183198      ,8500,Not known
Defra,Royal Botanic Gardens Kew,15-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0183198      ,9926.4,Not known
Defra,Royal Botanic Gardens Kew,15-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0183198      ,6825,Not known
