Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,MoJ HQ,11-Sep-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1141790,"42,500.00 ",Business Service Review 
Ministry of Justice,MoJ HQ,11-Sep-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1141790,"8,500.00 ",Business Service Review - VAT 
Ministry of Justice,MoJ HQ,04-Sep-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1141189,"21,250.00 ",Business Service Review 
Ministry of Justice,MoJ HQ,04-Sep-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1141189,"4,250.00 ",Business Service Review - VAT 
Ministry of Justice,MoJ HQ,18-Sep-14 ,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1142325,"1,226,330.00 ",Core contract charges and call off payment ; fees for Aug 2014
Ministry of Justice,MoJ HQ,18-Sep-14 ,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1142325,"245,266.00 ",Core contract charges and call off payment ; fees for Aug 2014
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,316.24 ,HQ TFM Contract - Soft Fixed Services - Catering; Vending
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,"64,258.12 ",HQ TFM Contract - Soft Fixed Services - Cleaning
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,"5,248.30 ",HQ TFM Contract - Soft Fixed Services - Waste Disposal
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,"7,465.17 ",HQ TFM Contract - Soft Fixed Services - Management
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,"32,430.65 ",HQ TFM Contract - Hard Fixed Services - Management
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,"47,612.04 ",HQ TFM Contract - Hard Fixed Services - M&E Repair & Maintenance
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,"12,866.99 ",HQ TFM Contract - Hard Fixed Services - Internal Repair & Maintenance
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,208.67 ,HQ TFM Contract - Hard Fixed Services - Grounds Maintenance
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,385.88 ,HQ TFM Contract - Soft Fixed Services - Pest & Vermin Control - Building Operation
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,"1,329.60 ",HQ TFM Contract - Soft Variable Services - Cleaning
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,"4,982.24 ",HQ TFM Contract - Soft Variable Services - Cleaning
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,821.26 ,HQ TFM Contract - Hard Variable Services - Management
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,"13,349.16 ",HQ TFM Contract - Hard Variable Services - M&E Repair & Maintenance
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,505.70 ,HQ TFM Contract - Hard Variable Services - Internal Repair & Maintenance
Ministry of Justice,MoJ HQ,11-Sep-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1141797,"2,220.46 ",HQ TFM Contract - Hard Variable Services - External & Structural Repair & Maintenance
