Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount 
DFID,DFID,11/01/2011,"Property Repairs, Maintenance & Alterations",East and Central Africa,DMS AFRICA,400131493,"217,173.00"
DFID,DFID,11/01/2011,"Property Repairs, Maintenance & Alterations",East and Central Africa,Zhonghao Overseas Construction Eng. Co. Ltd,400131809,"82,700.51"
DFID,DFID,10/01/2011,Aid to civil society organisations / NGOs,Asia Division,INTERNATIONAL INSTITUTE FOR ENVIRO,400133221,"108,884.00"
DFID,DFID,13/01/2011,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",TCI Government,400133606,"4,500,000.00"
DFID,DFID,09/01/2011,Technical & Advisory services,Western Asia and Stabilisation Division,OXFORD POLICY MANAGEMENT,400133949,"50,351.42"
DFID,DFID,07/01/2011,Aid to international organisations,East and Central Africa,UNDP (USD) ACCOUNT,400134069,"5,340,000.00"
DFID,DFID,18/01/2011,Technical & Advisory services,Asia Division,CATALYST MANAGEMENT SERVICES PVT LTD,400134173,"61,288.33"
DFID,DFID,07/01/2011,Technical & Advisory services,Policy and Research Directorate,Triple Line Consulting Limited,400134822,"20,290.58"
DFID,DFID,07/01/2011,Technical & Advisory services,Policy and Research Directorate,Triple Line Consulting Limited,400134822,"17,440.03"
DFID,DFID,07/01/2011,Aid to international organisations,East and Central Africa,Swiss Agency for Development and Cooperation SDC,400135469,"180,392.72"
DFID,DFID,07/01/2011,Aid to other bilateral donors,West and Southern Africa,USAID Washington,400135551,"350,000.00"
DFID,DFID,06/01/2011,Aid to international organisations,Policy and Research Directorate,WHO (GENEVA),400135645,"1,000,000.00"
DFID,DFID,06/01/2011,Aid to civil society organisations / NGOs,East and Central Africa,FOUNDATION FOR CIVIL SOCIETY,400135667,"590,615.71"
DFID,DFID,06/01/2011,Aid to international organisations,International Finance Division,SG HAMBROS BANK & TRUST LTD (USD),400135722,"91,963.00"
DFID,DFID,05/01/2011,Aid to international organisations,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",IBRD HSBC T,400136012,"17,000,000.00"
DFID,DFID,05/01/2011,Emergency / Humanitarian Assistance,Western Asia and Stabilisation Division,WHO (GENEVA),400136026,"2,000,000.00"
DFID,DFID,05/01/2011,Aid to international organisations,West and Southern Africa,UNDP (USD) ACCOUNT,400136030,"125,000.00"
DFID,DFID,05/01/2011,Aid to other bilateral donors,West and Southern Africa,The World Bank (EFO),400136031,"173,569.00"
DFID,DFID,05/01/2011,Aid to international organisations,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",IBRD (HSBC)  C/O THE WORLD BANK,400136051,"1,700,000.00"
DFID,DFID,05/01/2011,Aid to international organisations,International Relations Division,UNOPS,400136053,"1,000,000.00"
DFID,DFID,05/01/2011,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",PLAN INTERNATIONAL UK,400136056,"575,101.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Asia Division,BBC WORLD SERVICE TRUST,400136061,"168,324.36"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Asia Division,BBC WORLD SERVICE TRUST,400136063,"75,018.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,West and Southern Africa,SAfAIDS,400136070,"153,241.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,International Finance Division,THE CROWN AGENTS,400136073,"317,240.00"
DFID,DFID,06/01/2011,Emergency / Humanitarian Assistance,Asia Division,WFP CONTRIBUTIONS UNIT,400136082,"1,070,000.00"
DFID,DFID,05/01/2011,Aid to international organisations,International Relations Division, OECD,400136098,"175,000.00"
DFID,DFID,06/01/2011,Aid to international organisations,Policy and Research Directorate,The Global Alliance for TB Drug Development,400136101,"2,500,000.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,East and Central Africa,TEARFUND,400136105,"393,463.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Asia Division,Harewelle International Limited.,400136107,"502,381.34"
DFID,DFID,05/01/2011,Technical & Advisory services,Asia Division,Harewelle International Limited.,400136107,"40,017.80"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Western Asia and Stabilisation Division,SAVE THE CHILDREN FUND,400136110,"1,151,742.00"
DFID,DFID,05/01/2011,Aid to international organisations,East and Central Africa,IBRD (HSBC)  C/O THE WORLD BANK,400136114,"4,000,000.00"
DFID,DFID,05/01/2011,Aid to international organisations,East and Central Africa,UNICEF,400136117,"1,533,916.00"
DFID,DFID,05/01/2011,Aid to international organisations,East and Central Africa,UNFPA,400136119,"3,000,000.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",MERLIN,400136122,"630,632.00"
DFID,DFID,05/01/2011,Aid to other bilateral donors,Western Asia and Stabilisation Division,IBRD (HSBC)  C/O THE WORLD BANK,400136124,"3,000,000.00"
