Over £25k Transparency report (Environment Agency) June 2011  ,,,,,,,,,,,,,
"Spend over £25,000 - Publication template",,,,,,,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Defra,Environment Agency,14/06/2011,Hardware | Managed/Outsource Services | Systems Delivery | Telecoms | IT/IS Consultancy,Corporate Information Systems Capital,Capgemini UK Plc,2260927,"5,532,188.88",Service Procurement contract costs,GU21 6DB,,30259319 | 30259316 | 30304723 | 30282611,CIS330429 |  | SC00TECH | FATH000100 | HORES00038 | CIS111923 |  | HOOP000125 |  |  | CIS330352 | REMI001461,Administration/Project
Defra,Environment Agency,16/06/2011,Leasing,Head Office Fleet Operations,Hitachi Capital Vehicle Solutions Ltd,2261316,"1,156,265.07","Supply of Lease Cars - Service, Inspection, Maintenance and repair for May 11",RG14 2NU,,30000281,,Administration
Defra,Environment Agency,14/06/2011,Main Contractors,Anglian Capital WiP,Birse Civils Ltd,2260908,"1,077,794.84",924718 - C2552 Lincshore Beach Renourishment,DN18 5BW,,30142670,IMAN001844,Project
Defra,Environment Agency,07/06/2011,Main Contractors,North West Capital WiP,Volkerstevin Ltd,2260604,"739,933.92",912142 - Harwood Brook & Doomsgate Schemes,EN11 9BX,,30142737,IMNW000840,Project
Defra,Environment Agency,23/06/2011,Main Contractors,South East Capital WiP,Birse Civils Ltd,2261779,"720,000.00",927650 - C2409 High Knock to Dymchurch Sea Defences,DN18 5BW,,30142670,IMSO000825,Project
Defra,Environment Agency,23/06/2011,Main Contractors,Thames Capital WiP,Morrison Construction Ltd,2261925,"600,153.02",927713 BANBURY FLOOD SCHEME,LE10 3JF,,30142734,IMTH000615,Project
Defra,Environment Agency,23/06/2011,Main Contractors,North East Capital WiP,Birse Civils Ltd,2261779,"534,987.91",928225 - Redcar Flood Alleviation scheme,DN18 5BW,,30142670,IMNE000524,Project
Defra,Environment Agency,21/06/2011,Main Contractors,Thames Capital WiP,Interserve Project Services Ltd,2261602,"496,521.12",926772. Barking & Dagenham MEICA 1,TQ14 0HP,,30142730,IMTH000632,Project
Defra,Environment Agency,07/06/2011,Main Contractors,North West Capital WiP,Volkerstevin Ltd,2260604,"481,973.96",922949 High Impact Refurbishments - Cleator Moor,EN11 9BX,,30142737,IMNW000840,Project
Defra,Environment Agency,21/06/2011,Main Contractors,South East Capital WiP,Birse Civils Ltd,2261491,"439,682.90",926343. High Knock to Dymchurch Sea Defenses,DN18 5BW,,30142670,IMSO000825,Project
Defra,Environment Agency,02/06/2011,Main Contractors,Thames Capital WiP,Morrison Construction Ltd,2260142,"425,884.06",920546. Banbury FAS,LE10 3JF,,30142734,IMTH000615,Project
Defra,Environment Agency,27/06/2011,Main Contractors,North West Capital WiP,Volkerstevin Ltd,2262433,"425,815.44",928328 Project High Impact refurb programme - Cleator Moor,EN11 9BX,,30142737,IMNW000840,Project
Defra,Environment Agency,27/06/2011,Pension Services,Head Office Director of Resources,Capita Hartshead Ltd,2262101,"403,257.00",Pensions Admin Services,S4 7TL,,,,Administration
Defra,Environment Agency,21/06/2011,Environmental Services | Main Contractors,Anglian Capital WiP,Broadland Environmental Services Ltd,2261501,"368,605.50",Broadland FAS,GU15 3XW,,30014973,IMAN000753,Project
Defra,Environment Agency,02/06/2011,Main Contractors,South West Capital WiP,Team Van Oord,2260249,"343,600.15",921141 - Steart Coastal Management - IMSW001389,RG14 5QS,,30142735,IMSW001389,Project
Defra,Environment Agency,27/06/2011,Main Contractors,South East Capital WiP,Interserve Project Services Ltd,2262225,"331,336.42",928593 SRP Culverts for Southern Recondition Programme IMSO001184,TQ14 0HP,,30142730,IMSO001184,Project
