Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Overhead Incidental Expenses,Chief Operating Officer DG,Ministry Of Justice,IOH162HQ11926,113756.40 ,PO 382079 C RECOVERY FROM OTHER GOV DEPARTMENTS CSHR,NP20 9BB,,IGS,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Current Grants E,Environment and Rural DG Group,Worcestershire County Council,290116,81125.00 ,PO 382203 DEFRA GRANT CLAIM FORM FOR 01.04.2015 - 31.12.2015,WR5 2XF,,GIA,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Other Current Payments (Evidence R&D) (Agency),"Strategy, International, Food and Farming DG Group",C E F A S,8005559,61415.25 ,PO 371252 AQUATICS EVIDENCE R&D 15/16 FEB FUNDING,NR33 0HT,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Other Current Payments E,Environment and Rural DG Group,The Coal Authority,SI002433,638456.00 ,"PO 377916,  QTR 4 15/16- to address polluted water emanating from abandoned mines",NG18 4RG,SME,FDP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,IT Software,Chief Operating Officer DG,Atos IT Services UK Ltd,5584204643,27611.13 ,PO 378238 GB 706255 DEFRA CAPD PAAS ONBOARDING,WV10 6UH,,CAP214,CAPDFA08,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Current Grants E,Environment and Rural DG Group,Lancaster City Council,280116,111115.07 ,PO 382179 DEFRA GRANT CLAIM 1.4.15 TO 31.12.15,TR1 3AY,,GIA,TAMARVAL,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Current Grants E,Environment and Rural DG Group,Worcestershire County Council,290116,70417.49 ,PO 382175 DEFRA GRANT CLAIM FORM FOR 01.04.2015 - 31.12.2015,CA14 2RS,,GIA,SOLWAY01,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Evidence Non R&D,Environment and Rural DG Group,Department Of Energy and Climate Change,1100035230,26182.00 ,PO 377933 ZZ999 Ad Hoc PRODUCT DEFRA 41.9 CONTRIBUTION DEC 2015,SW1A 2HD,SME,IGS,ADAPTASC,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Current Grants E,Environment and Rural DG Group,Wiltshire Council,080116,228022.50 ,PO 382171 DEFRA GRANT CLAIM FORM APRIL 2015 - DEC 2015,DH1 5UE,SME,GIA,NPENNINE,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Current Grants E,Environment and Rural DG Group,Lancashire County Council,270116,111778.00 ,PO 382177 DEFRA GRANT CLAIM FORM FOR 01.04.2015 - 31.12.2015,TQ9 5NE,,GIA,SOUTHDEV,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Evidence Non R&D,"Strategy, International, Food and Farming DG Group",C E F A S,8005558,1558420.73 ,PO 377543 NON EVIDENCE LINE 6 HLA FEB 2016,NR33 0HT,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Reactive Element of Core IFM fee,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00052777,596128.45 ,PO 378496 REACTIVE MAINTENANCE FUND 01.01.16 TO 31.01.16,BS32 4NH,,10226,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,FM Projects Non Capital Works,Chief Operating Officer DG,Davitt Jones Bould Ltd - Client Account,73899,40066.49 ,PO 379250 HMLR FEE SUPPLIER H M LAND REGISTRY,TA1 4EB,SME,21151,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,IT Software,Chief Operating Officer DG,Atos IT Services UK Ltd,5584204641,130996.19 ,PO 378238 GB 706082 CLOUD ASC SERVICES,WV10 6UH,,CAP214,CAPDFA08,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Overhead Incidental Expenses,Chief Operating Officer DG,Ministry Of Justice,IOH162HQ12229,113756.40 ,PO 382079 CASEWORK SERVICE CHARGE,NP20 9BB,,IGS,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Estates IFM Core Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00052776,2594461.51 ,PO 378495 CORE CONTRACT 01.01.16 TO 31.01.16,BS32 4NH,,10226,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",Animal and Plant Health Agency,5000080224,50000.00 ,PO 381858 REPORTABLE DISEASE AND ZOONOSES,KT15 3NB,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Current Grants E,Environment and Rural DG Group,Lancaster City Council,280116,130726.50 ,PO 382178 DEFRA GRANT CLAIM FORM FOR 01.04.2015 - 31.12.2015,KT1 2DN,,GIA,SURREY01,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Current Grants E,Environment and Rural DG Group,Cornwall AONB Unit,110216,82927.16 ,PO 382045 DEFRA GRANT CLAIM FORM 01.04.16 TO 31.12.15,TR1 3AY,,GIA,CORNWALL,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",Centre For Ecology & Hydrology,7060009331,37190.00 ,PO 356653 NEC04658 WQ0223,OX10 8BB,SME,Exempt,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Inwards Secondments,Chief Operating Officer DG,Rural Payments Agency,ARI000824,35748.66 ,"PO 379757,  APRIL -DEC 2015 PERCENTAGE SALARY COST",RG1 3YD,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,IT Software,Chief Operating Officer DG,Atos IT Services UK Ltd,5584204642,101436.12 ,PO 379699 GB 706082 CLOUD ASC SERVICES PAAS AND IAAS PROD B HOSTING DEC 15,WV10 6UH,,CAP441,CAPDFA08,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Current Grants E,Environment and Rural DG Group,The National Forest Co,260116,122007.80 ,PO 382170 DEFRA GRANT CLAIM FORM FOR 01.04.2015 - 31.12.2015,NR1 2SG,,GIA,NORFOLK1,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",University Of Glasgow,150216,43049.66 ,PO 374088 SE3290 PHASE 1,G12 8QQ,,SE3290,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Advisory Services,Environment and Rural DG Group,Water UK,14647,35000.00 ,PO 382037 FUNDING FOR WT 1576,SW1H 0BH,SME,WT1576,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Computer & IT Services,Chief Operating Officer DG,Adapt Services Ltd,AI016841,90633.60 ,PO 382284 ENVIRONMENT PROVISION 1.1.16 TO 31.1.16,CF3 0LW,SME,22926 / ECM43182,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Computer & IT Services,Chief Operating Officer DG,Adapt Services Ltd,AI016746,64892.40 ,PO 382284 ENVIRONMENT PROVISION 1.12.15 TO 31.12.15,CF3 0LW,SME,22926 / ECM43182,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Current Grants E,Environment and Rural DG Group,Cornwall AONB Unit,110216,162528.00 ,PO 382047 PERIOD COVERED BY GRANT CLAIM APR 2015 TO MAR 2016,DT1 1XJ,,GIA,DORSET01,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPM119297,104113.00 ,PO 380726 CONSULTANCY,B11 2LE,SME,CAP514,CAPDFACP,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",University Of Wales Aberystwyth,20069756,103993.03 ,"PO 353893, DEFRA LINK PROJECT LK0863, CLAIM FOR OCT - DEC 2015",SY23 2AX,,Exempt,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",University Of York,86790,120000.00 ,PO 375801 COMMUNITY FIELD TRIALS,YO10 5DD,,CH0104,SFFS0006,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPM119299,93388.00 ,PO 380726 CONSULTANCY,B11 2LE,SME,CAP475,CAPDFACP,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Training - Learning & Development,Chief Operating Officer DG,Capita Business Services Ltd,X93899,38722.80 ,PO 377835 353471 CONSULTANCY payment,DL1 9HB,,16085,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPM119927,66172.11 ,PO 380726 CONSULTANCY,B11 2LE,SME,CAP514,CAPDFACP,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",Fera Science Limited,6138005082,27577.09 ,"PO 378506, FR/000125 CHALARA DEFRA/BBSRC",YO41 1LZ,,TH0119,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPM119298,96134.43 ,PO 380726 CONSULTANCY,B11 2LE,SME,CAP514,CAPDFACP,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Programme Consultancy Costs,Environment and Rural DG Group,Local Partnerships LLP,41101942,88008.00 ,PO 378270 LOCAL PARTNERSHIP SUPPORT,SW1P 3HZ,SME,22131,WFUNDCON,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Other Current Payments (Evidence R&D),Environment and Rural DG Group,Ricardo-A E A Ltd,6162665,25474.33 ,PO 353148 operation of  the UK EUTROPHYING,OX11 0QR,,Exempt,AQRDXXXX,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Other Current Payments E,"Strategy, International, Food and Farming DG Group",Ricardo-A E A Ltd,6162504,45133.54 ,PO 358322 DEC 2015 DELIVERY OF EVENT ACTIVITY,OX11 0QJ,,15760,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Johnsons Moving Services Ltd,528448,29376.60 ,PO 381564 COMMERCIAL REMOVAL SERVICE,CW9 7LP,SME,22719,B129P007,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Agency temps - clerical,Chief Operating Officer DG,H M R C,18000031382015,39109.92 ,PO 381325 QRT 1 EFS,BN12 4XH,,IGS,FSTRMEU0,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Current Grants E,Environment and Rural DG Group,Suffolk County Council,210116,82102.84 ,PO 382200 GRANT CLAIM PERIOD 1 APRIL 2015 TO 31ST MARCH 2016,EX2 4QD,,GIA,NORDEVON,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR117,1556450.80 ,DEFRA CAPITA FUNDING REQUEST INVOICE No. CAPFR117,EC2V 7NQ,,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Electricity,Chief Operating Officer DG,E D F Energy,000001332780,525964.50 ,SITE 516 ELECT 01/01/2016 to 31/01/2016  A/C 0553210000,EX1 3UT,,,B0790000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00052286,65103.92 ,PO 379472 BILLING DEC 2015 PROJECTS VALUATION BCP REF 7132,BS32 4NH,,10226,FMR1516R,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Contractor - Management Cover,Chief Operating Officer DG,Cornwall AONB Unit,110216,62260.00 ,PO 382104 JAN-16 CONTENT DESIGNERS REF SCROLL 1260,SW2,SME,22635,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Current Grants E,"Strategy, International, Food and Farming DG Group",Ascension Island Government,220116,26230.50 ,PO 370064 REF NO. DPLUS021 Q3 01.10.2015 - 31.12.2015 DARWIN GRANT CLAIM FORM,ASCN 1ZZ,,Grant,DARWPLUS,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Inwards Secondments,Chief Operating Officer DG,H M R C,18000030562015,290684.66 ,PO 380885 QTR 2 GFS,BN12 4XH,,IGS,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Inwards Secondments,Chief Operating Officer DG,H M R C,18000039102015,100320.00 ,"PO 382212,  2016 FS RECRUITMENT COSTS",BN12 4XH,,IGS,FSTRMGEN,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Travel UK,Chief Operating Officer DG,IBM United Kingdom Ltd,5812150294,35715.16 ,PO 377514 APR 14-103 01.11.15 TO 30.11.15,GU1 2LD,SME,10040,CAPDFA02,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Agency temps - clerical,Chief Operating Officer DG,H M R C,18000031392015,70629.85 ,PO 381325 QTR 2 EFS,BN12 4XH,,IGS,FSTRMEU0,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Deloitte & Touche,2410098649,32143.20 ,PO 380807 CAP DELIVERY PROGRAMME,MK9 1FD,,CAP488,CAPDFA03,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Network Services - Including Assets,Chief Operating Officer DG,IBM United Kingdom Ltd,5802160568,31091.27 ,PO 382229 PXQ COUNTS NOT INCLUDED IN THE AUG - OCT 15 P/E 01.08.2015 TO 31.10.2015,GU1 2LD,SME,10040,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Current Grants E,"Strategy, International, Food and Farming DG Group",L T S International Ltd,2699,29271.35 ,PO 346173 W/S 1/4 APPLICATIONS,EH26 0PH,SME,20211,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Inwards Secondments,Chief Operating Officer DG,H M R C,18000030502015,247298.66 ,PO 380885 QTR 1 GFS,BN12 4XH,,IGS,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Deloitte & Touche,2410097561,49561.20 ,PO 380807 DEFRA CAP DELIVERY PROGRAMME 1 NOV 15 TO 30 NOV 15. TIME CHARGES,MK9 1FD,,CAP488,CAPDFA03,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Current grants to charitable bodies,Environment and Rural DG Group,Waste & Resources Action Programme,FEBRUARY1,1090514.00 ,PO 380851 CLAIM FOR GRANT DRAWDOWN REQUEST FROM DEFRA FEB 2016,OX16 0AH,,21806,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",University Of Cambridge,EW9089628,40000.00 ,PO 382374 REQUEST FOR PAYMENT IN FULL CALL OF ORDER BRAVO REF 22597,CB2 1SB,,22597,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Agency temps - clerical,Chief Operating Officer DG,H M R C,18000031372015,41000.00 ,PO 381292 41K SUCCESS IN THE EU,BN12 4XH,,IGS,FSTRMEU0,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,Other Current Payments E,"Strategy, International, Food and Farming DG Group",Animal and Plant Health Agency,5000081000,7810881.00 ,PO 377681 BCF INCOME 2015/16,YO1 7PX,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5802160174,5605014.65 ,PO 381821 FEB 2016 CORE DEFRA IT BASE SERVICE 01.02.2016 TO 29.02.2016,GU1 2LD,SME,10040,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,Current Grants E,"Strategy, International, Food and Farming DG Group",Stop Ivory,2015006,249999.97 ,PO 382381 ACTIVITIES FROM 1ST APRIL TO 31 DECEMBER 2015,WC1R 4QD,SME,22906,IWTXXXXX,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,Estates IFM Pass- Through Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00052110,177475.87 ,PO 382410 NOVEMBER 2015,BS32 4NH,,10226,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,Application Services/Applications Delivery,Chief Operating Officer DG,IBM United Kingdom Ltd,5802160579,47177.97 ,PO 375126 APR 14F - 005 P/E 03.04.2015  - 27.11.2015,GU1 2LD,SME,10040,PITF0400,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5902160119,-122010.40 ,CREDIT NOTE NOVEMBER 15 VOLUMETRIC,GU1 2LD,SME,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,Gas,Chief Operating Officer DG,Corona Energy,10854712,27206.51 ,SITE 087 GAS 01/01/2016 to 01/02/2016  A/C  20404458/1,WD17 1JW,,,B0870000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,Other Current Payments (Evidence R&D),Environment and Rural DG Group,Ricardo-A E A Ltd,6162681,28328.00 ,PO 366855 MODELLING OF AMBIENT AIR QUALITY CALL OFF ED59323,OX11 0QR,,AQ0650,AQRDXXXX,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,Other Current Payments E,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00053016,42033.52 ,PO 382409 BILLING DECEMBER 2015,BS32 4NH,,10226,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,Other Current Payments E,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00052111,52234.36 ,PO 382411 BILLING NOVEMBER 2015,BS32 4NH,,10226,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,Gas,Chief Operating Officer DG,Corona Energy,10817382,70472.45 ,SITE_281_GAS _01/01/2016 TO 01/02/2016_A/C_SITE 281,WD17 1JW,,,B2810000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,Gas,Chief Operating Officer DG,Corona Energy,10818087,27215.27 ,SITE 087 GAS 01/01/2016 to 01/02/2016  A/C 087,WD17 1JW,,,B0870000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,Gas,Chief Operating Officer DG,Corona Energy,10817186,37925.10 ,SITE 087 GAS 01/01/2016 to 01/02/2016  A/C 20404458/10,WD17 1JW,,,B0870000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260009180,51726.83 ,PO 378626 MONTHLY FIXED FEE,SE1 2AP,SME,CAP275,CAPDFA07,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,Current Grants E,"Strategy, International, Food and Farming DG Group",Anguilla National Trust,190216,70861.46 ,FOREIGN PAYMENT DEFRA DARWIN DPLUS013 Q4 2014-15 AND 2015-16 CLAIM LESS RETENTION GRANT PAYMENTS,AL 2640,SME,,DARWPLUS,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,Estates IFM Pass- Through Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00053015,150610.28 ,PO 382408 BILLING DECEMBER 2015,BS32 4NH,,10226,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,Estates Professional Fees & Services,Chief Operating Officer DG,Merrick UK Ltd,000116,30000.00 ,PO 378906 WEYBRIDGE NCS TECHNICAL COORDINATION,80111,,21603,B0870000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,24/02/2016,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Control and Power Systems Ltd,16172,161872.13 ,"PO 379305,  SUPPLY AND FIT GENERATOR CONTROL PANEL, REF - SC864",YO13 0HG,SME,22259,FMR1516R,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,25/02/2016,Other Current Payments (Evidence R&D) (Agency),"Strategy, International, Food and Farming DG Group",Animal and Plant Health Agency,ERS-568347-54103,26915.25 ,OZ0347 - Development of enhanced methods for outbreak investigation and source attribution of Salmonella - APHA - FY15/16,KT15 3NB,SME,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,25/02/2016,Other Current Payments (Evidence R&D) (Agency),"Strategy, International, Food and Farming DG Group",Animal and Plant Health Agency,ERS-568333-54096,274814.00 ,SE3247 (CCN06) - Development of an oral BCG vaccine for badgers - regulatory component - AHVLA FY2015/16,KT15 3NB,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,25/02/2016,Other Current Payments (Evidence R&D) (Agency),"Strategy, International, Food and Farming DG Group",Animal and Plant Health Agency,ERS-568337-54098,34888.75 ,SE3274 (CCN05) - Review and preliminary assessment of alternative badger control methods - FY15/16 - APHA ,KT15 3NB,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,25/02/2016,Other Current Payments (Evidence R&D) (Agency),"Strategy, International, Food and Farming DG Group",Animal and Plant Health Agency,ERS-568334-54097,94546.42 ,"SE3268 CCN1 & 2 -  Antigen mining, DIVA assays and other diagnostic approaches - APHA",KT15 3NB,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,25/02/2016,Other Current Payments (Evidence R&D) (Agency),"Strategy, International, Food and Farming DG Group",Animal and Plant Health Agency,ERS-568306-54087,52350.08 ,SE1960 - TSE Strategic Competencies - APHA  FY15/16,KT15 3NB,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,25/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",Fera Science Limited,8098500400,-27356.49 ,PO 378559 CREDIT NOTE FOR REF INV NO 6138005072,YO41 1LZ,,TH0128,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,25/02/2016,Other Current Payments (Evidence R&D) (Agency),"Strategy, International, Food and Farming DG Group",Animal and Plant Health Agency,ERS-568328-54095,33636.33 ,SE2207 - Improving CSFV control through enhanced diagnostic and intervention tools - APHA - FY2015/16 ,KT15 3NB,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,25/02/2016,Other Current Payments (Evidence R&D) (Agency),"Strategy, International, Food and Farming DG Group",Animal Health and Veterinary Laboratories Agency,ERS-568346-54074,37262.00 ,OZ0344 (CNN01)  - Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - APHA  FY15/16,KT15 3NB,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,26/02/2016,Other Current Payments (GB),"Strategy, International, Food and Farming DG Group",Fera Science Limited,6138006625,317900.00 ,PO 377435 SPECIALIST FACILITIES FSLG,YO41 1LZ,,20350,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,26/02/2016,Contracted Out Services Fixed Charges,Chief Operating Officer DG,Shared Services Connected Ltd,100002310,262991.54 ,PO 366914 CHARGES FOR SERVICES BETWEEN 1 FEB 16 AND 29 FEB 16,HP2 7AH,,27761096,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,26/02/2016,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,IBM United Kingdom Ltd,5802160961,58793.09 ,PO 380092 APR 15D-002 01.02.16 TO 29.02.16,GU1 2LD,SME,10040,B129P007,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,26/02/2016,Payover,Central Finance Group,Rural Payments Agency,250216,2093122.04 ,VAT REPAYMENT DUE QTR 3,RG1 1AF,SME,,00000000,Liability,,,,,,,,,,,,,,,
DEFRA,DEFRA,26/02/2016,IT Software,Chief Operating Officer DG,M D S Technologies Ltd,4941,255643.88 ,PO 382016 PHYSICAL SERVICE AND STORAGE,SN14 0GX,SME,CAP502,CAPDFA08,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,26/02/2016,Hardware Services/Standard Hardware Items,Chief Operating Officer DG,Vodafone Ltd,000079223932,558648.00 ,PO 380809 A/C NUMBER 602147228/00001,RG14 5FF,,21878,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,26/02/2016,Evidence Non R&D,Environment and Rural DG Group,Bureau Veritas UK Ltd,16002282,183152.00 ,"PO 378237, PROJECT MANAGEMENT COSTS STAFF COST",SE1 2TX,,21314,AQNONRDX,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,26/02/2016,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5802160960,58432.53 ,"PO 378053 APR14AH - 024, 01/02/2016 TO 29/02/2016",GU1 2LD,SME,10040,PTRS0801,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,26/02/2016,Other Current Payments (Evidence R&D),Environment and Rural DG Group,Aquapak Polymers Ltd,116,42702.65 ,"PO 375346,  SBRI PROJECT, SCHEDULE 2",B30 3HP,SME,WE0113,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,26/02/2016,Other Current Payments E,Chief Operating Officer DG,Getmapping Plc,DEFRA024,101166.67 ,PO 372595 SUPPLY OF AERIAL,RG27 8NW,SME,20041,AERPHOTO,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,26/02/2016,Evidence Non R&D,"Strategy, International, Food and Farming DG Group",Sea Mammal Research Unit,RG051621,51910.33 ,"PO 348138,  FIELD STUDIES AND DATA ANALYSIS",KY16 8LB,SME,MF1228,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,26/02/2016,IT Software,Chief Operating Officer DG,M D S Technologies Ltd,4942,34436.46 ,PO 382016 CONSOLIDATION PROJECT LABOUR,SN14 0GX,SME,CAP502,CAPDFA08,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,26/02/2016,Other Current Payments (GB),"Strategy, International, Food and Farming DG Group",Fera Science Limited,6138006623,556836.00 ,PO 377434 FEB PLANT & BEE HEALTH SERVICES,YO41 1LZ,,FDP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,26/02/2016,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,IBM United Kingdom Ltd,5802160653,67973.39 ,PO 379380 APR 15D-001 01.02.16 TO 29.02.16,GU1 2LD,SME,10040,B177P003,Asset,,,,,,,,,,,,,,,
