Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number
,,27/02/2017,Research & development,"Science, Research & Evidence",OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-569255-134852,35965,Research for Patient Benefit,OX4 2PG,,,PUBLIC,
,,22/02/2017,Research & development,"Science, Research & Evidence",UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-569037-134706,333333,NIHR Academic Rehab Surgery - Birmingham,B15 2PR,,,PUBLIC,
,,22/02/2017,Research & development,"Science, Research & Evidence",NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,ERS-569036-134702,28682,Research for Patient Benefit,NG3 6AA,,,PUBLIC,
,,22/02/2017,Research & development,"Science, Research & Evidence",MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-569033-134705,78784,Invention for Innovation,EC1V 2PD,,,PUBLIC,
,,22/02/2017,Research & development,"Science, Research & Evidence",WHITTINGTON HOSPITAL NHS TRUST,ERS-569020-134704,48750,Programme Grants for NHS Trusts,N19 5NF,,,PUBLIC,
,,22/02/2017,Research & development,"Science, Research & Evidence",UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-569018-134707,26461,Research for Patient Benefit,NW1 2BX,,,PUBLIC,
,,21/02/2017,Research & development,"Science, Research & Evidence",HEALTH EDUCATION ENGLAND T1510,49299179,12696832,"Other formal training, (Mentoring TCC, Experimental training camp AD, Psychiatry Master Class IoP, meeeting/workshops organised by TCC, NIHR Research Methods advisor - Leeds  ",LS1 4PL,,,PUBLIC,
,,21/02/2017,Research & development,"Science, Research & Evidence",LEEDS TEACHING HOSPITAL NHS TRUST,1410056807,95250,NCCRCD Management,LS9 7TF,,,PUBLIC,
,,20/02/2017,Research & development,"Science, Research & Evidence",LEEDS TEACHING HOSPITAL NHS TRUST,1410063031,30418.69,NCCRCD Management,LS9 7TF,,,PUBLIC,
,,20/02/2017,Research & development,"Science, Research & Evidence",LEEDS TEACHING HOSPITAL NHS TRUST,1410063030,544170.19,NCCRCD Management,LS9 7TF,,,PUBLIC,
,,17/02/2017,Research & development,"Science, Research & Evidence",LEEDS TEACHING HOSPITAL NHS TRUST,1410056805,161899.95,NCCRCD Management,LS9 7TF,,,PUBLIC,
,,13/02/2017,Research & development,"Science, Research & Evidence",DERBY HOSPITALS NHS FOUNDATION TRUST,ERS-568757-134416,31767,Programme Grants for NHS Trusts,DE1 2QS,,,PUBLIC,
,,13/02/2017,Research & development,"Science, Research & Evidence",NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,ERS-568756-134349,29980,Programme Grants for NHS Trusts,NG3 6AA,,,PUBLIC,
,,13/02/2017,Research & development,"Science, Research & Evidence",CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-568746-134342,2170784,Bio-Medical Centres,CB2 2QQ,,,PUBLIC,
,,13/02/2017,Research & development,"Science, Research & Evidence",UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-568745-134400,500000,NIHR Academic Rehab Surgery - Birmingham,B15 2PR,,,PUBLIC,
