Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/05/2012,Publicity & advertising,External Relations Directorate,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739653,4807.33,,C4L alcohol TV campaign ,Programme,
Department of Health,Department of Health,01/05/2012,Printing,External Relations Directorate,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739653,77037.67,,Printing of a new Change4Life 12pp booklet on Alcohol. ,Programme,
Department of Health,Department of Health,01/05/2012,Publicity & advertising,External Relations Directorate,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,738908,132777,,COI Category Four   DRM and Digital; Contact Centres. Worth Talking About Q4 contact centre costs. COI  Contact/Reference Number -  Annemarie Hennessy/ 405803_4.,Programme,
Department of Health,Department of Health,04/05/2012,Admin Capital Grant-in-Aid to ENDPBs,External Relations Directorate,COUNCIL FOR HEALTHCARE REGULATORY EXCELLENCE (CHRE),PUBLIC,WC2N 5HR,DH024,68000,,CHRE Capital Budget Allocation - 2011/12,Other,
Department of Health,Department of Health,11/05/2012,Outsourcing Contract,External Relations Directorate,RESEARCH WORKS LTD,SME,AL1 4TB,RWL JOB NO J.1866,25000,,Qualitative research with public and nurses,Programme,
Department of Health,Department of Health,11/05/2012,Addition Clearing - IT,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007850,65336,,"CPA for ESR Contract - Hardware Drawdown, CCN 176 Hardware Refresh & Pipeline Development FY11-12",Programme,
Department of Health,Department of Health,11/05/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007852,68399.88,,CPA for ESR Contract CCN 126 ESR NHS Payslip Printing and Courier solution,Programme,
Department of Health,Department of Health,11/05/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007849,86856.16,,CPA for ESR Contract : CCN 176 ESR Encryption service FY10-12,Programme,
Department of Health,Department of Health,11/05/2012,Addition Clearing - IT,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007855,145106.06,,CPA for ESR Contract : ESR Hardware Drawdown Request FY10-11,Programme,
Department of Health,Department of Health,11/05/2012,Addition Clearing - IT,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007856,279214.95,,"CPA for ESR Contract - Hardware Drawdown, CCN 176 Hardware Refresh & Pipeline Development FY11-12",Programme,
Department of Health,Department of Health,11/05/2012,Service charge,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007851,596942.83,,CCN 703 - ESR Merge/Demerge requirements for TCS,Programme,
Department of Health,Department of Health,11/05/2012,Addition Clearing - IT,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007841,1718394.09,,"CPA for ESR Contract - Hardware Drawdown, CCN 176 Hardware Refresh & Pipeline Development FY11-12",Programme,
Department of Health,Department of Health,14/05/2012,Outsourcing Contract,External Relations Directorate,FREUD COMMUNICATIONS LTD,SME,W1T 3EB,SI10621,26870,,Lung cancer campaign - consumer engagement,Programme,
Department of Health,Department of Health,14/05/2012,Outsourcing Contract,External Relations Directorate,FREUD COMMUNICATIONS LTD,SME,W1T 3EB,SI10620,40200,, PR Secondhand smoke campaign support including launch and extra activity during campaign,Programme,
Department of Health,Department of Health,14/05/2012,Outsourcing Contract,External Relations Directorate,METHODS CONSULTING,SME,WC2H 8AD,100018186,43170,,Extension to FPAS Contract - Methods Consultancy,Programme,13245
Department of Health,Department of Health,14/05/2012,Admin Revenue Grant-in-Aid ENDPBs,External Relations Directorate,COUNCIL FOR HEALTHCARE REGULATORY EXCELLENCE (CHRE),PUBLIC,WC2N 5HR,DH025,200000,,CHRE Grant-In-Aid Revenue Cash Drawdown 2012/13,Admin,
Department of Health,Department of Health,17/05/2012,Publicity & advertising,External Relations Directorate,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,740007,41985.72,,Bowel cancer campaign - TV advertising,Programme,
Department of Health,Department of Health,17/05/2012,Provisions cash payment,External Relations Directorate,NHS INJURY BENEFITS SCHEME,PUBLIC,FY7 8LG,ERS-461029-59341,3980195.87,,Injury Allowance Recharging,Programme,
Department of Health,Department of Health,18/05/2012,Outsourcing Contract,External Relations Directorate,PRICEWATERHOUSECOOPERS LLP,LARGE,E14 9SQ,1353751189,38760,,Inv 1353751189 dated 280212 Addendum to ALB VSM Pay Framework ITT 58309,Programme,
Department of Health,Department of Health,18/05/2012,Publicity & advertising,External Relations Directorate,M AND C SAATCHI UK LTD,LARGE,W1F 9EE,97693,39750,,Change4Life advertising work January- March 2012 - To include preparation and production for the June Games4Life Campaign and the coming Start4Life campaign,Programme,
Department of Health,Department of Health,18/05/2012,Printing,External Relations Directorate,WILLIAMS LEA LTD,LARGE,W2 6LG,DH12030021,41244.96,,Lung cancer campaign - printing of leaflets and posters,Programme,
Department of Health,Department of Health,18/05/2012,Printing,External Relations Directorate,PROMOTIONAL LOGISTICS LTD,SME,CO10 1RE,IN314536,77849.43,,Monthly call off for storage and distribution for February 2012  ,Admin,
Department of Health,Department of Health,18/05/2012,Publicity & advertising,External Relations Directorate,M AND C SAATCHI UK LTD,LARGE,W1F 9EE,97687,126499.87,,Change4Life advertising work January- March 2012 - To include preparation and production for the June Games4Life Campaign and the coming Start4Life campaign,Programme,
Department of Health,Department of Health,18/05/2012,Policy Payments,External Relations Directorate,OFFICE OF THE HEALTH PROFESSIONS ADJUDICATOR OHPA,LARGE,SE1 9BW,OHPAFUNDS-MAYANDJUNE2012,175329,,"Funding for OHPA,  operational & closedown costs 12/13",Admin,
Department of Health,Department of Health,21/05/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,793193,80274.09,,"May TV,VOD, Radio, Online and press media for Secondhand smoke campaign  ",Programme,
Department of Health,Department of Health,21/05/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,793218,102230.31,,"May TV,VOD, Radio, Online and press media for Secondhand smoke campaign ",Programme,
Department of Health,Department of Health,23/05/2012,Publicity & advertising,External Relations Directorate,TNS UK LTD,LARGE,W5 5SU,260107540,1290,,addtional behaviour question X 2 on the C4L tracking survey,Programme,
Department of Health,Department of Health,23/05/2012,Outsourcing Contract,External Relations Directorate,FREUD COMMUNICATIONS LTD,SME,W1T 3EB,SI10778,6833.3,,PR retainer fees for DH Q1 2012/13 ,Programme,
Department of Health,Department of Health,23/05/2012,Publicity & advertising,External Relations Directorate,TNS UK LTD,LARGE,W5 5SU,260107540,16248,,Additional cost of Evaluation research of the Change4Life Supermeals campaign and to cover the Change4Life alcohol pre campaign tracking and reporting,Programme,
Department of Health,Department of Health,23/05/2012,Outsourcing Contract,External Relations Directorate,FREUD COMMUNICATIONS LTD,SME,W1T 3EB,SI10778,20499.9,,PR retainer fees for DH Q1 2012/13 ,Programme,
Department of Health,Department of Health,23/05/2012,Outsourcing Contract,External Relations Directorate,FREUD COMMUNICATIONS LTD,SME,W1T 3EB,SI10778,20499.9,,PR retainer fees for DH Q1 2012/13 ,Programme,
Department of Health,Department of Health,23/05/2012,Outsourcing Contract,External Relations Directorate,FREUD COMMUNICATIONS LTD,SME,W1T 3EB,SI10778,20499.9,,Consumer engagement - cancer and dementia campaigns,Programme,
Department of Health,Department of Health,23/05/2012,Publicity & advertising,External Relations Directorate,TNS UK LTD,LARGE,W5 5SU,260107540,30269,,Evaluation research of the Change4Life Supermeals Campaign including campaing brand tracking and clickthrough service,Programme,
Department of Health,Department of Health,23/05/2012,IT minor costs non capital,External Relations Directorate,CAMBRIDGESHIRE PCT,PUBLIC,PE29 6FH,7700003922,32000,,"e-lfh, Delivery of Informatics Conversion Course",Programme,
Department of Health,Department of Health,23/05/2012,Outsourcing Contract,External Relations Directorate,THE TERRENCE HIGGINS TRUST,VCS,WC1X 8DP,STAT004091,41666.66,,Contact centre provision - specialist HIV advice,Programme,
Department of Health,Department of Health,23/05/2012,IT minor costs non capital,External Relations Directorate,CAMBRIDGESHIRE PCT,PUBLIC,PE29 6FH,7700003922,50000,,"e-lfh, Delivery of Dementia Programme",Programme,
Department of Health,Department of Health,23/05/2012,CIP Addition Clearing - IT_IDS,External Relations Directorate,IMC (UK) LEARNING LTD,SME,TN13 1BL,IUK2012-119,70006.56,,Contract for the provision of an lms for E-lfh -Delivery of IMC services,Programme,
Department of Health,Department of Health,23/05/2012,Publicity & advertising,External Relations Directorate,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,740240,87836.69,,COI Category Four   DRM and Digital; Contact Centres. Worth Talking About Q4 contact centre costs. COI  Contact/Reference Number -  Annemarie Hennessy/ 405803_4.,Programme,
Department of Health,Department of Health,23/05/2012,CIP Addition Clearing - IT_IDS,External Relations Directorate,IMC (UK) LEARNING LTD,SME,TN13 1BL,IUK2012-115,99648,,Contract for the provision of an lms for E-lfh -Delivery of IMC services,Programme,
Department of Health,Department of Health,23/05/2012,Admin Revenue Grant-in-Aid ENDPBs,External Relations Directorate,APPOINTMENTS COMMISSION,PUBLIC,LS1 4PL,20120501,100000,,To eable Appointments Commission to draw down cash in 2012-13,Admin,
Department of Health,Department of Health,23/05/2012,Publicity & advertising,External Relations Directorate,SIMPLY BECAUSE LTD,LARGE,SL5 9FE,1323,199209,,Lung cancer campaign - face to face events,Programme,
Department of Health,Department of Health,24/05/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,779896,38393.93,,31 March - 30 April TV media buying for national Second hand smoke campaign ,Programme,
Department of Health,Department of Health,24/05/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,790205,64209.99,,"May TV,VOD, Radio, Online and press media for Secondhand smoke campaign  ",Programme,
Department of Health,Department of Health,24/05/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,790222,856365.85,,31 March - 30 April TV media buying for national Second hand smoke campaign,Programme,
Department of Health,Department of Health,28/05/2012,Outsourcing Contract,External Relations Directorate,IPSOS MORI UK LTD,LARGE,HA1 1PT,12000670,24850,,Quantitative research survey with public,Programme,
Department of Health,Department of Health,29/05/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,795408,23687.31,,S4L cinema advertising,Programme,
Department of Health,Department of Health,29/05/2012,Outsourcing Contract,External Relations Directorate,CALLCREDIT MARKETING LTD,SME,LS3 1EP,INV01172,54328.69,,Smokefree contact centre and related database service provision.,Programme,
Department of Health,Department of Health,29/05/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,795413,630541.9,,"May TV,VOD, Radio, Online and press media for Secondhand smoke campaign ",Programme,
Department of Health,Department of Health,29/05/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,795411,692379.44,,Lung cancer campaign -TV advertising,Programme,
Department of Health,Department of Health,30/05/2012,Outsourcing Contract,External Relations Directorate,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,740246,22889.19,,Search media buying costs - Jan-Mar 2012,Programme,
Department of Health,Department of Health,30/05/2012,Outsourcing Contract,External Relations Directorate,TNS UK LTD,LARGE,W5 1UA,260107934,32750,,Qualitative and Quantitative evaluation research for Quit Kit 3,Programme,
Department of Health,Department of Health,30/05/2012,Publicity & advertising,External Relations Directorate,M AND C SAATCHI UK LTD,LARGE,W1F 9EE,97990,52072,,Lung cancer campaign  - agency fees,Programme,
Department of Health,Department of Health,30/05/2012,Publicity & advertising,External Relations Directorate,M AND C SAATCHI UK LTD,LARGE,W1F 9EE,97989,60433,,Start4Life - May/June 2012 campaign development ,Programme,
Department of Health,Department of Health,30/05/2012,Admin Revenue Grant-in-Aid ENDPBs,External Relations Directorate,COUNCIL FOR HEALTHCARE REGULATORY EXCELLENCE (CHRE),PUBLIC,WC2N 5HR,DH026,200000,,CHRE Grant-In-Aid Revenue Cash Drawdown 2012/13,Admin,
