DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,EXPENSE_AREA,SUPPLIER_OBS_TYPE,SUPPLIER,TRANSACTION_NUM, AMOUNT ,DESCRIPTION ,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM
DEFRA,Animal Health,27/01/2012,Hard charges,Food and Farming Group,Supplier,D T Z,29670,84515.86,Retrospective accommodation charges for the Leeds office,B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,09/01/2012,LVI ERNIC Suspense,Food and Farming Group,TAX AUTHORITY,Inland Revenue,30112,65827.62,Payment of National Insurance for Official Veterinarians,BD98 8AA,,,0,Liability,
DEFRA,Animal Health,31/01/2012,Service Level Agreement Costs,,OGD,Food Standards Agency,1701293,42479.3,Payment  for sampling and submission of TB reactor cattle in contracted slaughterhouses.,YO1 2YX,,,AHFSATBS,Expense,
DEFRA,Animal Health,31/01/2012,Service Level Agreement Costs,,OGD,Food Standards Agency,1701308,43755.98,Payment  for sampling and submission of TB reactor cattle in contracted slaughterhouses.,YO1 2YX,,,AHFSATBS,Expense,
DEFRA,Animal Health,13/01/2012,IT & Other consumables,,Defra NDPB,Meat & Livestock Commercial Services Ltd,17004561,28500,payment to input keeper data for pig movements.,CV8 2TL,,,P10002IT,Expense,
DEFRA,Animal Health,23/01/2012,Emergency Vaccinations,Food and Farming Group,Supplier,Genus Breeding Ltd.,21088292,44123.4,Contingency contract for livestock vaccinations in the event of an outbreak,CW6 9HY,SME,11185,EMERVACC,Expense,
DEFRA,Animal Health,23/01/2012,Mobile Phones,Central Finance Group,Supplier,Vodafone Ltd,60935171,26224.84,Payment of the monthly mobile telephone invoice,,,,0,Asset,
DEFRA,Animal Health,04/01/2012,IT & Other consumables,,Defra NDPB,A H D B,180010116,57728.53,Quarterly service charges to the Agricultural and Horticultural Development Board for the pig movement database.,MK6 1AX,,,P10002IT,Expense,
DEFRA,Animal Health,17/01/2012,Hard charges,Food and Farming Group,OGD,DEFRA,1000009719,577400,Quarterly payment for services provided by Shared Service Department,YO1 7PX,,,HARDSSDC,Expense,
DEFRA,Animal Health,23/01/2012,Hard charges,Food and Farming Group,OGD,DEFRA,1000009765,82500,Payment for services provided by Procurement and Commercial Function for April to December 2011,YO1 7PX,,,HARDPCDC,Expense,
DEFRA,Animal Health,04/01/2012,Work package/WPO Implementation,Food and Farming Group,Supplier,IBM United Kingdom Ltd,5812110977,26231.12,Fixed price Statement of Work for delivery on AHVLA BRP SAM Realease 6,GU1 2LD,,10040,TAC00252,Expense,
DEFRA,Animal Health,04/01/2012,Work package/WPO Implementation,Food and Farming Group,Supplier,IBM United Kingdom Ltd,5812111061,40368.26,Fixed price Statement of Work for delivery on AHVLA BRP SAM Realease 6,GU1 2LD,,10040,BRP00243,Expense,
DEFRA,Animal Health,31/01/2012,Work package/WPO Implementation,Food and Farming Group,Supplier,IBM United Kingdom Ltd,5812112027,78044.29,Fixed price Statement of Work for delivery on AHVLA BRP SAM Realease 6,GU1 2LD,,10040,BRP00243,Expense,
DEFRA,Animal Health,09/01/2012,GPC Card,Central Finance Group,Supplier,Barclaycard Business Issuing,4.72E+21,44705.59,Payment of the monthly AHVLA Barclaycard bill,TS17 6YG,,,0,Asset,
DEFRA,Animal Health,17/01/2012,Service Level Agreement Costs,Food and Farming Group,Defra Executive Agency,Food & Environment Research Agency,FOO19574,31200,Payment for DNA services provided by the Food and Environment Research Agency for identifying specific protected species of raptors,YO41 1LZ,,,FERAXXXX,Expense,
DEFRA,Animal Health,30/01/2012,LVI Claims,Food and Farming Group,Non Supplier,XL FARMCARE WEST MIDLANDS LTD~114213469,LVI147937,61517.47,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,ST14 8EB,SME,,0,Expense,
DEFRA,Animal Health,30/01/2012,LVI Claims,Food and Farming Group,Non Supplier,George Veterinary Group~137680257,LVI147988,38013.63,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,SN16 9AA,SME,,0,Expense,
