Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number
DEFRA,Core Defra,01/08/2012,GPC Card,Central Finance Group,Barclaycard Business Issuing,4715320649042975050712," £111,302.34 ",Government Procurement Card Payment across Defra  for period  July 2012,TS17 6YG,,,00000000,Asset,
DEFRA,Core Defra,28/08/2012,Mobile Phones,Central Finance Group,Vodafone Ltd,64417929," £67,836.14 ",Defra Vodafone bill for period  - August 12 ,RG14 5FF,,,00000000,Asset,
DEFRA,Core Defra,13/08/2012,Payover,Central Finance Group,Veterinary Medicines Directorate,310712," £40,638.50 ",VAT recovery across Defra,KT15 3LS,,,00000000,Liability,
DEFRA,Core Defra,21/08/2012,CIT Deductions,Central Finance Group,H M Revenue & Customs,Withholding Tax - 5156479 - 3," £105,023.81 ",Withholding tax - Interserve (Facilities Mansgement) Ltd,BD98 8AA,,,00000000,Liability,
DEFRA,Core Defra,09/08/2012,GPC Card,Central Finance Group,Barclaycard Business Issuing,4715320649042975050812," £90,634.60 ",Government Procurement Card across Defra  for period  August 2012,TS17 6YG,,,00000000,Asset,
DEFRA,Core Defra,28/08/2012,CIT Deductions,Central Finance Group,H M Revenue & Customs,Withholding Tax - 5161570 - 3," £369,219.16 ",Withholding tax - Interserve (Facilities Management) Ltd,BD98 8AA,,,00000000,Liability,
DEFRA,Core Defra,13/08/2012,Payover,Central Finance Group,Rural Payments Agency,310712," £2,012,461.52 ",VAT recover across Defra In this financial year,RG1 3BU,,,00000000,Liability,
DEFRA,Core Defra,13/08/2012,Payover,Central Finance Group,Animal Health and Veterinary Laboratories Agency,310712," £199,779.88 ",VAT recovery across Defra In this financial year,KT15 3NB,,,00000000,Liability,
DEFRA,Core Defra,17/08/2012,Removal Expenses (Office Costs),Chief Operating Officer DG,IBM United Kingdom Ltd,5807121593," £48,400.00 ",Decommission of DefraNet at Bury St Edmunds ,GU1 2LD,,FRW10040-00,DISPOSAL,Expense,
DEFRA,Core Defra,01/08/2012,Gas,Chief Operating Officer DG,Corona Energy,07349691," £26,895.40 ","Gas bill  for the period of 01/06/12 to 01/07/12 - Animal Health and Veterinary Laboratories, Woodham Lane, New Haw, WEYBRIDGE, Surrey, KT15 3NB: includes Grange, Holme, Appstree, Old Rectory, Halls  and Coombelands  Farms",WD17 1JW,,,B0870000,Expense,
DEFRA,Core Defra,01/08/2012,Gas,Chief Operating Officer DG,Corona Energy,07345411," £101,527.22 ","Gas bill for period 1/6/12-1/7/12 - Animal Health and Veterinary Laboratories, Woodham Lane, New Haw, WEYBRIDGE, Surrey, KT15 3NB",WD17 1JW,,,B0870000,Expense,
DEFRA,Core Defra,03/08/2012,Estates Professional Fees & Services,Chief Operating Officer DG,D T Z,191718," £39,078.60 ",Annual management fee for financial year 2012/13,EH3 9QG,,16148,DTZ00000,Expense,
