Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/01/2013,Electricity (Programme),Finance & Commercial Group - Corporate Shared Services,SSE ENERGY SUPPLY LTD T/A SOUTHERN ELECTRIC,1009377,-741.66,CD SPEND RELATING TO EX-LSC PROPERTIES - Electricity (Programme),PH1 3QR,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/01/2013,Telecommunications,Finance & Commercial Group - Commercial Directorate,QUESTMARK,1067133,6400.00,RUNNING COSTS NON DEVOLVED - Telecommunications,NG10 4LS,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/01/2013,Two-Way Match Accruals (MANUAL),Finance & Commercial Group - Corporate Shared Services,DEFRA,1067730,-2909.42,Balance Sheet - Two-Way Match Accruals (MANUAL),YO1 7PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/01/2013,Telecommunications,Finance & Commercial Group - Commercial Directorate,QUESTMARK,1068681,255.00,RUNNING COSTS NON DEVOLVED - Telecommunications,NG10 4LS,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Standard Desktop Plus Services,Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1069026,428.68,RUNNING COSTS NON DEVOLVED - Standard Desktop Plus Services,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/01/2013,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1069304,307.46,RUNNING COSTS NON DEVOLVED - Standard Desktop Plus Service (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/01/2013,Secondees (not paid directly),Shareholder Executive - Shareholder Executive,BLACKROCK INVESTMENT MANAGEMENT (UK) LTD,1069429,4860.00,RUNNING COSTS DEVOLVED - Secondees (not paid directly),EH3 8JB,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/01/2013,Courier Services,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ROYAL MAIL GROUP LTD T/A ROYAL MAIL,1069664,-53.50,RUNNING COSTS DEVOLVED - Courier Services,BL4 9XX,PCTF,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/01/2013,Grant in Aid - Current -Other,Markets and Local Growth - Consumer and Competition Policy,CONSUMER FOCUS,1070672,3500000.00,CONSUMER FOCUS - Grant in Aid - Current -Other,EC4Y 8JX,EXT,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Professional Training,Markets and Local Growth - Labour Market,UNIVERSITY OF ST ANDREWS,1070687,-35.00,RUNNING COSTS DEVOLVED - Professional Training,KY16 9LB,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071276,239.54,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
