Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Home Office,Home Office,13/07/2011,Law Enforcement & safety Equip.Security & Control Equip- ADMN,Group HR,CESG,3000043093,"28,308.00"
Home Office,Home Office,22/07/2011,Professional & Admin Services.DWP MyCSP Pension admin fee,Group HR,DWP (SHARED SERVICES),3000043146,"129,441.00"
Home Office,Home Office,18/07/2011,Professional & Admin Services.Personnel Recruit Serv - ADMN,Group HR,FCO SERVICES,3000043112,"42,804.00"
Home Office,Home Office,26/07/2011,GRANTS,CPG - Crime & Policing Group,AVON & SOMERSET CONSTABULARY (G),1001138758,"174,089.90"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,AVON & SOMERSET POLICE AUTHORITY 1 (G),1001129182,"10,077,352.00"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,BEDFORDSHIRE POLICE AUTHORITY 1 (G),1001129183,"3,659,509.00"
Home Office,Home Office,28/07/2011,GRANTS,CPG - Crime & Policing Group,BEDFORDSHIRE POLICE AUTHORITY 1 (G),1001139801,"74,526.75"
Home Office,Home Office,22/07/2011,GRANTS,CPG - Crime & Policing Group,BLACKPOOL PCT (G),3000043143,"38,968.00"
Home Office,Home Office,22/07/2011,GRANTS,CPG - Crime & Policing Group,BRIGHTON & HOVE COUNCIL (G),1001137329,"25,630.25"
Home Office,Home Office,22/07/2011,GRANTS,CPG - Crime & Policing Group,CAMBRIDGESHIRE COUNTY COUNCIL (G),1001137330,"31,527.25"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE AUTHORITY 1 (G),1001129184,"4,478,210.00"
Home Office,Home Office,28/07/2011,GRANTS,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE AUTHORITY 1 (G),1001139802,"58,158.00"
Home Office,Home Office,22/07/2011,GRANTS,CPG - Crime & Policing Group,CAMDEN PRIMARY CARE TRUST (G),3000043144,"95,574.50"
Home Office,Home Office,26/07/2011,GRANTS,CPG - Crime & Policing Group,CATCH 22 (G),1001138760,"1,257,757.50"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001129185,"2,637,391.00"
Home Office,Home Office,22/07/2011,GRANTS,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001137331,"32,207.00"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,CHESHIRE POLICE AUTHORITY 2 (G),1001129186,"5,792,834.00"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,CLEVELAND POLICE AUTHORITY 1 (G),1001129187,"4,279,609.00"
Home Office,Home Office,22/07/2011,GRANTS,CPG - Crime & Policing Group,CLEVELAND POLICE AUTHORITY 1 (G),1001137332,"119,915.00"
Home Office,Home Office,15/07/2011,"Messenger, Portering and Reception Services",CPG - Crime & Policing Group,COI COMMUNICATIONS,3000043105,"26,275.84"
Home Office,Home Office,15/07/2011,"Messenger, Portering and Reception Services",CPG - Crime & Policing Group,COI COMMUNICATIONS,3000043105,"26,275.84"
Home Office,Home Office,05/07/2011,GRANTS,CPG - Crime & Policing Group,COMMUNITIES & LOCAL GOVERNMENT (G),3000043051,"4,735,973.00"
Home Office,Home Office,04/07/2011,"Science, Technical & Research.Testing",CPG - Crime & Policing Group,CONCATENO UK LIMITED,1001130058,"49,127.76"
Home Office,Home Office,20/07/2011,"Science, Technical & Research.Testing",CPG - Crime & Policing Group,CONCATENO UK LIMITED,1001136190,"36,915.12"
Home Office,Home Office,20/07/2011,"Science, Technical & Research.Testing",CPG - Crime & Policing Group,CONCATENO UK LIMITED,1001136190,"42,807.60"
Home Office,Home Office,08/07/2011,GRANTS,CPG - Crime & Policing Group,CRIMESTOPPERS TRUST (G),1001131940,"225,000.00"
Home Office,Home Office,28/07/2011,GRANTS,CPG - Crime & Policing Group,CROWN PROSECUTION SERVICE (G),3000043181,"170,426.00"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,CUMBRIA POLICE AUTHORITY 1 (G),1001129188,"2,754,604.00"
Home Office,Home Office,22/07/2011,GRANTS,CPG - Crime & Policing Group,CUMBRIA POLICE AUTHORITY 1 (G),1001137333,"37,313.00"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,DERBYSHIRE POLICE AUTHORITY 1 (G),1001129189,"5,846,241.00"
Home Office,Home Office,26/07/2011,GRANTS,CPG - Crime & Policing Group,DERBYSHIRE POLICE AUTHORITY 1 (G),1001138762,"52,384.00"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,DEVON & CORNWALL POLICE AUTHORITY 1 (G),1001129190,"9,911,628.00"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,DORSET POLICE AUTHORITY 1 (G),1001129191,"3,822,155.00"
Home Office,Home Office,22/07/2011,GRANTS,CPG - Crime & Policing Group,DORSET POLICE AUTHORITY 1 (G),1001137336,"39,920.00"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,DURHAM POLICE AUTHORITY 1 (G),1001129192,"3,982,069.00"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,DYFED POWYS POLICE AUTHORITY 1 (G),1001129193,"3,400,650.00"
Home Office,Home Office,22/07/2011,GRANTS,CPG - Crime & Policing Group,DYFED POWYS POLICE AUTHORITY 1 (G),1001137337,"35,609.00"
Home Office,Home Office,07/07/2011,Professional & Admin Services.Consultancy - Advice - ADMN,CPG - Crime & Policing Group,ERNST AND YOUNG LLP,1001131356,"223,584.00"
Home Office,Home Office,04/07/2011,Professional & Admin Services.Consultancy - Advice - ADMN,CPG - Crime & Policing Group,ERNST AND YOUNG LLP,1001130069,"150,000.00"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,ESSEX POLICE AUTHORITY (G),1001129194,"9,800,828.00"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,GLOUCESTERSHIRE POLICE AUTHORITY (G),1001129195,"3,254,375.00"
Home Office,Home Office,04/07/2011,GRANTS,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001129196,"93,977,997.00"
