Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/09/2010,CONTRACT PROGRAMME EXPENDITURE,School Formation and Investment Group,CAMBRIDGE EDUCATION HEAD OFFICE,4000034178,58366.6
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/09/2010,CONTRACT PROGRAMME EXPENDITURE,Workforce Group Young People Workforce,CAPITA BUSINESS SERVICES LTD,4000034180,655961.6
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/09/2010,CURRENT GRANTS,School Formation and Investment Group,CHURCH ACADEMY SERVICES LTD,4000034182,83408.94
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/09/2010,CURRENT GRANTS,School Formation and Investment Group,EDUTRUST ACADEMIES CHARITABLE TRUST,4000034187,64485.59
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/09/2010,CAPITAL GRANTS,School Formation and Investment Group,HARRIS BOYS ACADEMY EAST DULWICH,4000034190,2229104.43
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/09/2010,CURRENT GRANTS,14 - 19 Reform Participation and Attainment,LANCASHIRE COUNTY COUNCIL,4000034195,189773.1
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/09/2010,CURRENT GRANTS,Workforce Group Children and Families Workforce,LIVERPOOL CITY COUNCIL,4000034198,41009.06
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/09/2010,CAPITAL GRANTS,Supporting Children and Young People Group Activities and Engagement,LONDON BOROUGH OF BROMLEY COUNCIL,4000034199,36025
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/09/2010,CAPITAL GRANTS,Supporting Children and Young People Group Activities and Engagement,LONDON BOROUGH OF NEWHAM,4000034200,43425
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/09/2010,MANAGEMENT CONSULTANCY,Children and Families Improving Information Sharing and Management Group,METHODS CONSULTING LTD,4000034202,77012.8
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/09/2010,CURRENT GRANTS,School Formation and Investment Group,NEWCASTLE CITY COUNCIL,4000034209,50000
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/09/2010,CURRENT GRANTS,School Formation and Investment Group,NORTH SHORE HEALTH ACADEMY,4000034210,47618.45
