Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,PO Line Discription,Contract Number,Project code
,,01/03/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00309782RI, -   ,"DH London Estate (SKH, RH, WEL) - FM Variable Operational Works FY2013 - 2014 (Sept13-Mar14) Ref.PO:506197.",,
,,01/03/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00309782RI," 136,573.76 ","Increased DH London Estate (SKH, RH, WEL) - FM Variable Operational Works FY2013 - 2014 (Dec13-Mar14) Ref.PO:509405",,
,,01/03/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,SME,TS17 6YG,4167001-06-MAR-14," 35,653.81 ",,,
,,01/03/2014,Storage costs,DG: SFNHS,KENT PHARMACEUTICALS LTD,LARGE,,9000017309," 127,142.17 ",,,
,,03/03/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,CARE QUALITY COMMISSION (CQC) CQC033,PUBLIC,,HAFS-16531," 16,325,000.00 ",,,
,,03/03/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,HAFS-16532," 20,000,000.00 ",,,
,,03/03/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH EDUCATION ENGLAND T1510,PUBLIC,LS1 4PL,HAFS-16533," 350,000,000.00 ",,,
,,03/03/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH RESEARCH AUTHORITY,PUBLIC,SE1 6LH,HAFS-16534," 3,190,000.00 ",,,
,,03/03/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,PUBLIC,,HAFS-16535," 2,500,000.00 ",,,
,,03/03/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),PUBLIC,SE1 7NT,HAFS-16536," 13,500,000.00 ",,,
,,03/03/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-16537," 26,592,000.00 ",,,
,,03/03/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND CBA033,PUBLIC,LS2 7UE,HAFS-16538," 747,749,000.00 ",,,
