Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,,
DEFRA,DEFRA,02/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,A B P Marine Environmental Res Ltd,INV0001573,"29,847.20",Provision of research validating an Activity-Pressure Matrix to model the effects of marine pressure on biodiversity - March 2015,SO14 2AQ,,ME 5218,00000000,Expense,,,,,
DEFRA,DEFRA,16/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP083123,"46,566.87",Environmental and Nutritional Benefits of Bioethanol Co-Products project (replacement of imported feedstuffs with products from bioethanol production) - 2014-15 Quarter 3 ,WV9 5AP,,exempt,SFFS0006,Expense,,,,,
DEFRA,DEFRA,14/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP083070,"31,941.25",Developing a field tool kit for ecological targeting of agricultural diffuse pollution mitigation measures - 2014-15,WV9 5AP,,Exempt,SFFS0004,Expense,,,,,
DEFRA,DEFRA,28/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP080556,"44,170.00",Scoping the strengths and weaknesses of different auction and Public Expenditure Survey mechanisms for the next round of agri-environment schemes - 2014-15,WV9 5AP,,LM0105,00000000,Expense,,,,,
DEFRA,DEFRA,30/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP083482,"122,348.00",Pollutant Losses from Solid Manure Applications and From Solid Manures Stored in Temporary Field Heaps - 2014-15,WV9 5AP,,ECM 18150,00000000,Expense,,,,,
DEFRA,DEFRA,24/04/2015,Evidence Non R&D,Policy Delivery DG,A H D B,180021730,"44,880.00",Potato Statistical Data - November 2014-October 2015,CV8 2TL,,RMP6213/15713,FCAG0003,Expense,,,,,
DEFRA,DEFRA,14/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,A H D B,180022029,"181,549.00",Improving the sustainability and competitive position of the UK beef industry - establishing the consortium and scoping phase - 2014-15,CV8 2TL,,,00000000,Expense,,,,,
DEFRA,DEFRA,10/04/2015,Other Current Payments E,Policy Delivery DG,Acre.,6279,"578,000.00",Funding in support of the Rural Community Action Network - 2015-16 Quarter 1,GL7 2QY,,GIA,00000000,Expense,,,,,
DEFRA,DEFRA,10/04/2015,International Subscriptions (Foreign Payments),"Strategy, International and Biosecurity DG",ActiveIS Ltd,5562,"48,000.00","Development of an IT system for administering the Forest Law Enforcement, Governance and Trade (FLEGT) licensing system - specification, development and delivery - 2015",TW11 8DH,SME,,00000000,Expense,,,,,
DEFRA,DEFRA,08/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Amec Foster Wheeler Envir & Infrastructure UK Ltd,50015555,"27,442.10",Support for National Air Pollution Control Strategies Support Framework - 2014-15,EC1V 2SH,,,00000000,Expense,,,,,
DEFRA,DEFRA,08/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Amec Foster Wheeler Envir & Infrastructure UK Ltd,50015452,"27,970.00",Support for National Air Pollution Control Strategies Impact Assessment - 2014-15,EC1V 2SH,,,00000000,Expense,,,,,
DEFRA,DEFRA,14/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Amec Foster Wheeler Envir & Infrastructure UK Ltd,50015012,"69,012.50",Support for National Air Pollution Control Strategies Support Framework - 2014-15,EC1V 2SH,,,00000000,Expense,,,,,
DEFRA,DEFRA,24/04/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-556195-52001,"30,000.00",Development of enhanced methods for outbreak investigation and source attribution of Salmonella - 2014-15,KT15 3NB,SME,,00000000,Expense,,,,,
