Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£) ,VAT Registration Number
FCO,FCO,17-Nov-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ECOFYS/AZURE INTERNATIONAL TECHNOLOGY AND DEVELOPMENT BEIJING LIMITED,1243557,"42,852.68",
FCO,FCO,19-Nov-10,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1003504,"26,572.00",
FCO,FCO,19-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1003504,"4,650.10",
FCO,FCO,17-Nov-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,SYNTAO CO LTD,1243566,"58,772.03",
FCO,FCO,10-Nov-10,Project Works>10K,DG CHANGE & DELIVERY,"EDWARDS, HUGHES & SONS LTD",1002846,"40,250.00",
FCO,FCO,24-Nov-10,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1003817,"29,419.00",
FCO,FCO,24-Nov-10,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1003817,"1,470.95",
FCO,FCO,24-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,1003817,257.42,
FCO,FCO,16-Nov-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,MANTAPLAN LTD,1003256,"244,408.00",
FCO,FCO,16-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,MANTAPLAN LTD,1003256,"42,771.40",
FCO,FCO,23-Nov-10,Property and Construction Consultancy,DG CHANGE & DELIVERY,MARSH BROKERS LTD,1003735,"77,143.00",
FCO,FCO,19-Nov-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,REVENUE WATCH INSTITUTE,1003560,"50,950.00",
FCO,FCO,03-Nov-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,PATRIOT AVIATION,1002386,"4,210.00",
FCO,FCO,03-Nov-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,PATRIOT AVIATION,1002386,"24,502.50",
FCO,FCO,03-Nov-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,PATRIOT AVIATION,1002386,900,
FCO,FCO,03-Nov-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,PATRIOT AVIATION,1002386,"2,000.00",
FCO,FCO,03-Nov-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,PATRIOT AVIATION,1002386,"1,000.00",
FCO,FCO,03-Nov-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,PATRIOT AVIATION,1002386,"1,500.00",
FCO,FCO,03-Nov-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,PATRIOT AVIATION,1002386,"2,400.00",
FCO,FCO,03-Nov-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,PATRIOT AVIATION,1002386,"2,400.00",
FCO,FCO,03-Nov-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,PATRIOT AVIATION,1002386,"1,000.00",
FCO,FCO,03-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,PATRIOT AVIATION,1002386,"1,960.00",
FCO,FCO,12-Nov-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1003028,825,
FCO,FCO,12-Nov-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1003028,"12,000.00",
FCO,FCO,12-Nov-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1003028,"1,466.00",
FCO,FCO,12-Nov-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1003028,210,
FCO,FCO,12-Nov-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1003028,"8,000.00",
FCO,FCO,12-Nov-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1003028,105.79,
FCO,FCO,12-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1003028,"3,956.19",
FCO,FCO,12-Nov-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1003028,105.79,
FCO,FCO,12-Nov-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1003028,-105.79,
FCO,FCO,05-Nov-10,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,BRIGHT HORIZONS FAMILY SOLUTION LTD,1002566,"41,246.00",
FCO,FCO,19-Nov-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,LIBRA LLC,1002877,"67,477.64",
FCO,FCO,04-Nov-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,BRITISH COUNCIL,1002451,"52,227.00",
FCO,FCO,04-Nov-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,BRITISH COUNCIL,1002451,"-52,227.00",
FCO,FCO,04-Nov-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,BRITISH COUNCIL,1002451,"52,098.00",
FCO,FCO,04-Nov-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,BRITISH COUNCIL,1002451,129,
FCO,FCO,25-Nov-10,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,BRITISH COUNCIL,1003874,"1,000,366.56",
FCO,FCO,25-Nov-10,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,BRITISH COUNCIL,1003874,791.39,
FCO,FCO,25-Nov-10,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,BRITISH COUNCIL,1003874,200,
FCO,FCO,25-Nov-10,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,BRITISH COUNCIL,1003874,"26,951.70",
FCO,FCO,10-Nov-10,Aslc Contribution,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,3000383,"3,446,749.47",
FCO,FCO,10-Nov-10,Added Years and Wwpsc,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,3000383,"402,012.90",
FCO,FCO,10-Nov-10,Added Years and Wwpsc,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,3000383,"64,991.73",
FCO,FCO,15-Nov-10,FTN Unitary Payment,DG CENTRAL GROUP,CABLE AND WIRELESS WORLDWIDE,1003112,"62,580.00",
FCO,FCO,15-Nov-10,FTN Unitary Payment,DG CENTRAL GROUP,CABLE AND WIRELESS WORLDWIDE,1003112,"10,951.50",
FCO,FCO,02-Nov-10,Customer Refund Account,NON CASH & UNALLOCATED COSTS,DGFM-FMSSC,1002201,"195,896.76",
FCO,FCO,03-Nov-10,Customer Refund Account,NON CASH & UNALLOCATED COSTS,DGFM-FMSSC,3000357,"44,597.58",
FCO,FCO,04-Nov-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,FAUNA & FLORA INTERNATIONAL,9957,"30,992.84",
