Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
DEFRA,Animal Health and Veterinary Laboratories Agency,26/03/2012,LVI Claims,Food and Farming Group,CASTLE VETERINARY GROUP LTD~807674214,LVI149387," £27,904.89 ",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,PL15 7ED,SME,,0,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,01/03/2012,Hard charges,Food and Farming Group,D T Z,29454," £27,572.60 ","Service Charge for the Reading site. (Services covered - Insurance Premiums, Ground rent,Service Charge, Electricity, Gas, Rates/Community Charge and Water Charges)",B4 6HT,,,HARDESTA,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,21/03/2012,Fuel & Utilities Recharge,Food and Farming Group,Mouchel Ltd,90098200," £62,835.11 ",Water Quality Monitoring - Foot and Mouth Reinstatement,OL1 9LH,SME,,0,Asset
DEFRA,Animal Health and Veterinary Laboratories Agency,05/03/2012,Hard charges,Food and Farming Group,D T Z,30537," £76,355.34 ","Service Charge for the Leeds site. (Services covered - Insurance Premiums, Ground rent,Service Charge, Electricity, Gas, Rates/Community Charge and Water Charges)",B4 6HT,,,HARDESTA,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,01/03/2012,Hard charges,Food and Farming Group,D T Z,32580," £35,334.85 ","Service Charge for the Worcester site. (Services covered - Insurance Premiums, Ground rent,Service Charge, Electricity, Gas, Rates/Community Charge and Water Charges)",B4 6HT,,,HARDESTA,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,05/03/2012,Hard charges,Food and Farming Group,D T Z,32682," £83,807.67 ","Service Charge for the Reigate site. (Services covered - Insurance Premiums, Ground rent,Service Charge, Electricity, Gas, Rates/Community Charge and Water Charges)",B4 6HT,,,HARDESTA,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,01/03/2012,Hard charges,Food and Farming Group,D T Z,30358," £53,641.68 ","Service Charge for the Reading site. (Services covered - Insurance Premiums, Ground rent,Service Charge, Electricity, Gas, Rates/Community Charge and Water Charges)",B4 6HT,,,HARDESTA,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,01/03/2012,Hard charges,Food and Farming Group,D T Z,32613," £40,815.33 ","Service Charge for the Chelmsford site. (Services covered - Insurance Premiums, Ground rent,Service Charge, Electricity, Gas, Rates/Community Charge and Water Charges)",B4 6HT,,,HARDESTA,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,27/03/2012,Hard charges,Food and Farming Group,DEFRA,1000013230," £577,400.00 ",Recharge for the services of Shared Services Division,YO1 7PX,,,HARDSSDC,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,05/03/2012,Hard charges,Food and Farming Group,D T Z,32679," £40,427.24 ","Service Charge for the Carlisle site. (Services covered - Insurance Premiums, Ground rent,Service Charge, Electricity, Gas, Rates/Community Charge and Water Charges)",B4 6HT,,,HARDESTA,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,05/03/2012,Hard charges,Food and Farming Group,D T Z,32710," £39,460.62 ","Service Charge for the Newcastle site. (Services covered - Insurance Premiums, Ground rent,Service Charge, Electricity, Gas, Rates/Community Charge and Water Charges)",B4 6HT,,,HARDESTA,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,01/03/2012,Hard charges,Food and Farming Group,D T Z,30400," £33,214.06 ","Service Charge for the York site. (Services covered - Insurance Premiums, Ground rent,Service Charge, Electricity, Gas, Rates/Community Charge and Water Charges)",B4 6HT,,,HARDESTA,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,01/03/2012,Hard charges,Food and Farming Group,D T Z,29509," £37,497.52 ","Service Charge for the Nobel House site. (Services covered - Insurance Premiums, Ground rent,Service Charge, Electricity, Gas, Rates/Community Charge and Water Charges)",B4 6HT,,,HARDESTA,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,27/03/2012,Prog - Admin Costs - FLS Office Services Consultancy,Food and Farming Group,DEFRA,1000012945," £64,166.67 ",Recharge for the services of Defra Legal,YO1 7PX,,,HARDLEGA,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,05/03/2012,Hard charges,Food and Farming Group,D T Z,32683," £27,869.95 ","Service Charge for the Cardiff site. (Services covered - Insurance Premiums, Ground rent,Service Charge, Electricity, Gas, Rates/Community Charge and Water Charges)",B4 6HT,,,HARDESTA,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,23/03/2012,Work package/WPO Implementation,Food and Farming Group,IBM United Kingdom Ltd,5802120355," £27,511.29 ",Work Package order for Release 6 on SAM,GU1 2LD,,,TAC00252,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,09/03/2012,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.71532E+21," £64,180.96 ",Payment of the monthly AHVLA Barclaycard invoice,TS17 6YG,,,0,Asset
DEFRA,Animal Health and Veterinary Laboratories Agency,23/03/2012,Protective clothing,Food and Farming Group,Genus Breeding Ltd.,21092166," £44,123.40 ",Contingency contract for livestock vaccinations in the event of an outbreak,CW6 9HY,SME,,EMERVACC,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,26/03/2012,LVI Claims,Food and Farming Group,DERBYSHIRE VETERINARY SERVICES LTD~928648871,LVI149432," £26,682.85 ",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,DE6 1ES,SME,,0,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,26/03/2012,LVI Claims,Food and Farming Group,TORBRIDGE VETERINARY HOSPITAL/TORB~143028794,LVI149041," £26,812.20 ",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX39 3DX,SME,,0,Expense
DEFRA,Animal Health and Veterinary Laboratories Agency,26/03/2012,LVI Claims,Food and Farming Group,SOUTH MOOR LTD T/A SOUTHMOOR VETS~141491191,LVI149035," £25,980.56 ",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,TQ7 1JL,SME,,0,Expense
