Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description
Cabinet Office,Cabinet Office,02/08/2010,Land and Buildings,ESTATE MANAGEMENT,LIBERATA UK LTD,103008,"74,223.00",Cabinet Office Estates operating leases rent
Cabinet Office,Cabinet Office,02/08/2010,Freehold Non Residential Buildings,FINANCIAL MANAGEMENT,ECOVERT FM LTD,3000011510,"37,632.71",Ecovert Facilities management 
Cabinet Office,Buying Solutions,02/08/2010,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 18063,"4,144,190.50",Government Managed Telecoms Contract
Cabinet Office,Cabinet Office,03/08/2010,Consultants-Management-Staff Substitution,ERG -  OGC,COI COMMUNICATIONS,86342,"41,642.81",Communications planning and implementation for the Government Estates Transformation programme
Cabinet Office,Cabinet Office,03/08/2010,Property and Estates Benchmarking,ERG -  OGC,INVESTMENT PROPERTY DATABANK,86349,"53,250.00","Monthly payment for contract for analysis, benchmarking and reporting the performance of central government offices "
Cabinet Office,Cabinet Office,03/08/2010,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000011528,"81,434.79",Ecovert Facilities Management KPI Performance Mechanism Charge (Contract Utilities)
Cabinet Office,Cabinet Office,03/08/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000011528,"235,204.45",Facilities Management : 70 Whitehall Refurbishment Project Phrase 2
Cabinet Office,Buying Solutions,03/08/2010,MOTO Charges RC,Estates Management,HM TREASURY,PINDOH 30460,"30,375.00",Rent
Cabinet Office,Buying Solutions,03/08/2010,Payroll Solutions CO,Payroll Solutions,HM TREASURY,PINDOH 28928,"35,000.00",Payroll managed service
Cabinet Office,Cabinet Office,06/08/2010,Agency and Temporary Staff,COMMUNICATION GROUP,COI CENTRAL OFFICE OF INFORMATION,3000011597,"36,561.55",Contract for Web editor
Cabinet Office,Cabinet Office,06/08/2010,Agency and Temporary Staff,COMMUNICATION GROUP,COI CENTRAL OFFICE OF INFORMATION,3000011597,"37,290.98",Secondments to GCN Strategic communications from COI
Cabinet Office,Cabinet Office,06/08/2010,Other Staff Related Costs,ERG - CIVIL SERVICE CAPABILITY GROUP,PARITY SOLUTIONS LTD,3000011608,"76,356.23",Fast Stream recruitment
Cabinet Office,Cabinet Office,06/08/2010,Capital grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,1000277,"2,500,000.00",Grant payment for the Community Assets Fund
Cabinet Office,Cabinet Office,06/08/2010,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000011598,"120,661.96",Ecovert Facilities Management KPI Performance Mechanism Charge (Contract Utilities)
Cabinet Office,Cabinet Office,06/08/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000011598,"74,184.70",Facilities Management : 70 Whitehall Refurbishment Project Phrase 2
Cabinet Office,Cabinet Office,09/08/2010,Supplies and Services,ESTATE MANAGEMENT,BARCLAYCARD BANK PLC,3000011622,"50,495.08",Barclaycard lodge Card 
Cabinet Office,Cabinet Office,09/08/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000011625,"229,046.72",Facilities Management : 70 Whitehall Refurbishment Project Phrase 2
Cabinet Office,Capacity Builders,11/08/2010,Overheads,Finance & Corporate Services,National Audit Office,3222,"29,000.00",Audit of Capacity Builders (UK) Ltd 2009-10
Cabinet Office,Buying Solutions,11/08/2010,Statutory Audit,Planning & Finance,NATIONAL AUDIT OFFIC,PINDOH 30617,"68,536.00",External audit fees
Cabinet Office,Cabinet Office,12/08/2010,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000011687,"36,708.50",Ecovert Facilities Management KPI Performance Mechanism Charge (Contract Utilities)
Cabinet Office,Cabinet Office,12/08/2010,Accomodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000011687,"37,808.14",Facilities management 
Cabinet Office,Cabinet Office,13/08/2010,Grants-in-Aid to NDPB's,ERG - OFFICE FOR CIVIL SOCIETY,CAPACITY BUILDERS UK LTD,1000282,"600,000.00",Grant-in-aid payment to Capacitybuilders
Cabinet Office,Cabinet Office,13/08/2010,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000011715,"919,929.97",Ecovert Facilities Management KPI Performance Mechanism Charge (Contract Fixed core Service)
Cabinet Office,Cabinet Office,13/08/2010,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000011715,"38,361.08",Ecovert Facilities Management KPI Performance Mechanism Charge (Contract Profits)
Cabinet Office,Cabinet Office,13/08/2010,Resource Grants to NDPB's,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN ,1000284,"161,244.00",Central Chancery charges for administration of Honours
Cabinet Office,Cabinet Office,13/08/2010,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000011713,"3,866,666.66",Monitoring Subscription July August 2010
Cabinet Office,Buying Solutions,13/08/2010,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 18101,"79,939.21",Government Managed Telecoms Contract
Cabinet Office,Cabinet Office,16/08/2010,Consultants - Mgt - Non Advisory,ERG -  OGC,ADVALUS LIMITED,86735,"52,801.56",Specialists working on strategic supplier engagement activity supporting Government's key telecommunications reform & efficiency programmes
Cabinet Office,Cabinet Office,16/08/2010,GRANT FUND MANAGEMENT SERVICES,ERG - OFFICE FOR CIVIL SOCIETY,DIGITAL PUBLIC,3000011738,"32,057.64",Access to Volunteering - management fee
Cabinet Office,Cabinet Office,16/08/2010,IT Costs,ERG - OFFICE FOR CIVIL SOCIETY,NCVO,3000011747,"94,876.75",Payment for the running of Funding Central
