Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/01/2014,ICT Maintenance & Upkeep,Finance & Commercial Group - F&C - Information and Technology Directorate,FUJITSU SERVICES LTD,1682,18136.78,E&M Devolved Admin-ICT Maintenance & Upkeep,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/01/2014,Advertising,Shareholder Executive - Shareholder Executive,M4C (A DIVISION OF GROUPM UK LTD),1890,8.47,ShEx Devolved Admin-Advertising,WC1X 8RX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/01/2014,PR & Marketing Advice & Services,Shareholder Executive - Shareholder Executive,M4C (A DIVISION OF GROUPM UK LTD),1890,8466.96,Start Up Loans-PR & Marketing Advice & Services,WC1X 8RX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/01/2014,ICT Maintenance & Upkeep,Finance & Commercial Group - F&C - Information and Technology Directorate,FUJITSU SERVICES LTD,3664,1984.63,E&M Devolved Admin-ICT Maintenance & Upkeep,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/01/2014,ICT Infrastructure Specific Service,Finance & Commercial Group - F&C - Information and Technology Directorate,IBM UNITED KINGDOM LTD,4546,10771.04,E&M Devolved Admin-ICT Infrastructure Specific Service,SO21 2JN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/01/2014,ICT Infrastructure Specific Service,Finance & Commercial Group - F&C - Information and Technology Directorate,IBM UNITED KINGDOM LTD,4547,4600.00,E&M Devolved Admin-ICT Infrastructure Specific Service,SO21 2JN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/01/2014,Capital Grants (Companies) - Recovery of Loan Guarantees,Shareholder Executive - Shareholder Executive,BERR SFLG PAYMENT TO LENDERS,6904,-1356.63,Small Firms Loan Guarantees: Old-Capital Grants (Companies) - Recovery of Loan Guarantees,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2014,Standard Desktop Plus Services,Finance & Commercial Group - F&C - Information and Technology Directorate,FUJITSU SERVICES LTD,7796,6103.47,E&M Devolved Admin-Standard Desktop Plus Services,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2014,Standard Desktop Plus Services,Finance & Commercial Group - F&C - Information and Technology Directorate,FUJITSU SERVICES LTD,7796,80606.36,E&M Devolved Admin-Standard Desktop Plus Services,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/01/2014,Capital Grants to Private Sector - Companies,Shareholder Executive - Shareholder Executive,BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),8224,1500000.00,Regional Venture Capital Fund-Capital Grants to Private Sector - Companies,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/01/2014,Capital Grants to Private Sector - Companies,Shareholder Executive - Shareholder Executive,BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),8224,2380000.00,EI: North East Finance Ltd (Ex RDA VCLF)-Capital Grants to Private Sector - Companies,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/01/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),8885,-2000.00,IGPF: UK-India Partnership in Regenerative Medicine-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/01/2014,Learning and Dev - CS Skills,Knowledge & Innovation Group - KIG - Research Base,CAPITA BUSINESS SERVICES LTD,10825,228.00,E&M Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
