Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number
Defra,AHDB,17/12/2012,Invoice,,SAC Commercial Limited,20455393,"30,059.00","Research Proposal - Grasslands, Forage and Soil - October Payment",EH9 3JG,SAC Commercial Limited,,,,GB435882817
Defra,AHDB,21/12/2012,Invoice,,Vetscore Limited,185,"27,673.00",Lesion scoring in Abbattoir for British Pig Health Scheme,HG4 1XW,Vetscore Limited,,,,859968731
Defra,AHDB,17/12/2012,Invoice,,Omnicom Media Group UK Ltd,278526,"29,481.95",Daily Mail press space,WC1E 7EY,Omnicom Media Group UK Ltd,,,,GB918213926
Defra,CCW,06/12/2012,Rentals - Operating Lease - IT,Consumer Relations,NORTHGATE MANAGED SERVICES LTD,91238688,"14,875.43",IT managed services over several business areas,HP2 4NW,Large ,N/A,N/A,Programme,
Defra,CCW,06/12/2012,Rentals - Operating Lease - IT,Policy & Research,NORTHGATE MANAGED SERVICES LTD,91238688,"7,000.20",IT managed services over several business areas,HP2 4NW,Large ,N/A,N/A,Programme,
Defra,CCW,06/12/2012,Rentals - Operating Lease - IT,Board (Excluding Wales Chair),NORTHGATE MANAGED SERVICES LTD,91238688,"1,166.70",IT managed services over several business areas,HP2 4NW,Large ,N/A,N/A,Programme,
Defra,CCW,06/12/2012,Rentals - Operating Lease - IT,Communications,NORTHGATE MANAGED SERVICES LTD,91238688,"1,166.70",IT managed services over several business areas,HP2 4NW,Large ,N/A,N/A,Programme,
Defra,CCW,06/12/2012,Rentals - Operating Lease - IT,ICT Services,NORTHGATE MANAGED SERVICES LTD,91238688,"4,958.47",IT managed services over several business areas,HP2 4NW,Large ,N/A,N/A,Programme,
Defra,Seafish,03/12/2012,Contract,Overhead,The IT Group,102865,"34,560.00",45 Dell OptiPlex Desktop computers,B33 9TX,,,,,824 158239
Defra,Seafish,18/12/2012,Contract,Project,Seafood Scotland,ED000626,"60,000.00",Contribution to Projects,EH7 4HS,,,,,806 2198 37
Defra,Seafish,03/12/2012,Contract,Project,Chamberlink Ltd T/A Business Support Solutions,229403,"37,440.00",Pre-payment for UK Trade & Investment,MS 5JW,,,,,727102071
Defra,GLA,03/12/2012,Legal Fees,,Freeth Cartwright,,"27,000.00",Appeal Costs - Legal Fees,LE1 1QH,Legal,,,,
Defra,Cefas,07/12/2012,Facilities Management,Corporate,DTZ DTL Clients A/C Re Defra,20039883,"48,998.47",Facilities Management Charges 1-30/11/12 Weymouth,LS1 2ND,Large,,50100,Admin,
Defra,Cefas,07/12/2012,Facilities Management,Corporate,DTZ DTL Clients A/C Re Defra,20039884,"93,208.76",Facilities Management Charges 1-30/11/12 Pakefield Rd,LS1 2ND,Large,,50100,Admin,
Defra,Cefas,07/12/2012,Facilities Management,Corporate,DTZ DTL Clients A/C Re Defra,20039875,"48,998.47",Facilities Management Charges 1-31/12/12 Weymouth,LS1 2ND,Large,,50100,Admin,
Defra,Cefas,07/12/2012,Facilities Management,Corporate,DTZ DTL Clients A/C Re Defra,20039874,"93,208.76",Facilities Management Charges 1-31/12/12 Pakefield Rd,LS1 2ND,Large,,50100,Admin,
Defra,VMD,10/12/2012,STATUTORY RESIDUES SURVEILLANCE - LABORATORY TESTING,RESIDUES SURVEILLANCE UNIT,FOOD & ENV. RESEARCH AGENCY,61985,"195,479.59",Laboratory testing of food animal products under the Statutory Residues Surveillance Programme,YO4 1LZ,GOVN,,,ADMINISTRATION,
Defra,VMD,11/12/2012,STATUTORY RESIDUES SURVEILLANCE - SAMPLE COLLECTION,RESIDUES SURVEILLANCE UNIT,FOOD STANDARDS AGENCY,61993,"38,314.46",Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme,YO1 7PX,GOVN,,,ADMINISTRATION,
Defra,EA,06/12/2012,Advertising and Media,HO Corp Comms and Media,Be The Brand Experience Ltd,1114417,"38,700.00",Brand Asset Management System Testing and migration ,E1 6JJ,,30138973,HOCED00008,Project,
Defra,EA,20/12/2012,Advertising and Media,Strategy and Engagement Manager,M4C,1137345,"47,967.65",November Flood Advertising requirements,WC1X 8RX,,,FCPSE00081B01,Project,
Defra,EA,20/12/2012,Advertising and Media,HO Flood Warning Systems,Prolog Promotional Logistics,1136950,"36,857.45",The provision of Mailing & Fulfilment Services,CO10 2XG,,30357379,,Administration,
Defra,EA,04/12/2012,Advertising and Media,WA Wildlife and Environment,S8080 Digital Media,1131972,"30,271.36",Development and delivery of Wild Fishing Wales electronic magazine years 2 and 3,SA1 8PJ,,,REWA000277,Administration,
Defra,EA,04/12/2012,Clinical and Medical,NLS Capital WiP,Agilent Technologies UK Ltd,1130508,"179,210.64",Mass spectrometer detector interface,E14 1HH,,30267647,NL00000063,Administration,
Defra,EA,13/12/2012,Clinical and Medical,NLS Operations Nottingham,Metlab Supplies Ltd,1134821,"28,409.80",Supply of Laboratory Chemicals and Consumables ,CH5 2QP,,30198780,,Administration,
Defra,EA,24/12/2012,Construction,SE WT - FCRM Ops (North West),Amco Engineering,1138658,"94,066.26",South East watercourse maintenance,S75 1HT,,30343157,,Project,
Defra,EA,20/12/2012,Construction,E and B Programme Director,Arcadis AYH,1137801,"38,354.75",Consultancy work for Asset Management project phase 2. ,LS1 4BN,,30314198,EBPPD12706,Project,
Defra,EA,18/12/2012,Construction,NW North-FCRM Ops,Askam Construction Ltd,1132668,"49,095.59",St Michaels Embankment Works project,LA2 0HY,,30238842,RENW002047,Project,
Defra,EA,13/12/2012,Construction,SE Capital WiP,Atkins Ltd,1133877,"48,226.15",Thames Weirs High Priority Programme Package 1,KT18 5BW,,30072266,IMTH001685,Project,
Defra,EA,13/12/2012,Construction,SE Capital WiP,Atkins Ltd,1133881,"34,594.18",Thames Barrier Drive Equipment,KT18 5BW,,30072266,IMTH001493,Project,
Defra,EA,13/12/2012,Construction,SE Capital WiP,Atkins Ltd,1133882,"29,828.32",Thames Weirs High Priority Programme Package 2,KT18 5BW,,30072266,IMTH001653,Project,
Defra,EA,13/12/2012,Construction,HO NCPMS Manager,Atkins Ltd,1133872,"26,085.72","Construction, design and management consultancy, Thames Region",KT18 5BW,,30072266,NCPMSCDM,Project,
Defra,EA,24/12/2012,Construction,MI Capital WiP,Birch Brothers Kidderminster Ltd,1135001,"30,512.40",Works at Arrow Mill Weir,DY13 9QB,,30224314,IMMI001227,Project,
Defra,EA,13/12/2012,Construction,AN Capital WiP,Birse Civils Ltd,1133807,"1,166,040.91",Programme of repairs and maintenance works to various fish passes and flood defence assets across the region,DN18 5BW,,30142670,IMAN002370,Project,
Defra,EA,24/12/2012,Construction,MI Capital WiP,Birse Civils Ltd,1137663,"814,833.59",Lower Dove flood risk works,DN18 5BW,,30142670,IMMI001015,Project,
Defra,EA,18/12/2012,Construction,AN Capital WiP,Birse Civils Ltd,1135390,"316,939.40",Engineering works - Tetney to Saltfleet,DN18 5BW,,30142670,IMAN002115,Project,
Defra,EA,04/12/2012,Construction,NW Capital WiP,Birse Civils Ltd,1124226,"282,816.30",Warrington Flood risk scheme,DN18 5BW,,30142670,IMNW000699,Project,
Defra,EA,04/12/2012,Construction,NW Capital WiP,Birse Civils Ltd,1131552,"233,179.48",Warrington Flood risk scheme,DN18 5BW,,30142670,IMNW000699,Project,
Defra,EA,18/12/2012,Construction,NE Capital WiP,Birse Civils Ltd,1135392,"216,322.66",Donna Nook Managed Realignment works,DN18 5BW,,30142670,IMNE000738,Project,
Defra,EA,04/12/2012,Construction,SW Capital WiP,Birse Civils Ltd,1129807,"206,029.30",Stoke Cannon Flood alleviation Scheme,DN18 5BW,,30142670,IMSW001685,Project,
Defra,EA,24/12/2012,Construction,SW Capital WiP,Birse Civils Ltd,1137710,"195,762.46",Stoke Cannon Flood alleviation Scheme,DN18 5BW,,30142670,IMSW001685,Project,
Defra,EA,18/12/2012,Construction,NE Capital WiP,Birse Civils Ltd,1132749,"184,183.52",Greatham North Flood alleviation scheme,DN18 5BW,,30142670,IMNE000823,Project,
Defra,EA,20/12/2012,Construction,WA Capital WiP,Birse Civils Ltd,1136783,"172,560.19",Ystradgynlais Flood risk scheme,LS24 9BX,,40015267,IMWA000851,Project,
Defra,EA,04/12/2012,Construction,NE Capital WiP,Birse Civils Ltd,1132650,"138,389.04",Greatham North Flood alleviation scheme,DN18 5BW,,30142670,IMNE000823,Project,
Defra,EA,04/12/2012,Construction,AN Capital WiP,Birse Civils Ltd,1130315,"124,011.47",Swavesey Drain Improvement works,DN18 5BW,,30142670,IMAN002491,Project,
Defra,EA,20/12/2012,Construction,SE Capital WiP,Birse Civils Ltd,1129011,"92,152.39",Stone Wharf site investigation works,DN18 5BW,,30142670,IMSE100049,Project,
Defra,EA,04/12/2012,Construction,SE Capital WiP,Birse Civils Ltd,1129025,"26,451.79",Dartford Creek Barrier 2030 Extension of civil works ,DN18 5BW,,30142670,IMSO000727,Project,
