Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/07/2012,Outsourcing Contract,External Relations Directorate,MOUCHEL MANAGEMENT CONSULTING LTD,LARGE,SW1H 9NP,90106078,29287.2,,OC/2011/02 - Professional Advisors - Sessional,Programme,
Department of Health,Department of Health,01/07/2012,Outsourcing Contract,External Relations Directorate,MOUCHEL MANAGEMENT CONSULTING LTD,LARGE,SW1H 9NP,90103533,90513.6,,CS/2011/01 Horizon Scanning,Programme,
Department of Health,Department of Health,02/07/2012,Outsourcing Contract,External Relations Directorate,FREUD COMMUNICATIONS LTD,SME,W1T 3EB,SI11061,10583.4,,PR retainer fees for DH Q1 2012/13 ,Programme,
Department of Health,Department of Health,02/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,806751,31620.92,,Lung cancer campaign - press advertising,Programme,
Department of Health,Department of Health,02/07/2012,Outsourcing Contract,External Relations Directorate,FREUD COMMUNICATIONS LTD,SME,W1T 3EB,SI11061,31750.19,,PR retainer fees for DH Q1 2012/13 ,Programme,
Department of Health,Department of Health,02/07/2012,Outsourcing Contract,External Relations Directorate,FREUD COMMUNICATIONS LTD,SME,W1T 3EB,SI11061,31750.2,,PR retainer fees for DH Q1 2012/13,Programme,
Department of Health,Department of Health,02/07/2012,Outsourcing Contract,External Relations Directorate,FREUD COMMUNICATIONS LTD,SME,W1T 3EB,SI11061,31750.2,,Consumer engagement - cancer and dementia campaigns,Programme,
Department of Health,Department of Health,02/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,806755,43783.59,,S4L -  press advertising,Programme,
Department of Health,Department of Health,02/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,806753,49056.94,,S4L -  press advertising,Programme,
Department of Health,Department of Health,02/07/2012,Outsourcing Contract,External Relations Directorate,FREUD COMMUNICATIONS LTD,SME,W1T 3EB,SI11002,50000,,Skin cancer support materials ,Programme,
Department of Health,Department of Health,02/07/2012,CIP Addition Clearing - IT_IDS,External Relations Directorate,IMC (UK) LEARNING LTD,SME,TN13 1BL,IUK2012-132,116303.76,,Contract for the provision of an lms for E-lfh -Delivery of IMC services,Programme,
Department of Health,Department of Health,02/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,806752,226550.14,,Lung cancer campaign - press advertising,Programme,
Department of Health,Department of Health,02/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,806767,276438.69,,Lung cancer campaign - radio advertising,Programme,
Department of Health,Department of Health,03/07/2012,Outsourcing Contract,External Relations Directorate,FAMILY PLANNING ASSOCIATION,VCS,EC1Y 8QU,582097,30500,,FPA contact centre services - provision of specialist sexual health and family planning advice. ,Programme,
Department of Health,Department of Health,03/07/2012,Outsourcing Contract,External Relations Directorate,THE TERRENCE HIGGINS TRUST,VCS,WC1X 8DP,STAT004125,41666.66,,THT contact centre provision - specialist HIV advice.,Programme,
Department of Health,Department of Health,03/07/2012,CIP Addition Clearing - IT_IDS,External Relations Directorate,IMC (UK) LEARNING LTD,SME,TN13 1BL,IUK2012-133,76738.8,,Contract for the provision of an lms for E-lfh -Delivery of IMC services,Programme
Department of Health,Department of Health,03/07/2012,Outsourcing Contract,External Relations Directorate,CARDIFF UNIVERSITY,PUBLIC,CF24 0DE,1035268,188000,,Provision of services to meet the MoU to deliver Specialty Recruitment activity,Programme
Department of Health,Department of Health,03/07/2012,IT minor costs non capital,External Relations Directorate,CAMBRIDGESHIRE PCT,PUBLIC,PE29 6FH,7700003967,301953.26,,"e-lfh, Req for ECRIC 12-13",Programme
Department of Health,Department of Health,03/07/2012,Outsourcing Contract,External Relations Directorate,NHS EMPLOYERS LTD,SME,SW1E 5DD,9387,351740,,Provision of NHS Jobs and related employment pathways work from 1 April 2012 to 31 March 2013,Programme
Department of Health,Department of Health,04/07/2012,Professional fees,External Relations Directorate,GOVERNMENT ACTUARYS DEPARTMENT (GAD),PUBLIC,EC4A 1AB,SINV/00016877,35205.71,,CPA 472305 Invoice: 16877 Dated:18/05/12 GAD Payments - Actuarial Services for period ending 30th April 2012,Admin
Department of Health,Department of Health,04/07/2012,Publicity & advertising,External Relations Directorate,ROYAL MAIL HOLDINGS PLC,PUBLIC,PE1 2ZW,9039090959,67758.64,,Games4Life Royal Mail Postage costs Summer 2012,Programme
Department of Health,Department of Health,04/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,790215,94138.06,,March - May online media costs for Secondhand smoke campaign,Programme
Department of Health,Department of Health,04/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,790215,126869.79,,"May TV,VOD, Radio, Online and press media for Secondhand smoke campaign",Programme
Department of Health,Department of Health,05/07/2012,Outsourcing Contract,External Relations Directorate,BROADCASTING SUPPORT SERVICES,LARGE,M1 3HU,S13-00133,35120.78,,Carers Direct contact centre provision - specialist advice to support carers in the UK.,Programme
Department of Health,Department of Health,05/07/2012,Professional fees,External Relations Directorate,GOVERNMENT ACTUARYS DEPARTMENT (GAD),PUBLIC,EC4A 1AB,SINV/00017000A,45156.86,,CPA:472305 Invoice: 17000  Dated 130612 GAD Payments - Actuarial Services for Period Ending 31st May,Admin
Department of Health,Department of Health,05/07/2012,Outsourcing Contract,External Relations Directorate,FREUD COMMUNICATIONS LTD,SME,W1T 3EB,SI11072,98000,,Skin cancer consumer engagement,Programme
Department of Health,Department of Health,05/07/2012,Publicity & advertising,External Relations Directorate,EMERY MCLAVEN ORR LTD,LARGE,BS8 1PD,121045318,149728,,EMO regional marketing fees - Q1,Programme
Department of Health,Department of Health,05/07/2012,Admin Revenue Grant-in-Aid ENDPBs,External Relations Directorate,COUNCIL FOR HEALTHCARE REGULATORY EXCELLENCE (CHRE),PUBLIC,WC2N 5HR,DH027,280000,,CHRE Grant-In-Aid Revenue Cash Drawdown 2012/13,Admin
