Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,01/05/2013,Policy Payments,NHS Medical,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000342180,479890.00 ,"Financial Support for the agreed project, in accordance with the contract dated 18/01/13",S5 7AU,PUBLIC,,,Programme
Department of Health,Department of Health,01/05/2013,Policy Payments,NHS Medical,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,4021984,432108.00 ,"Financial Support for the agreed project, in accordance with the contract dated 21/01/13",TQ2 7AN,PUBLIC,,,Programme
Department of Health,Department of Health,01/05/2013,Additions Other loans,Strategy Finance & NHS,COMMUNITY HEALTH PARTNERSHIPS (CHP),CHAPS1/5/13,20000000.00 ,,SE1 9BW,PUBLIC,,,Programme
Department of Health,Department of Health,01/05/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BARKING AND DAGENHAM PCT,FUNDINGMAY13,5000000.00 ,,IG11 8EY,PUBLIC,,,Admin
Department of Health,Department of Health,01/05/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BARNSLEY PCT,FUNDINGMAY13,5000000.00 ,,S70 3RD,PUBLIC,,,Admin
Department of Health,Department of Health,01/05/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BATH & NORTH EAST SOMERSET PCT,FUNDINGMAY13,1590000.00 ,,BA2 5RP,PUBLIC,,,Admin
Department of Health,Department of Health,01/05/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BEDFORDSHIRE PCT,FUNDINGMAY13,6000000.00 ,,MK40 2AW,PUBLIC,,,Admin
Department of Health,Department of Health,01/05/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BERKSHIRE EAST PCT,FUNDINGMAY13,3500000.00 ,,RG7 4BQ,PUBLIC,,,Admin
Department of Health,Department of Health,01/05/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BERKSHIRE WEST PCT,FUNDINGMAY13,1000000.00 ,,RG30 2BA,PUBLIC,,,Admin
Department of Health,Department of Health,01/05/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BIRMINGHAM EAST AND NORTH PCT,FUNDINGMAY13,6000000.00 ,,B7 4WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/05/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BOURNEMOUTH & POOLE PCT,FUNDINGMAY13,5000000.00 ,,BH12 5AG,PUBLIC,,,Admin
Department of Health,Department of Health,01/05/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BRADFORD AND AIREDALE PCT,FUNDINGMAY13,4880000.00 ,,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/05/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BRENT TEACHING PCT,FUNDINGMAY13,6000000.00 ,,HA0 4UZ,PUBLIC,,,Admin
Department of Health,Department of Health,01/05/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BRIGHTON & HOVE CITY TEACHING PCT,FUNDINGMAY13,3000000.00 ,,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/05/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BRISTOL PCT,FUNDINGMAY13,12500000.00 ,,WF3 1WE,PUBLIC,,,Admin
