"TRANSPARENCY - DFE TEMPLATE FOR SUBMISSION OF SPEND OVER £25,000. To be submitted to:richard.barlow@education.gsi.gov.uk.",,,,,,,
Organisation -,School Food Trust,,,,,,
Submitted by -,Clare Bateman,,,,,,
Month - ,April,,,,,,
Department family,Entity,Date (payment not invoice date),Expense type (Account Code Name),Expense area (Division within SFT e.g. Corp Services),Supplier,Transaction number (SFT Invoice No.),Amount (including VAT)
Department for Education,School Food Trust,13/04/2010,Research Costs,Research,TNS UK LTD,PI010640,30843.75
Department for Education,School Food Trust,13/04/2010,Research Costs,Research,TNS UK LTD,PI010641,20621.25
Department for Education,School Food Trust,13/04/2010,Research Costs,Research,TNS UK LTD,PI010642,9987.5
Department for Education,School Food Trust,20/04/2010,Marketing Support,Communications,Kindred,PI010757,44943.75
Department for Education,School Food Trust,20/04/2010,Printed Resources,Delivery,Resource Management Design Limited,PI010783,1170.3
Department for Education,School Food Trust,20/04/2010,Printed Resources,Delivery,Resource Management Design Limited,PI010784,669.75
Department for Education,School Food Trust,20/04/2010,Marketing Grants,Communications,North Somerset Council,PI010824,16500
Department for Education,School Food Trust,20/04/2010,Marketing Grants,Communications,North Somerset Council,PI010825,10072
Department for Education,School Food Trust,20/04/2010,Printed Resources,Delivery,Resource Management Design Limited,PI010841,434.16
Department for Education,School Food Trust,20/04/2010,Printed Resources,Delivery,Resource Management Design Limited,PI010842,7435.4
Department for Education,School Food Trust,20/04/2010,Printed Resources,Delivery,Resource Management Design Limited,PI010843,2273.63
Department for Education,School Food Trust,20/04/2010,Printed Resources,Delivery,Resource Management Design Limited,PI010844,1600.35
Department for Education,School Food Trust,20/04/2010,Printed Resources,Delivery,Resource Management Design Limited,PI010852,11221.25
Department for Education,School Food Trust,20/04/2010,Printed Resources,Delivery,Resource Management Design Limited,PI010853,9571.55
Department for Education,School Food Trust,20/04/2010,Printed Resources,Delivery,Resource Management Design Limited,PI010854,10140.25
Department for Education,School Food Trust,20/04/2010,Web Development,Delivery,Cimex Media Limited,PI010882,6697.5
Department for Education,School Food Trust,20/04/2010,Web Development,Communications,Cimex Media Limited,PI010895,27211.04
Department for Education,School Food Trust,27/04/2010,IT Support,Corporate Services,Department for Education,PI011010,35015
Department for Education,School Food Trust,27/04/2010,IT Support,Corporate Services,Department for Education,PI009244,-3133.73
Department for Education,School Food Trust,29/04/2010,Grants made to Project Partners,Lets Get Cooking,The Princes Trust,PI011093,68426
Department for Education,School Food Trust,29/04/2010,Grants made to Project Partners,Lets Get Cooking,Business in the Community,PI011094,26589
