Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.04.2011 to 30.04.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,05/04/2011,Capital Grant,Schools Capital and Revenue Grants,NORWICH DIOCESAN BOARD OF FINANCE LIMITED,325454,632925,
DfE,PfS,08/04/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD CITY COUNCIL (BARTON MOSS SECURE),326053,271158.18,
DfE,PfS,05/04/2011,VA Schools PFI Payments,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,326057,181376.1,
DfE,PfS,05/04/2011,VA Schools PFI Payments,Schools Capital and Revenue Grants,REDCAR PRIVATE FINANCE INITIATIVE,326059,1451356.87,
DfE,PfS,08/04/2011,Capital Grant,Schools Capital and Revenue Grants,ST EDMUNDSBURY AND IPSWICH DIOCESAN BOARD OF FINANCE BARCHESTER,326183,138838.94,
DfE,PfS,08/04/2011,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,326185,190287,
DfE,PfS,08/04/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,326205,62655.18,
DfE,PfS,08/04/2011,Capital Grant,Schools Capital and Revenue Grants,ST GEORGES ROMAN CATHOLIC PRIMARY SCHOOL,326211,80212.5,
DfE,PfS,08/04/2011,Capital Grant,Schools Capital and Revenue Grants,ST PETER'S CHURCH PRIMARY SCHOOL,326237,30909.83,
DfE,PfS,08/04/2011,VA Schools PFI Payments,Schools Capital and Revenue Grants,ST THOMAS NORE CATHOLIC BIRMINGHAM DIOCESE ACCOUNT,326259,79728.93,
DfE,PfS,11/04/2011,Cost Consultancy,Director Academies,CAPITA SYMONDS LTD,326615,10740,
DfE,PfS,11/04/2011,Cost Consultancy,Free School Technical Advice,CAPITA SYMONDS LTD,326615,41854.06,
DfE,PfS,11/04/2011,S4PL Projects,Design Management,DEGW UK LIMITED,326621,25491.6,
DfE,PfS,11/04/2011,IT Consumables & Software,Information Systems,I-RAS SOLUTIONS LTD,326627,28173.42,
DfE,PfS,11/04/2011,"IT Equipment, Cost",Information Systems,I-RAS SOLUTIONS LTD,326627,239.95,
DfE,PfS,11/04/2011,IT Maintenance & Support,Information Systems,I-RAS SOLUTIONS LTD,326627,1852.34,
DfE,PfS,11/04/2011,Office Landline (phones) & Broadband,Information Systems,I-RAS SOLUTIONS LTD,326627,12420,
DfE,PfS,11/04/2011,Capital Grant,Schools Capital and Revenue Grants,EAST SUSSEX COUNTY COUNCIL,326655,73675,
DfE,PfS,11/04/2011,Capital Grant,Schools Capital and Revenue Grants,DEVON COUNTY COUNCIL,326657,52169.08,
DfE,PfS,11/04/2011,Capital Grant,Schools Capital and Revenue Grants,LINCOLNSHIRE COUNTY COUNCIL,326659,138115.29,
DfE,PfS,11/04/2011,Capital Grant,Schools Capital and Revenue Grants,WEST SUSSEX COUNTY COUNCIL,326661,265097.26,
DfE,PfS,13/04/2011,Academies Construction Framework,Director Academies,DICKINSON DEES,326948,2552.16,
DfE,PfS,13/04/2011,Acquisition of Freeholds,Director Academies,DICKINSON DEES,326948,8134.17,
DfE,PfS,13/04/2011,Acquisition of new leases,Director Academies,DICKINSON DEES,326948,2272.93,
DfE,PfS,13/04/2011,Acquisition of Property (Free/leasehold),Director Academies,DICKINSON DEES,326948,47.26,
DfE,PfS,13/04/2011,Assignment of existing leases,Director Academies,DICKINSON DEES,326948,4587.6,
DfE,PfS,13/04/2011,Misc Advice,Director Academies,DICKINSON DEES,326948,7336.2,
DfE,PfS,13/04/2011,Property Advice,Director Academies,DICKINSON DEES,326948,13354.22,
DfE,PfS,13/04/2011,Advisory Frameworks,Academies Programme Management,DICKINSON DEES,326948,1820.4,
DfE,PfS,13/04/2011,Miscellaneous External Advice,Academies Programme Management,DICKINSON DEES,326948,620.4,
DfE,PfS,13/04/2011,Cost Consultancy,Director Academies,TURNER & TOWNSEND,326970,60517.5,
DfE,PfS,19/04/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,327334,26925.03,
DfE,PfS,19/04/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,327354,128281.5,
DfE,PfS,19/04/2011,Capital Grant,Schools Capital and Revenue Grants,ST JOSEPH'S SCHOOL BUILDING ACCOUNT,327364,35910,
DfE,PfS,19/04/2011,Capital Grant,Schools Capital and Revenue Grants,HOLY CROSS CATHOLIC PRIMARY SCHOOL,327366,46170,
DfE,PfS,19/04/2011,Acquisition of Property (Free/leasehold),Director Academies,DTZ Debenham Tie Leung Limited,327416,40800,
DfE,PfS,19/04/2011,Acquisition of Property (Free/leasehold),Free School Property Advice,DTZ Debenham Tie Leung Limited,327416,49036.5,
DfE,PfS,19/04/2011,Building_Condition Surveys,Free School Property Advice,DTZ Debenham Tie Leung Limited,327416,1485,
DfE,PfS,19/04/2011,Planning Advice,Free School Property Advice,DTZ Debenham Tie Leung Limited,327416,4800,
DfE,PfS,19/04/2011,Red Book Valuations,Free School Property Advice,DTZ Debenham Tie Leung Limited,327416,6540,
DfE,PfS,19/04/2011,Site Search,Free School Property Advice,DTZ Debenham Tie Leung Limited,327416,17859,
DfE,PfS,19/04/2011,VA Schools PFI Payments,Schools Capital and Revenue Grants,CARDINAL HEENAN SCHOOL SERVICES LTD JARVIS,327430,58903.29,
DfE,PfS,19/04/2011,VA Schools PFI Payments,Schools Capital and Revenue Grants,JEWISH FREE SCHOOL - UNITARY CHARGE ACCOUNT,327432,234975.45,
DfE,PfS,19/04/2011,VA Schools PFI Payments,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE - ST JOSEPHS,327434,50992.23,
DfE,PfS,21/04/2011,Misc Advice - Capital,Director Academies,DICKINSON DEES,327594,3455.16,
DfE,PfS,21/04/2011,Procurement Advice - Capital,Free School Legal Advice,DICKINSON DEES,327594,2671.2,
DfE,PfS,21/04/2011,Aquisition of Freeholds - Capital,Free School Legal Advice,DICKINSON DEES,327594,3712.8,
DfE,PfS,21/04/2011,Misc Advice - Capital,Free School Legal Advice,DICKINSON DEES,327594,13733.71,
DfE,PfS,21/04/2011,Procurement Advice - Capital,Free School Legal Advice,DICKINSON DEES,327594,2872.8,
DfE,PfS,21/04/2011,Property Advice - Capital,Free School Legal Advice,DICKINSON DEES,327594,403.2,
DfE,PfS,21/04/2011,Technical Costs - Capital,Free School Technical Advice,TURNER & TOWNSEND,327602,51128.38,
DfE,PfS,15/04/2011,Rail and Tube Costs,Academies Programme Management,THE TRAINLINE,327761,4704.95,
DfE,PfS,15/04/2011,Rail and Tube Costs,Central & West Director,THE TRAINLINE,327761,2312,
DfE,PfS,15/04/2011,Rail and Tube Costs,Co-location Programme Team,THE TRAINLINE,327761,969.75,
DfE,PfS,15/04/2011,Rail and Tube Costs,Design Management,THE TRAINLINE,327761,89.3,
DfE,PfS,15/04/2011,Rail and Tube Costs,Director Commercial Team,THE TRAINLINE,327761,5046.15,
DfE,PfS,15/04/2011,Rail and Tube Costs,Director Communications,THE TRAINLINE,327761,102.15,
DfE,PfS,15/04/2011,Rail and Tube Costs,Education ICT Strategic Director,THE TRAINLINE,327761,4023.7,
DfE,PfS,15/04/2011,Rail and Tube Costs,Education PE & Sports,THE TRAINLINE,327761,1082.02,
DfE,PfS,15/04/2011,Rail and Tube Costs,Education Strategic Director,THE TRAINLINE,327761,2068.32,
DfE,PfS,15/04/2011,Rail and Tube Costs,Finance,THE TRAINLINE,327761,177.3,
DfE,PfS,15/04/2011,Rail and Tube Costs,North Director,THE TRAINLINE,327761,3600.25,
DfE,PfS,15/04/2011,Rail and Tube Costs,One Conversation Team,THE TRAINLINE,327761,147.6,
DfE,PfS,15/04/2011,Rail and Tube Costs,Primary Capital Programme Team,THE TRAINLINE,327761,257.8,
DfE,PfS,15/04/2011,Rail and Tube Costs,South Director,THE TRAINLINE,327761,700,
DfE,PfS,15/04/2011,Rail and Tube Costs,Strategic Director,THE TRAINLINE,327761,2549.02,
