Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/10/2015,Consultancy Expenditure,Economics & Markets - DG & Group Support,DAISY COMMUNICATIONS LTD,54078,31.97,-Consultancy Expenditure,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/10/2015,Consultancy Expenditure,Economics & Markets - DG & Group Support,DAISY COMMUNICATIONS LTD,62449,31.97,-Consultancy Expenditure,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/10/2015,Consultancy Expenditure,Economics & Markets - DG & Group Support,DAISY COMMUNICATIONS LTD,67556,31.97,-Consultancy Expenditure,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/10/2015,ICT Outsourcing & Maintenance/Support,Economics & Markets - Analysis Directorate,DAISY COMMUNICATIONS LTD,67556,5.33,-ICT Outsourcing & Maintenance/Support,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/10/2015,Consultancy Expenditure,Economics & Markets - DG & Group Support,DAISY COMMUNICATIONS LTD,71785,31.97,-Consultancy Expenditure,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/10/2015,ICT Outsourcing & Maintenance/Support,Economics & Markets - Analysis Directorate,DAISY COMMUNICATIONS LTD,71785,5.33,-ICT Outsourcing & Maintenance/Support,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/10/2015,Consultancy Expenditure,Economics & Markets - DG & Group Support,DAISY COMMUNICATIONS LTD,75840,31.97,-Consultancy Expenditure,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/10/2015,ICT Outsourcing & Maintenance/Support,Economics & Markets - Analysis Directorate,DAISY COMMUNICATIONS LTD,75840,5.33,-ICT Outsourcing & Maintenance/Support,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/10/2015,Facilities Management Contract,Economics & Markets - Digital Economy Unit,GOVERNMENT COMMUNICATIONS HEADQUARTERS(GCHQ),98534,4196.33,-Facilities Management Contract,GL51 0EX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/10/2015,Staff Transfer/Detached Duty Costs,Economics & Markets - Digital Economy Unit,GOVERNMENT COMMUNICATIONS HEADQUARTERS(GCHQ),98534,4620.00,-Staff Transfer/Detached Duty Costs,GL51 0EX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/10/2015,Other Relocation Costs,Economics & Markets - Digital Economy Unit,GOVERNMENT COMMUNICATIONS HEADQUARTERS(GCHQ),98534,13972.51,-Other Relocation Costs,GL51 0EX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/10/2015,Leadership & People Management,"Skills, Deregulation and Local Growth - Vocational Education Directorate",CAPITA BUSINESS SERVICES LTD,102292,16.00,-Leadership & People Management,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/10/2015,Leadership & People Management,"Skills, Deregulation and Local Growth - Vocational Education Directorate",CAPITA BUSINESS SERVICES LTD,102292,118.00,-Leadership & People Management,DL1 9HN,VENDOR,,,
