Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,,
DEFRA,Fera,04/07/2012,Direct Subcontractors,Policy & Regulation,Animal Health and Veterinary Laboratories,74620," £39,900.00 ",Validation work as per tasking agreement,YO1 7PX,,N/A,T4YW3000,Administration,,,
DEFRA,Fera,04/07/2012,Direct Subcontractors,Policy & Regulation,Agri-Food and Bioscience Institute,74871," £81,361.63 ",PBR and NL test and trials 4th Quarter 11/12,BT9 5PX,,N/A,Y2AN1090,Administration,,,
DEFRA,Fera,09/07/2012,Other Direct,Policy & Regulation,UPOV,74668," £73,074.61 ",Call Up For Uk Contributions To the UPOV project,CH-1211,,N/A,Y2AI1000,Administration,,,
DEFRA,Fera,09/07/2012,Direct Subcontractors,Operations Directorate,University of Cambridge,75133," £30,376.25 ",Annual Order 2012/13 - Modelling work on the Phytophthora Project,CB2 1SB,,N/A,T5JA7000,Administration,,,
DEFRA,Fera,10/07/2012,Direct Scientific Equip Maint,Operations Directorate,Life Technologies Limited,74979," £33,812.40 ",Renewal of maintenance contract for 5 pieces of equipment,PA4 9RF,,N/A,W6AP2000,Administration,,,
DEFRA,Fera,10/07/2012,Estates Charges (Swm),Finance And Corporate Services,DTZ,75324," £25,577.59 ",Dtz - Estate Recharges,B4 6AJ,,N/A,!,Administration,,,
DEFRA,Fera,12/07/2012,Prepayment Postal Visa Card,Finance And Corporate Services,National Westminster Bank plc,75466," £157,859.90 ",National Westminster Bank Plc -GPC cards,SS1 9AJ,,N/A,!,Administration,,,
DEFRA,Fera,18/07/2012,Direct Subcontractors,Policy & Regulation,NIAB,75002," £68,811.88 ","Distinctness Uniformity and Stability (DUS) Tests for Cereals, Winter Oilseed Rape and Minor crops ",CB3 0LE,,N/A,Y2AN1000,Administration,,,
DEFRA,Fera,18/07/2012,Direct Subcontractors,Policy & Regulation,NIAB,75004," £163,034.58 ",Crop Inspection Service and Control plots and Trial Service.,CB3 0LE,,N/A,Y2AO1000,Administration,,,
DEFRA,Fera,18/07/2012,Direct Subcontractors,Policy & Regulation,NIAB,75006," £53,196.34 ",Value for the cultivation and use (VCU) Technical Management and Pathology,CB3 0LE,,N/A,Y2AJ1000,Administration,,,
DEFRA,Fera,23/07/2012,Estates Charges (Swm),Finance And Corporate Services,DTZ,76057," £25,577.59 ",Dtz - Estate Recharges,B4 6AJ,,N/A,!,Administration,,,
DEFRA,Fera,23/07/2012,Estates Charges (Swm),Finance And Corporate Services,DTZ,76059," £1,262,530.14 ",Dtz - Estate Recharges,B4 6AJ,,N/A,!,Administration,,,
