Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Latest Contract Number,Project Code,Expenditure Type
,,01/07/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672992,1741793.31,Revenue: 2015/16  Choices HSCIC - Recharge of MVS Related Charges,LS1 6AE,PUBLIC,,,
,,01/07/2016,Outsourcing Contract,"DG: FINANCE, COMMERCIAL & NHS",BDO LLP,1512287,38880,P21+ Specialist VAT Advice Service 1st April 2016 - 31st March 2017,W1U 7EU,LARGE,,,
,,01/07/2016,Research & development,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",PGO FOREIGN CURRENCY PAYMENTS,335388166,100000,,RH10 1UH,PUBLIC,,,
,,01/07/2016,Addition Clearing - IT,DG: STRATEGY & EXTERNAL RELATIONS,IBM UK LTD,5805161766,0.04,ESR Transition - T1.7 Including Retention,PO6 3AU,LARGE,,,
,,01/07/2016,Addition Clearing - IT,DG: STRATEGY & EXTERNAL RELATIONS,IBM UK LTD,5805161766,-0.04,ESR Transition - GMPTC,PO6 3AU,LARGE,,,
,,01/07/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",ASTHMA UK,ERS-558100-123281,80390,2016-17 - Asthma UK - IESD Ref 54324401,E1 8AA,VCS,,,
,,01/07/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-21243,12000000,,WF3 1WE,PUBLIC,,,
,,01/07/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-21244,475000000,,LS1 4PL,PUBLIC,,,
,,01/07/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH RESEARCH AUTHORITY,HAFS-21245,750000,,SE1 6LH,PUBLIC,,,
,,01/07/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-21246,6000000,,,PUBLIC,,,
