Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,group
Ministry of Justice,MoJ HQ,10-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1146701,"29,750.00",Payment for accepted deliverables relating to Headquarters & Arms Length Bodies Technical Delivery Assurance,
Ministry of Justice,MoJ HQ,10-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1146701,"5,950.00",Payment for accepted deliverables relating to Headquarters & Arms Length Bodies Technical Delivery Assurance,
Ministry of Justice,MoJ HQ,03-Nov-14,222001-Maintenance,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"40,596.41","5-yearly fixed wire testing, as per instructions on quote reference 5483",
Ministry of Justice,MoJ HQ,13-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146990,316.24,HQ TFM Contract - Soft Fixed Services - Catering; Vending,
Ministry of Justice,MoJ HQ,13-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146990,"64,258.12",HQ TFM Contract - Soft Fixed Services - Cleaning,
Ministry of Justice,MoJ HQ,13-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146990,"5,248.30",HQ TFM Contract - Soft Fixed Services - Waste Disposal,
Ministry of Justice,MoJ HQ,13-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146990,"7,465.17",HQ TFM Contract - Soft Fixed Services - Management,
Ministry of Justice,MoJ HQ,13-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146990,"32,059.39",HQ TFM Contract - Hard Fixed Services - Management,
Ministry of Justice,MoJ HQ,13-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146990,"47,883.31",HQ TFM Contract - Hard Fixed Services - M&E Repair & Maintenance,
Ministry of Justice,MoJ HQ,13-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146990,"12,866.99",HQ TFM Contract - Hard Fixed Services - Internal Repair & Maintenance,
Ministry of Justice,MoJ HQ,13-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146990,208.67,HQ TFM Contract - Hard Fixed Services - Grounds Maintenance,
Ministry of Justice,MoJ HQ,13-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146990,385.88,HQ TFM Contract - Soft Fixed Services - Pest & Vermin Control - Building Operation,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"1,382.16",HQ TFM Contract - Soft Variable Services - Cleaning,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"5,909.40",HQ TFM Contract - Hard Variable Services - Management,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"16,000.89",HQ TFM Contract - Hard Variable Services - M&E Repair & Maintenance,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"15,017.17",HQ TFM Contract - Hard Variable Services - Internal Repair & Maintenance,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"2,439.09",HQ TFM Contract - Hard Variable Services - External & Structural Repair & Maintenance,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,487.82,VAT charged on HQ TFM Contract for Hard Variable Services - External & Structural Repair & Maintenance,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"1,698.95",HQ TFM Contract - Soft Variable Services - Cleaning,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,792.44,HQ TFM Contract - Hard Variable Services - Management,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"7,645.84",HQ TFM Contract - Soft Variable Services - Management,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"11,255.66",HQ TFM Contract - Hard Variable Services - M&E Repair & Maintenance,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"8,168.80",HQ TFM Contract - Hard Variable Services - Internal Repair & Maintenance,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,785.1,HQ TFM Contract - Soft Variable Services - M&E Repair & Maintenance,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"3,652.74",HQ TFM Contract - Hard Variable Services - External & Structural Repair & Maintenance,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,730.55,VAT charged on HQ TFM Contract for Hard Variable Services - External & Structural Repair & Maintenance,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,508.35,HQ TFM Contract - Hard Variable Services - Grounds Maintenance,
Ministry of Justice,MoJ HQ,03-Nov-14,222001-Maintenance,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"63,970.57",Critical spares for lifts ,
Ministry of Justice,MoJ HQ,03-Nov-14,222001-Maintenance,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"36,753.63",Urgent fire stopping works ,
Ministry of Justice,MoJ HQ,03-Nov-14,222001-Maintenance,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"7,350.73",VAT charged on urgent fire stopping works ,
Ministry of Justice,MoJ HQ,17-Nov-14,222001-Maintenance,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1147346,"36,592.97",Emergency move of invertors [HQ-14-15-1041],
Ministry of Justice,MoJ HQ,17-Nov-14,222001-Maintenance,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1147346,"34,386.34",Replacement of urinal pipeworks for 70 units in 102 Petty France.,
Ministry of Justice,MoJ HQ,03-Nov-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1146214,"21,818.69",Decommission Vesda & Install New Beam Detection System - task 7919.,
Ministry of Justice,MoJ HQ,13-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ARK DATA CENTRES LTD,1146993,"180,361.96",Data Centre Racking and Storage Charges Oct 2014,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1146216,46,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1146216,242.09,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1146216,164,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1146216,11.1,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1146216,78.26,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1146216,25.23,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1146216,58.47,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1146216,46,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1146216,66.86,IT peripherals/individual ordered software and equipment,
