DEPARTMENT FAMILY,ENTITY,DATE,EXPENSE_AREA,EXPENSE_TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
Ministry of Justice,HMCS,12-May-10,AH199-HR HMCS HQ,224000-Staff travel and other,AXA PPP HEALTHCARE,1209984,"£62,141.91"
Ministry of Justice,HMCS,12-May-10,AG999-Estates Directorate HMCS HQ,222002-Other Property Costs,BEACHCROFT,1210007,"£46,088.29"
Ministry of Justice,HMCS,12-May-10,AV322-CP Change Management SUPS,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1209981,"£437,916.63"
Ministry of Justice,HMCS,12-May-10,AV324-CP Change Management DARTS,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1209981,"£39,266.15"
Ministry of Justice,HMCS,12-May-10,AV329-CP-Mag. Courts Operational Bus.sys,532000-Tangible GBV - Additions,LOGICA UK LTD,1210503,"£38,348.48"
Ministry of Justice,HMCS,12-May-10,AW999-Operations & Performance Dir.,223000-Other Expenditure,MARKET & OPINION RESEARCH INTERNATIONAL LTD (MORI),1210532,"£98,982.00"
Ministry of Justice,HMCS,12-May-10,BZ999-London Region,222001-Maintenance,EC HARRIS LLP,1210237,"£34,539.03"
Ministry of Justice,HMCS,12-May-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF SOUTHWARK,1210506,"£30,712.50"
Ministry of Justice,HMCS,12-May-10,BZ999-London Region,532000-Tangible GBV - Additions,ARK BUILD PLC,1209971,"£29,246.78"
Ministry of Justice,HMCS,12-May-10,CZ999-South East Region,222002-Other Property Costs,HI-SPEC FACILITIES SUPPORT CO PLC,1210378,"£252,870.88"
Ministry of Justice,HMCS,12-May-10,CZ999-South East Region,222002-Other Property Costs,MITIE SECURITY LTD,1210587,"£566,979.86"
Ministry of Justice,HMCS,12-May-10,CZ999-South East Region,222001-Maintenance,BAILEY MAINTENANCE LTD,1209988,"£49,159.44"
Ministry of Justice,HMCS,12-May-10,CZ999-South East Region,222001-Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1210584,"£41,321.37"
Ministry of Justice,HMCS,12-May-10,CZ999-South East Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1210627,"£36,856.95"
Ministry of Justice,HMCS,12-May-10,CZ999-South East Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1210627,"£43,745.97"
