Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,05/02/2015,Outsourcing Contract,DG: ERD,THE COLLEGE OF SOCIAL WORK,00434,"37,078.00",Production of CPD materials on Autism and MCA for Non MH Specialists,NW2 2FB,SME,,,Programme
Department of Health,Department of Health,09/02/2015,Outsourcing Contract,DG: ERD,IPSOS MORI UK LTD,15000176,"58,860.00",Migrant Access Programme's Formative Evaluation,HA1 1PT,LARGE,,,Programme
Department of Health,Department of Health,10/02/2015,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000015596,"53,055.42",Hutton,NE1 6SN,PUBLIC,,,Programme
Department of Health,Department of Health,10/02/2015,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000015598,"178,959.82",Hutton,NE1 6SN,PUBLIC,,,Programme
Department of Health,Department of Health,10/02/2015,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000015599,"449,423.20",Hutton,NE1 6SN,PUBLIC,,,Programme
Department of Health,Department of Health,10/02/2015,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000015600,"88,800.00",GMP to Pensioner Payroll,NE1 6SN,PUBLIC,,,Programme
Department of Health,Department of Health,12/02/2015,Revenue Grants to non-profit institutions,DG: ERD,SKILLS FOR CARE LTD,ERS-534121-100961,"2,000,000.00",2014/022a Social Care Work Programme for DH,LS1 2RP,VCS,,,Programme
Department of Health,Department of Health,12/02/2015,Revenue Grants to non-profit institutions,DG: ERD,SKILLS FOR CARE LTD,ERS-534122-100963,"47,000.00",2014/048a To cover shortfall in the NSA-SC¿s work programme funding following merger with Skills for Care,NW1 2FD,VCS,,,Programme
Department of Health,Department of Health,13/02/2015,Policy Payments,DG: ERD,NURSING AND MIDWIFERY COUNCIL,CHAPS11/2/15,"207,900.00",NMC liabilities -Pensions Deficit,W1B 1JT,PUBLIC,,,Admin
Department of Health,Department of Health,13/02/2015,Policy Payments,DG: ERD,NURSING AND MIDWIFERY COUNCIL,CHAPS13/2/15,"81,900.00",NMC liabilities -Pensions Deficit,W1B 1JT,PUBLIC,,,Admin
Department of Health,Department of Health,13/02/2015,Capital Grants to non-profit institutions,DG: ERD,SKILLS FOR CARE LTD,ERS-534195-100981,"100,000.00",2014/15 2014/032 Skills for Care  - Capital Grant Projects (2nd PO),LS1 2RP,VCS,,,Programme
Department of Health,Department of Health,16/02/2015,ENDPBs Admin Revenue Grant in Aid,DG: ERD,PROFESSIONAL STANDARDS AUTHORITY,DH067,"340,000.00",PSA Grant-In-Aid Revenue Cash Drawdown 2014/15,SW1W 9SP,PUBLIC,,,Admin
Department of Health,Department of Health,19/02/2015,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011482,"2,296,235.00",CPA for ESR - FY14/15 Service Charges inc Profit Share,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,23/02/2015,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90183847,"1,774.80",adjustment charge,GU21 6QX,LARGE,,,Programme
Department of Health,Department of Health,23/02/2015,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90183847,"231,780.00",non transferring staff,GU21 6QX,LARGE,,,Programme
Department of Health,Department of Health,23/02/2015,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90183847,"17,311.20",transferring staff,GU21 6QX,LARGE,,,Programme
Department of Health,Department of Health,23/02/2015,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90183847,"17,072.40",premises,GU21 6QX,LARGE,,,Programme
Department of Health,Department of Health,23/02/2015,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90183847,"23,742.00",other overheads and profits,GU21 6QX,LARGE,,,Programme
