Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,DEFRA,29/09/2015,Evidence Non R&D,Policy Delivery DG,A D A S UK Ltd,RIRP085854,"25,224.00",PO 358393 JOB CODE DAW3434 REF RMP5134 AUGUST 2015 HARVEST REPORTS,WV9 5AP,,16706,0,Expense,
DEFRA,DEFRA,02/09/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",A H D B,180022312,"55,000.00","PO 377610, BPEX PROJECT MANAGEMENT AND SERVER HOSTING AND SOFTWARE LICENCES",CV8 2TL,,17019,AHDB0002,Expense,
DEFRA,DEFRA,07/09/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,AECOM Infrastructure & Enviroment UK Ltd,6284451,"77,292.83","PO 374625, MILESTONE 5",RG21 7PP,SME,WC1107,BIODECOS,Expense,
DEFRA,DEFRA,07/09/2015,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Albion Manufacturing,2327,"29,756.16","PO 379260, BADGER TRAP 017M",NR18 9AU,SME,22337,BCP00001,Expense,
DEFRA,DEFRA,25/09/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-562786-53107,"52,350.08",SE1960 - TSE Strategic Competencies - APHA  FY15/16,KT15 3NB,SME,EXEMPT,0,Expense,
DEFRA,DEFRA,25/09/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-562798-53116,"28,953.00",SE3281 (Var)  - Research and development towards novel field-based approaches to the diagnosis of bovine tuberculosis in badgers - APHA,KT15 3NB,SME,DFP,0,Expense,
DEFRA,DEFRA,15/09/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000070532,"37,980,680.00",PO 377681 BCF INCOME GENERIC 2016/16 SLA,YO1 7PX,SME,FUNDING,0,Expense,
DEFRA,DEFRA,25/09/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-562805-53123,"26,915.25",OZ0347 - Development of enhanced methods for outbreak investigation and source attribution of Salmonella - APHA - FY15/16,KT15 3NB,SME,,0,Expense,
DEFRA,DEFRA,25/09/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-562797-53115,"33,636.33",SE2207 - Improving CSFV control through enhanced diagnostic and intervention tools - APHA - FY2015/16 ,KT15 3NB,SME,DFP,0,Expense,
DEFRA,DEFRA,29/09/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000071012,"189,695.55","PO 376484,  SUNDRIES SHAPING AHVLA SURVEILLANCE MODEL",YO1 7PX,SME,EXEMPT,0,Expense,
DEFRA,DEFRA,25/09/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-562721-53104,"43,593.00",OZ0629 - An analytical and social science based assessment of the effectiveness of a financial incentive scheme to control Campylobacter in broiler farms through its effect on farmer behaviour - APHA  FY2015/16,KT15 3NB,SME,EXEMPT,0,Expense,
