Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/02/2014,PFI IT service costs,Finance & Commercial Group - F&C - Information and Technology Directorate,FUJITSU SERVICES LTD,1681,3215.59,E&M Non Devolved Admin-PFI IT service costs,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/02/2014,Standard Desktop Plus Services,Finance & Commercial Group - F&C - Information and Technology Directorate,FUJITSU SERVICES LTD,1681,10154.60,E&M Devolved Admin-Standard Desktop Plus Services,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/02/2014,PFI IT service costs,Finance & Commercial Group - F&C - Information and Technology Directorate,FUJITSU SERVICES LTD,1681,13236.51,E&M Non Devolved Admin-PFI IT service costs,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/02/2014,Standard Desktop Plus Services,Finance & Commercial Group - F&C - Information and Technology Directorate,FUJITSU SERVICES LTD,1681,16500.00,E&M Devolved Admin-Standard Desktop Plus Services,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/02/2014,Standard Desktop Plus Services,Finance & Commercial Group - F&C - Information and Technology Directorate,FUJITSU SERVICES LTD,1681,19763.89,E&M Devolved Admin-Standard Desktop Plus Services,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/02/2014,Standard Desktop Plus Services,Finance & Commercial Group - F&C - Information and Technology Directorate,FUJITSU SERVICES LTD,1681,29918.65,E&M Devolved Admin-Standard Desktop Plus Services,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/02/2014,Advertising,Shareholder Executive - Shareholder Executive,M4C (A DIVISION OF GROUPM UK LTD),1930,11.90,ShEx Devolved Admin-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/02/2014,Advertising,Shareholder Executive - Shareholder Executive,M4C (A DIVISION OF GROUPM UK LTD),1930,2965.26,ShEx Devolved Admin-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/02/2014,Advertising,Shareholder Executive - Shareholder Executive,M4C (A DIVISION OF GROUPM UK LTD),1930,8963.72,E&M Devolved Admin-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/02/2014,Advertising,Shareholder Executive - Shareholder Executive,M4C (A DIVISION OF GROUPM UK LTD),1949,14.35,ShEx Devolved Admin-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/02/2014,PR & Marketing Advice & Services,Shareholder Executive - Shareholder Executive,M4C (A DIVISION OF GROUPM UK LTD),1949,14348.83,Start Up Loans-PR & Marketing Advice & Services,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/02/2014,Standard Desktop Plus Services,Finance & Commercial Group - F&C - Information and Technology Directorate,FUJITSU SERVICES LTD,8109,112002.28,E&M Devolved Admin-Standard Desktop Plus Services,WA3 9BD,VENDOR,,,
