Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,Cabinet Office,01/09/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CATCH22 CHARITY LTD,3000019001,"1,000,000.00",National Citizen Service project grant,EC1V 9BW,Large,Programme
Cabinet Office,Cabinet Office,01/09/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NORWICH CITY COMMUNITY SPORTS FOUNDATION,3000019005,"88,842.00",National Citizen Service project grant,NR1 1JE,Large,Programme
Cabinet Office,Cabinet Office,01/09/11,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,WIGAN COUNCIL,3000019010,"52,375.20",Data matching pilots allowing Electoral Registers Officers to compare their registers against other public databases to identify people missing from the register or entries that are inaccurate or fraudulent.,WN1 1YL,Local Authority,Programme
Cabinet Office,Cabinet Office,01/09/11,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ECOVERT FM,3000019002,"27,540.00",Building Restoration of 10 Downing Street,BN1 1HQ,Large,Administration
Cabinet Office,Government Procurement Service,01/09/11,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 20567,"39,822.17",Government managed telecoms contract,RG24 8NA,Large,Programme
Cabinet Office,Government Procurement Service,01/09/11,Peripherals,Network Services,GLOBAL CROSSING,PINMTS 20606,"49,141.00",Government managed telecoms contract,RG24 8NA,Large,Programme
Cabinet Office,Government Procurement Service,01/09/11,Conferencing Audio,Network Services,GLOBAL CROSSING,PINMTS 20614,"54,398.79",Government managed telecoms contract,RG24 8NA,Large,Programme
Cabinet Office,Cabinet Office,02/09/11,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000019033,"951,310.46",ICT Service Charge,SW1A 2WH,Large,Administration
Cabinet Office,Cabinet Office,02/09/11,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,3000019024,"294,495.60",A £100m fund to support organisations to transition to a new funding environment,EC4A 1DE,Large,Programme
Cabinet Office,Cabinet Office,02/09/11,Accommodation and Utilities,ESTATE MANAGEMENT,ST ANDREWS PARK NORWICH LTD,3000019057,"240,675.00",Rent for accommodation June 2011 to March 2012,NR10 3JU,Large,Administration
Cabinet Office,Cabinet Office,02/09/11,Resource Grants to NDPB's,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,3000019060,"68,230.00",Central Chancery charges for administration of Honours,SW1A 1AA,Public Sector,Programme
Cabinet Office,Cabinet Office,02/09/11,Consultancy,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,3000019024,"59,337.00",Management fee for the delivery of the community assets fund,EC4A 1DE,Large,Programme
Cabinet Office,Cabinet Office,02/09/11,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000019061,"46,663.90",2011/12 Fees and Disbursements,WC2B 4TS,Public Sector,Administration
Cabinet Office,Cabinet Office,02/09/11,Agency and Temporary Staff,GOVERNMENT CIO,CAPITA RESOURCING LTD,3000019025,"39,433.50","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme
Cabinet Office,Cabinet Office,02/09/11,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000019050,"26,991.00",Fast stream recruitment.,HP2 7DN,SME,Administration
Cabinet Office,Government Procurement Service,02/09/11,Legal Fees,Legal Services,TREASURY SOLICITORS,PCROHD 948,"-27,520.00",Legal services charge correction,WC2B 4TS,Large,Administration
Cabinet Office,Cabinet Office,05/09/11,Consultancy,INDEPENDENT OFFICES,DLA PIPER UK,3000019076,"35,000.00","For the delivery of the Civil Service Commission’s review of departmen’s and agencys recruitment policies and procedures to ensure that they comply with the Commission’s recruitment principles of appointment on merit on the basis of fair and open competition.  The review is in accordance with CRaG Act 2010, section 14.",EC2V 7EE,Large,Administration
Cabinet Office,Cabinet Office,06/09/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY FOUNDATION NETWORK,3000019097,"800,000.00",Delivery of the Dispossessed Fund Project Grant 2011/12,N1 9HS,Large,Programme
Cabinet Office,Cabinet Office,06/09/11,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,LOCALITY,3000019108,"614,740.80","A programme to identify, train and support 5,000 community organisers to catalyse social action in their communities",N1 6DR,SME,Programme
Cabinet Office,Cabinet Office,06/09/11,IT Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,CORPORATE DOCUMENT SERVICES LTD,3000019099,"31,542.00","Payment for support, maintenance and development of e-PIMS, the government property database",LS2 LY,Large,Administration
Cabinet Office,Cabinet Office,07/09/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ACEVO,3000019133,"138,333.33",Strategic partners transition grant ,WC1A 1NU,Large,Programme
Cabinet Office,Cabinet Office,07/09/11,Agency and Temporary Staff,COMMITTEE ON STANDARDS IN PUBLIC LIFE,TNS UK LTD,3000019142,"34,560.00",Bi-Annual Public Attitudes Survey,W5 1UA,Large,Administration
Cabinet Office,Cabinet Office,08/09/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019156,"218,859.51",Estate consolidation 2011/12,BN1 1HQ,Large,Administration
National School of Government,National School of Government,08/09/11,De Vere PFI contract fee,Corporate Services & Operation,DE VERE VENUES LTD,64DEVE009102718710906/09/2011," 288,371.80 ",Private Finance Initiative payment for student & office accommodation at Sunningdale site,SL5 0QE,Large,Administration
Cabinet Office,Cabinet Office,09/09/11,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019190,"460,162.56",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,09/09/11,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019190,"108,426.01",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,09/09/11,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,ORC INTERNATIONAL LIMITED,3000019204,"80,000.00",Civil Service Staff Survey,N1 9AH,Large,Administration
Cabinet Office,Cabinet Office,09/09/11,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,COI CENTRAL OFFICE OF INFORMATION,3000019186,"51,413.00",Publicity in relation to the review of Parliamentary constituency boundaries by the Boundary Commission for England ,SE1 7DU,Public Sector,Programme
Cabinet Office,Cabinet Office,09/09/11,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000019206,"47,894.66",Fast stream recruitment.,HP2 7DN,SME,Administration
Cabinet Office,Cabinet Office,12/09/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019233,"935,484.24",Facilities Management Services,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,12/09/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019233,"81,164.76",Facilities Management Services,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,12/09/11,Other Staff Related Costs,POLITICAL AND CONSTITUTIONAL REFORM,APPOINTMENTS COMMISSION,3000019224,"58,852.00",Services of the Appointments Commission for the recruitment of Assistant Commissioners in relation to the review of Parliamentary constituency boundaries by the Boundary Commission for England ,M14 7LU,Large,Programme
Cabinet Office,Cabinet Office,12/09/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019233,"58,514.54",Facilities Management Services,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,12/09/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY MATTERS,3000019230,"50,000.00",Strategic partners transition grant ,BN1 9LL,SME,Programme
Cabinet Office,Cabinet Office,12/09/11,Accommodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000019233,"35,774.72",Facilities Management Services,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,12/09/11,IT Costs,GOVERNMENT DIGITAL SERVICE,CIMEX MEDIA LTD,3000019228,"28,493.86",Monthly mobile site hosting and load testing costs,EC2A 4PJ,SME,Programme
Cabinet Office,Government Procurement Service,12/09/11,Legal Fees,Legal Services,TREASURY SOLICITORS,PINDOH 32996,"41,424.90",Legal services fee,WC2B 4TS,Large,Administration
Cabinet Office,Government Procurement Service,12/09/11,Legal Fees,Legal Services,TREASURY SOLICITORS,PINDOH 33387,"26,385.00",Legal services fee,WC2B 4TS,Large,Administration
Cabinet Office,Government Procurement Service,12/09/11,Legal Fees,Legal Services,TREASURY SOLICITORS,PINDOH 33389,"38,957.39",Legal services fee,WC2B 4TS,Large,Administration
Cabinet Office,Cabinet Office,13/09/11,Land and Buildings,ESTATE MANAGEMENT,KING STURGE LLP,3000019264,"303,600.00",Annual rent April 2011 to March 2012,B28 9AQ,Large,Administration
Cabinet Office,Cabinet Office,13/09/11,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000019255,"286,505.63",Grassroots Grants payment,EC1V 2PT,Large,Programme
Cabinet Office,Cabinet Office,13/09/11,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000019265,"216,548.40",High Integrity Telecomms System project costs,L2 3YL,Public Sector,Programme
Cabinet Office,Cabinet Office,13/09/11,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000019265,"183,941.98",High Integrity Telecomms System project costs,L2 3YL,Public Sector,Programme
Cabinet Office,Cabinet Office,13/09/11,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000019257,"35,106.91",Building Restoration of 10 Downing Street,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,14/09/11,Consultancy,CIVIL SERVICE PENSIONS,HERBERT SMITH LLP,3000019289,"330,583.40",Legal Costs to support MyCSP mutualisation project.,EC2A 2HS,Large,Administration
Cabinet Office,Cabinet Office,15/09/11,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,DWP,3000019325,"5,738,000.00",Redistribution of departmental contributions to the cost of Civil Service HR Expert Services,FY5 3TA,Public Sector,Administration
Cabinet Office,Cabinet Office,15/09/11,Accommodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000019343,"355,369.74",Business Rates,WA55 1GG,Local Authority,Administration
Cabinet Office,Cabinet Office,15/09/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY FOUNDATION NETWORK,3000019322,"110,000.00",Strategic partners transition grant ,N1 9HS,Large,Programme
Cabinet Office,Cabinet Office,15/09/11,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,COI CENTRAL OFFICE OF INFORMATION,3000019321,"30,800.00",Publicity in relation to the review of Parliamentary constituency boundaries by the Boundary Commission for England ,SE1 7DU,Public Sector,Programme
National School of Government,National School of Government,15/09/11,Fees: Training Related Services,Learning Delivery,LIVERPOOL JOHN MOORES UNIVERSITY,64LIVE0051005500607/09/2011," 49,950.00 ",Training course for 45 students,L3 2AJ,Large,Administration
Cabinet Office,Cabinet Office,16/09/11,Supplies and Services,KNOWLEDGE AND INFORMATION MANAGEMENT,DOW JONES,3000019352,"30,941.88",Renewal of subscription for Factiva news database,E1W 1AZ,Large,Administration
Cabinet Office,Government Procurement Service,16/09/11,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 20643,"27,345.55",Government managed telecoms contract,RG24 8NA,Large,Programme
Cabinet Office,Government Procurement Service,16/09/11,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 20701,"38,761.43",Government managed telecoms contract,RG24 8NA,Large,Programme
Cabinet Office,Cabinet Office,19/09/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NATIONAL ASSOCIATION FOR VOLUNTARYAND COMMUNITY ACTION,3000019374,"115,000.00",Strategic partners transition grant ,S1 4QL,Large,Programme
Cabinet Office,Cabinet Office,19/09/11,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019366,"60,014.40",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,19/09/11,Investments,OFFICE FOR CIVIL SOCIETY,BRIDGES VENTURES LTD,3000019363,"36,955.15",Investment in the risk capital fund for social enterprise,W2 3EN,SME,Programme
Cabinet Office,Cabinet Office,21/09/11,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000019412,"1,808,333.33",Monitoring services provided by the BBC,M14 0EP,Large,Programme
Cabinet Office,Cabinet Office,21/09/11,Accommodation and Utilities,ESTATE MANAGEMENT,MITIE MANAGED SERVICES LTD,3000019422,"38,574.80",Facilities Management Services,PR7 6TE,Large,Administration
Cabinet Office,Cabinet Office,21/09/11,Consultancy,SCHEME MANAGEMENT EXECUTIVE,COMMUNITIES AND LOCAL GOVERNMENT,3000019416,"38,155.84",INTERNAL AUDIT SERVICES JANUARY/MARCH 11,BN1 1HQ,Public Sector,Administration
