Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,Cabinet Office,22/09/11,Land and Buildings,ESTATE MANAGEMENT,AIRSCAPE LTD,2000213,"290,845.50",Rent for accommodation - 25/09/11 TO 24/11/11,IRELAND,Large,Administration
Cabinet Office,Cabinet Office,22/09/11,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000019442,"27,170.51",IT security development work for Directgov,HP2 7AH,Large,Programme
Cabinet Office,Cabinet Office,23/09/11,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000019469,"39,312.00",Provision of telecommunications service.,RG2 6DA,Large,Administration
Cabinet Office,Cabinet Office,26/09/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CITIZENSHIP FOUNDATION,3000019480,"75,000.00",Supporting a giving in schools project.,EC1V 3RS,Large,Programme
Cabinet Office,Cabinet Office,26/09/11,IT Costs,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000019483,"57,819.21",ICT service charge,SW1A 2WH,Large,Administration
Cabinet Office,Cabinet Office,26/09/11,Supplies and Services,PARLIAMENTARY COUNSEL OFFICE,LEXIS NEXIS BUTTERWORTHS,3000019485,"29,200.05",Purchase of legal publications ,CR9 5AF,Large,Administration
Cabinet Office,Cabinet Office,27/09/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,3000019506,"166,666.66",Strategic partners transition grant ,N1 9RL,Large,Programme
Cabinet Office,Cabinet Office,27/09/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,MEDIA TRUST,3000019505,"115,000.00", Grant to support the Community Channel,SW1P 4RR,SME,Programme
Cabinet Office,Government Procurement Service,27/09/11,Rent RLB 3rd Floor,Estates Management,ROYAL LIVER ASSURANCE,PINDOH 33360,"213,186.24",Rent for accommodation,L3 1HT,Large,Administration
Cabinet Office,Government Procurement Service,27/09/11,Service Charge RLB,Estates Management,ROYAL LIVER ASSURANCE,PINDOH 33360,"54,105.20",Service charge for accommodation,L3 1HT,Large,Administration
Cabinet Office,Government Procurement Service,27/09/11,WDHS Maint & Rep,WDHS,COFELY,PINDOH 33368,"62,514.50",Whitehall heating systems management,HP12 3TA,Large,Programme
Cabinet Office,Government Procurement Service,27/09/11,WSDS Maint & Rep,WSDS,COFELY,PINDOH 33369,"39,005.82",Whitehall heating systems management,HP12 3TA,Large,Programme
Cabinet Office,Government Procurement Service,27/09/11,WSDS Maint & Rep,WSDS,COFELY,PINDOH 33381,"124,475.00",Whitehall heating systems management,HP12 3TA,Large,Programme
Cabinet Office,Cabinet Office,28/09/11,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000019528,"958,314.76",ICT Service Charge,SW1A 2WH,Large,Administration
Cabinet Office,Cabinet Office,28/09/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,VOLUNTEERING ENGLAND,3000019536,"166,666.66",Strategic partners transition grant ,N1 9RL,SME,Programme
Cabinet Office,Cabinet Office,28/09/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BOLTON LADS & GIRLS CLUB,3000019521,"162,000.00",National Citizen Service project grant,BL1 4AG,SME,Programme
Cabinet Office,Cabinet Office,28/09/11,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000019533,"94,230.53",Fast stream recruitment.,HP2 7DN,SME,Administration
Cabinet Office,Government Procurement Service,28/09/11,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 20745,"110,416.71",Government managed telecoms contract,RG24 8NA,Large,Programme
Cabinet Office,Cabinet Office,29/09/11,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,NORTHERN IRELAND OFFICE,3000019555,"160,000.00","Transfer of funds to be used by the Boundary Commission for Northern Ireland to conduct public hearings in relation to the review of Parliamentary constituency boundaries, following amendments made during the passage of the Parliamentary Voting System and Constituencies Act 2011.",BT1 4PA,Large,Programme
Cabinet Office,Cabinet Office,29/09/11,Agency and Temporary Staff,GOVERNMENT CIO,CAPITA RESOURCING LTD,3000019546,"119,962.62","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme
Cabinet Office,Cabinet Office,29/09/11,Agency and Temporary Staff,POLICY COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION,3000019549,"30,440.40",Interim IT speacilist,SE1 7DU,Public Sector,Administration
